Salvia,lanceolata
Salvia,muirii
Salvia,namaensis
Salvia,repens
Salvia,runcinata
Salvia,schlechteri
Sargassum,heterophyllum
Scadoxus,puniceus
Sceletium,tortuosum
Schefflera,umbellifera
Schkuhria,pinnata
Schotia,brachypetala
Scilla,nervosa
Scilla,zebrina
Scutia,myrtina
Searsia,chirindensis
Securidaca,longepedunculata
Securidaca,longependunculata
Senecio,chrysocoma
Senecio,orthonnoflorus
Senecio,oxyodontus
Senecio,paniculatus
Senecio,pterophorus
Sideroxylon,inerme
Sinularia,dura
Siphonaria,capensis
Siphonaria,oculus
Siphonaria,serrata
Siphonochilus,aethiopicus
Solanum,aculeastrum
Solanum,aculeatissimum
Solanum,panduriforme
Sophora,flavescens
Sphaeranthus,indicus
Spilanthes,acmella
Spirastrella,spinispirulifera (porifera)
Spirostachys,africana
Streptocarpus,dunnii
Streptomyces,sp.
Streptomyces,sp. RB1
Strongylodesma,algoaensis
Strongylodesma,aliwaliensis
Strongylodesma,species (unspecified)
Strongylodesma,tsitsikammaensis
Struthiola,argentea
Suregada,zanzibariensis baill
Sutherlandia,frutescens
Synoicum,globosum
Syzygium,jambos
Teclea,gerrardii
Teclea,natalensis
Terminalia,sericea
Termitomyces,microcarpus
Toddalia,asiatica
Toddaliopsis,bremekampii
Topsentia,pachastrelloides
Trimusculus,costatus
Tsitsikamma,favus
Tsitsikamma,pedunculata
Tsitsikamma,scurra
Turraea,floribunda
Typha,capensis
Urginea,epigea
Vepris,glomerata
Vernonia,amygdalina
Vernonia,colorata
Vismia,baccifera
Vitex,rehmannii
Warburgia,salutaris
Warburgia,salutaris (canellaceae)
Ximenia,caffra
Xysmalobium,undulatum
