,Drug name,"Drug
type",Species origin (family),"Therapeutic class or
targeted disease",source_page
71,Artemether,ND,Artemisia annua (Asteraceae),Antiparasitic,15
72,Artemisinin,N,Artemisia annua (Asteraceae),Antiparasitic,15
73,Artesunate,ND,Artemisia annua (Asteraceae),Antiparasitic,15
74,Asiaticoside,N,Centella asiatica (Apiaceae),Vulnerary,15
75,Asparaginase,N,Escherichia coli (Enterobacteriaceae),Oncological disease,15
76,Aspirin,ND,Salix alba (Salicaceae),Inflammatory disease,15
77,Aspoxicillin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,15
78,Atazanavir,S*/NM,"Actinomyces (Actinomycetaceae); Streptomyces testaceus
(Streptomycetaceae); Streptomyces argenteolus subsp.
toyonakensis (Streptomycetaceae)",Antiviral,15
79,Atenolol,ND,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Cardiovascular disease,15
80,"Atorvastatin
calcium",S*/NM,"Pseudonocardia autotrophica (Pseudonocardiaceae);
Penicillium brevicompactum (Trichocomaceae); Penicillium
citrinum (Trichocomaceae)",Cardiovascular disease,15
81,Atosiban,ND,Homo sapiens (Hominidae),Premature birth,15
82,Atovaquone,S*,Homo sapiens (Hominidae),Antiparasitic,15
83,Atropine,N,"Atropa belladonna (Solanaceae); Datura stramonium
(Solanaceae); Mandragora officinarum (Solanaceae)",Anticholinergic,15
84,Augmentin,ND,"Streptomyces clavuligerus (Streptomycetaceae); Aspergillus
flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,15
85,"Avaxim hepatitis a
vaccine",V,Hepatitis A virus (Picornaviridae),Hepatitis,16
86,"Avonex Interferon
beta-1a",B,Homo sapiens (Hominidae),Multiple sclerosis,16
87,Azacytidine,S*,Homo sapiens (Hominidae),Anticancer,16
88,Azithromycin,ND,Saccharopolyspora erythraea (Pseudonocardiaceae),Antibacterial,16
89,Azlocillin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,16
90,Aztreonam,ND,Chromobacterium violaceum (Neisseriaceae),Antibacterial,16
91,Bacampicillin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,16
92,Bacitracin,N,"Bacillus licheniformis (Bacillaceae); Bacillus subtilis
(Bacillaceae)",Antibacterial,16
93,Basiliximab,B,Homo sapiens (Hominidae),Immunosuppressant,16
94,Becaplermin,B,Homo sapiens (Hominidae),Diabetic foot ulcers,16
95,Befunolol HCL,S*,Homo sapiens (Hominidae),Antiglaucoma,16
96,Belotecan HCL,ND,"Mappia foetida (Icacinaceae); Camptotheca acuminata
(Cornaceae); Ophiorrhiza pumila (Rubiaceae)",Oncological disease,16
97,Bemiparin sodium,ND,Homo sapiens (Hominidae),DVT; anticoagulant,16
98,"Benazepril
hydrochloride",S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,16
99,Benefix Factor IX,B,Homo sapiens (Hominidae),Hemophilia,16
100,Beraprost sodium,ND,Homo sapiens (Hominidae),Platelet aggreg. inhib.,16
101,Berberine,N,"Berberis vulgaris (Berberidaceae); Thalictrum
(Ranunculaceae)",Antibacterial,16
102,Beromun,B,Homo sapiens (Hominidae),Anticancer,16
103,Beta-acetyldigoxin,ND,"Digitalis lanata (Plantaginaceae); Digitalis purpurea
(Plantaginaceae)",Cardiovascular disease,16
104,Betain anhydrous,N,Triticum (Poaceae),Homocystinuria,16
105,"Betamethasone
dipropionate",N,Homo sapiens (Hominidae),Anti-inflammatory,16
106,"Betamethasone
sodium phosphate",N,Homo sapiens (Hominidae),Anti-inflammatory,16
107,"Betaseron
Interferon b-1b",B,Homo sapiens (Hominidae),Multiple sclerosis,16
108,Betaxolol HCI,S*/NM,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Cardiovascular disease,16
109,Bevacizumab,B,Mus musculus (Muridae),Anticancer,16
110,Biapenem,ND,Streptomyces cattleya (Streptomycetaceae),Antibacterial,16
111,"Biken-HB
Hepatitis b vaccine",V,Hepatitis B virus (Hepadnaviridae),Hepatitis,16
112,Bilive,V,"Hepatitis A virus (Picornaviridae); Hepatitis B virus
(Hepadnaviridae)",Antiviral,16
113,Bimatoprost,ND,"Allium sativum (Amaryllidaceae); Artemisia dracunculus
(Asteraceae); Manduca sexta (Sphingidae)",Antiglaucoma,16
114,"Biogamma
Interferon gamma-
1a",B,Homo sapiens (Hominidae),Anticancer,16
115,"Bio-Hep B
Hepatitis b vaccine",V,Hepatitis B virus (Hepadnaviridae),Hepatitis,17
116,Bivalirudin,ND,"Haementeria officinalis (Glossiphoniidae); Hirudo
medicinalis (Hirudinidae)",Cardiovascular disease,17
117,Bleomycin,N,Streptomyces verticillus (Streptomycetaceae),Oncological disease,17
118,Bortezomib,S/NM,Homo sapiens (Hominidae),Anticancer,17
119,"Brovincamine
fumarate",ND,Vinca minor (Apocynaceae),"Vasodilator, cerebral",17
120,Bucillamine,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Immunomodulator,17
121,"Bucladesine
sodium",S*/NM,Homo sapiens (Hominidae),Cardiotonic,17
122,Budesonide,ND,Homo sapiens (Hominidae),Antiasthmatic,17
123,Buprenorphine,ND,"Papaver bracteatum (Papaveraceae); Papaver somniferum
(Papaveraceae)",Neurological disease,17
124,Buserelin acetate,ND,Homo sapiens (Hominidae),Oncological disease,17
125,Byetta,ND,Heloderma suspectum (Helodermatidae),Cardiovascular disease,17
126,Cabazitaxel,ND,"Taxus wallichiana (Taxaceae); Taxus brevifolia (Taxaceae);
Taxus baccata (Taxaceae); Corylus avellana (Betulaceae);
Seimatoantlerium tepuiense (Amphisphaeriaceae)",Anticacer,17
127,Cabergoline,ND,Claviceps (Clavicipitaceae),Antihyperprolactinemia,17
128,Calcipotriol,ND,Salmonidae (Salmonidae); Agaricus bisporus (Agaricaceae),Antipsoriatic,17
129,Calfactant,B,Bos primigenius (Bovidae),RDS,17
130,Calsed,ND,Streptomyces peucetius (Streptomycetaceae),Oncological disease,17
131,Calusterone,ND,Homo sapiens (Hominidae),Oncological disease,17
132,Camphor,N,Cinnamomum camphora (Lauraceae),Rubefacient,17
133,Camptobell,ND,Camptotheca acuminata (Cornaceae),Anticancer,17
134,Camptothecin,ND,"Mappia foetida (Icacinaceae); Camptotheca acuminata
(Cornaceae); Ophiorrhiza pumila (Rubiaceae)",Oncological disease,17
135,"Candesartan
cilexetil",S/NM,Rattus norvegicus (Muridae),Antihypertensive,17
136,Candicidin,N,Streptomyces griseus (Streptomycetaceae),Antifungal,17
137,Capecitabine,S*,Homo sapiens (Hominidae),Anticancer,17
138,Capreomycin,N,"Saccharothrix mutabilis subsp. Capreolus
(Actinosynnemataceae)",Antibacterial,17
139,Capsaicin,N,"Capsicum annuum (Solanaceae); Capsicum frutescens
(Solanaceae); Zingiber officinale (Zingiberaceae)",Neurological disease,17
140,Captopril,ND,Bothrops jararaca (Viperidae),Cardiovascular disease,17
141,Carbenicillin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,17
142,Carbenin,ND,Streptomyces cattleya (Streptomycetaceae),Antibacterial,17
143,Carbenoxolone,ND,Glycyrrhiza glabra (Fabaceae),"Immunological, inflammatory
and related disease",17
144,Carindacillin,ND,"Aspergillus flavus (Trichocomaceae); Emericella nidulans
(Trichocomaceae); Penicillium chrysogenum
(Trichocomaceae)",Antibacterial,17
145,Carmofur,S*,Homo sapiens (Hominidae),Anticancer,18
146,Carperitide,N,Homo sapiens (Hominidae),Congestive heart failure,18
147,Carumonam,ND,Chromobacterium violaceum (Neisseriaceae),Antibacterial,18
148,Carzinophilin,N,Streptomyces sahachiroi (Streptomycetaceae),Oncological disease,18
149,Cefacetrile,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
150,Cefaclor,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
151,Cefadroxil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
152,Cefalexin,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
153,Cefaloglycin,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
154,Cefalotin sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
155,"Cefamandole
nafate",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
156,Cefapirin,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
157,Cefazolin,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
158,"Cefbuperazone
sodium",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
159,Cefcapene pivoxil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
160,Cefdinir,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,18
161,Cefditoren pivoxil,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
162,Cefepime,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
163,"Cefetamet pivoxil
HCl",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
164,Cefixime,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
165,Cefmenoxime HCl,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
166,"Cefmetazole
sodium",ND,"Amycolatopsis lactamdurans (Pseudonocardiaceae);
Streptomyces cattleya (Streptomycetaceae); Streptomyces
clavuligerus (Streptomycetaceae)",Antibacterial,19
167,Cefminox sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
168,Cefodizime sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
169,Cefonicid sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
170,"Cefoperazone
sodium",ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
171,Ceforanide,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
172,Cefoselis,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
173,Cefotaxime sodium,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,19
