,Drug name,"Drug
type",Species origin (family),"Therapeutic class or
targeted disease",source_page
503,Levalbuterol HCL,S*/NM,Ephedra sinica (Ephedraceae),Inflammatory disease,31
504,"Levemir Insulin
determir",B,Homo sapiens (Hominidae),Antidiabetic,31
505,Levodopa,N,Mucuna pruriens (Fabaceae),Dietary supplement,31
506,Levo-THP,N,"Corydalis ambigua (Papaveraceae); Stephania rotunda
(Menispermaceae)","Immunological, inflammatory
and related disease",31
507,Levulan,N,Homo sapiens (Hominidae),Actinic keratoses,31
508,Limaprost,ND,"Allium cepa (Amaryllidaceae); Allium sativum
(Amaryllidaceae); Larix sibirica (Pinaceae); Populus
balsamifera (Salicaceae)",Antithrombotic,31
509,Lincomycin,N,Streptomyces lincolnensis (Streptomycetaceae),Antibacterial,31
510,Liraglutide,ND,Homo sapiens (Hominidae),Anti-diabetes,31
511,"Lisdexamfetamine
dimesylate",N,"Ephedra sinica (Ephedraceae); Senegalia berlandieri
(Fabaceae)",ADHD,31
512,Lisinopril,S*/NM,Bothrops jararaca (Viperidae),Cardiovascular disease,31
513,Lisuride maleate,ND,Claviceps (Clavicipitaceae),Antihyperprolactinemia,31
514,"Logiparin Lmw
heparin",ND,Homo sapiens (Hominidae),Anticoagulant,31
515,Lomustine,S,Streptomyces achromogenes (Streptomycetaceae),Anticancer,31
516,Lopinavir,S*/NM,"Actinomyces (Actinomycetaceae); Streptomyces testaceus
(Streptomycetaceae); Streptomyces argenteolus subsp.
toyonakensis (Streptomycetaceae)",Antiviral,31
517,Loracarbef,ND,"Acremonium chrysogenum (Acremonium); Emericellopsis
minima (Emericellopsis); Amycolatopsis lactamdurans
(Pseudonocardiaceae); Streptomyces clavuligerus
(Streptomycetaceae)",Antibacterial,31
518,Losartan potassium,S/NM,Rattus norvegicus (Muridae),Antihypertensive,31
519,"Loteprednol
etabonate",ND,Homo sapiens (Hominidae),Inflammatory disease,31
520,Lovastatin,N,Aspergillus terreus (Trichocomaceae),Cardiovascular disease,31
521,Lubiprostone,ND,"Allium cepa (Amaryllidaceae); Allium sativum
(Amaryllidaceae); Larix sibirica (Pinaceae); Populus
balsamifera (Salicaceae)","Chronic idiopathic
constipation",31
522,Lunelle,ND,Homo sapiens (Hominidae),Contraception,31
