,Drug name,"Drug
type",Species origin (family),"Therapeutic class or
targeted disease",source_page
667,Papaverine,N,Papaver somniferum (Papaveraceae),Neurological disease,37
672,Pegademase bovine,B,Bos taurus (Bovidae),Immunostimulant,37
681,Pentazocine,ND,Papaver somniferum (Papaveraceae),Neurological disease,37
684,Pergolide mesylate,ND,"Turbina corymbosa (Convolvulaceae); Ipomoea violacea
(Convolvulaceae)",AntiParkinsonian,37
688,Physostigmine,N,Physostigma venenosum (Fabaceae),Neurological disease,37
713,Pregabalin,ND,Homo sapiens (Hominidae),Antiepileptic,38
719,Progabide,S*,Homo sapiens (Hominidae),Anticonvulsant,38
723,Propentofylline,ND,Homo sapiens (Hominidae),Vasodilator; cerebral,38
734,Ramosetron,S*/NM,Homo sapiens (Hominidae),Antiemetic,39
735,Ranibizumab,B,Mus musculus (Muridae),Macular degeneration,39
762,"Rocuronium
bromide",ND,Homo sapiens (Hominidae),Muscle relaxant,40
766,Ropinirole HCl,S*/NM,Homo sapiens (Hominidae),AntiParkinsonian,40
767,Rorifone,N,Rorippa indica (Brassicaceae),Antitussive,40
774,Rotigotine,S/NM,Homo sapiens (Hominidae),AntiParkinsonian,40
788,Sargramostim,B,Homo sapiens (Hominidae),Immunostimulant,41
790,Sativex,N,Cannabis sativa (Cannabaceae),Neuropathic pain,41
797,Sertindole,S*/NM,Homo sapiens (Hominidae),Neuroleptic,41
804,Sodium oxybate,ND,Homo sapiens (Hominidae),Narcolepsy,41
823,Strychnine,N,Strychnos nux-vomica (Loganiaceae),Neurological disease,42
834,Taltirelin,ND,Homo sapiens (Hominidae),CNS Stimulant,42
835,Tandospirone,S/NM,Homo sapiens (Hominidae),Anxiolytic,42
859,THC-CBD,N,Cannabis sativa (Cannabaceae),Neurological disease,43
880,"Tranylcypromine
sulfate",ND,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Major depressive,44
891,Tubocurarine,N,"Strychnos (Loganiaceae); Strychnos (Loganiaceae);
Chondrodendron tomentosum (Menispermaceae); Curarea
(Menispermaceae)",Skeletal muscle relaxant,44
906,Vasicine,N,Acanthaceae (Acanthaceae),Oxytocic,45
907,"Vecuronium
bromide",ND,Homo sapiens (Hominidae),Muscle relaxant,45
913,Vigabatrin,ND,Homo sapiens (Hominidae),Antiepileptic,45
916,Vincamine,N,Vinca minor (Apocynaceae),Cerebral stimulant,45
924,Vyvanse,ND,"Ephedra sinica (Ephedraceae); Acacia rigidula (Fabaceae);
Senegalia berlandieri (Fabaceae)",Neurological disease,45
