original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Millettia ichthyochtona,5355812,,Millettia ichthyochtona Drake,Plantae,Millettia,Millettia ichthyochtona,5355812,Fabaceae
Myrtopsis macrocarpa,5594534,,Myrtopsis macrocarpa Schltr.,Plantae,Myrtopsis,Myrtopsis macrocarpa,5594534,Rutaceae
Oenothera speciosa,3188859,,Oenothera speciosa Nutt.,Plantae,Oenothera,Oenothera speciosa,3188859,Onagraceae
Othonna sedifolia,3094376,9243877,Othonna sedifolia DC.,Plantae,Crassothonna,Crassothonna sedifolia,9243877,Asteraceae
Pertya glabrescens,3130297,,Pertya glabrescens Sch.Bip.,Plantae,Pertya,Pertya glabrescens,3130297,Asteraceae
Petasites formosanus,3088300,,Petasites formosanus Kitam.,Plantae,Petasites,Petasites formosanus,3088300,Asteraceae
Phellodendron amurense,3190154,,Phellodendron amurense Rupr.,Plantae,Phellodendron,Phellodendron amurense,3190154,Rutaceae
Phellodendron amurense var. wilsonii,3831921,4937133,Phellodendron amurense var. wilsonii (Hayata & Kaneh.) C.E.Chang,Plantae,Phellodendron,Phellodendron chinense,4937133,Rutaceae
Phellodendron chinense,3831897,,Phellodendron chinense C.K.Schneid.,Plantae,Phellodendron,Phellodendron chinense,3831897,Rutaceae
Phellodendron japonicum,3190152,7790423,Phellodendron japonicum Maxim.,Plantae,Phellodendron,Phellodendron amurense,7790423,Rutaceae
Potentilla wallichiana,7631479,,Potentilla wallichiana Ser.,Plantae,Potentilla,Potentilla wallichiana,7631479,Rosaceae
Prismatomeris connata,2909756,7221597,Prismatomeris connata Y.Z.Ruan,Plantae,Prismatomeris,Prismatomeris tetrandra,7221597,Rubiaceae
Prunus domestica,7931731,,Prunus domestica L.,Plantae,Prunus,Prunus domestica,7931731,Rosaceae
Pseudolarix amabilis,2686287,,Pseudolarix amabilis (J.Nelson) Rehd.,Plantae,Pseudolarix,Pseudolarix amabilis,2686287,Pinaceae
Pseudostiffita kingii,3101205,,Pseudostifftia kingii H.Rob.,Plantae,Pseudostifftia,Pseudostifftia kingii,3101205,Asteraceae
Pteris altissima,5275403,,Pteris altissima Poir.,Plantae,Pteris,Pteris altissima,5275403,Pteridaceae
Pterocarpus officinalis,5349333,,Pterocarpus officinalis Jacq.,Plantae,Pterocarpus,Pterocarpus officinalis,5349333,Fabaceae
Ranzania japonica,5634430,,Ranzania japonica (T.Itô) T.Itô,Plantae,Ranzania,Ranzania japonica,5634430,Berberidaceae
Rehmannia glutinosa,7516558,,Rehmannia glutinosa (Gaertn.) Libosch. ex Fisch. & C.A.Mey.,Plantae,Rehmannia,Rehmannia glutinosa,7516558,Rehmanniaceae
Rhabdonia verticillata,2668236,,Rhabdonia verticillata,Plantae,Rhabdonia,Rhabdonia verticillata,2668236,Areschougiaceae
Rothmannia wittii,2906196,11090090,Rothmannia wittii (Craib) Bremek.,Plantae,Ridsdalea,Ridsdalea wittii,11090090,Rubiaceae
Rubus niveus,2989183,,Rubus niveus Thunb.,Plantae,Rubus,Rubus niveus,2989183,Rosaceae
Saccharum spontaneum,2703935,,Saccharum spontaneum L.,Plantae,Saccharum,Saccharum spontaneum,2703935,Poaceae
Salvia divinorum,2927020,,Salvia divinorum Epling & Játiva,Plantae,Salvia,Salvia divinorum,2927020,Lamiaceae
Saussurea involucrata,5404194,,Saussurea involucrata (Kar. & Kir.) Sch.Bip.,Plantae,Saussurea,Saussurea involucrata,5404194,Asteraceae
Saussurea katochaete,5404495,,Saussurea katochaete Maxim.,Plantae,Saussurea,Saussurea katochaete,5404495,Asteraceae
Schisandra sphenanthera,3745294,,Schisandra sphenanthera Rehder & E.H.Wilson,Plantae,Schisandra,Schisandra sphenanthera,3745294,Schisandraceae
Scorzonera hispanica,3110905,10769750,Scorzonera hispanica L.,Plantae,Pseudopodospermum,Pseudopodospermum hispanicum,10769750,Asteraceae
Securinega melanthesoides,3079266,5382824,Securinega melanthesoides (F.Muell.) Airy Shaw,Plantae,Flueggea,Flueggea virosa,5382824,Phyllanthaceae
Sideritis cretica,7862362,,Sideritis cretica L.,Plantae,Sideritis,Sideritis cretica,7862362,Lamiaceae
Sideritis lotsyi,7985818,,Sideritis lotsyi (Pit.) Bornm.,Plantae,Sideritis,Sideritis lotsyi,7985818,Lamiaceae
Sideritis syriaca,7961270,,Sideritis syriaca L.,Plantae,Sideritis,Sideritis syriaca,7961270,Lamiaceae
Smilax bracteata,5295415,,Smilax bracteata C.Presl,Plantae,Smilax,Smilax bracteata,5295415,Smilacaceae
Solanum torvum,2932389,,Solanum torvum Sw.,Plantae,Solanum,Solanum torvum,2932389,Solanaceae
Stereospermum acuminatissimum,4092478,,Stereospermum acuminatissimum K.Schum.,Plantae,Stereospermum,Stereospermum acuminatissimum,4092478,Bignoniaceae
Strychnos staudtii,5645410,,Strychnos staudtii Gilg,Plantae,Strychnos,Strychnos staudtii,5645410,Loganiaceae
Tanacetum odessanum,3118371,,Tanacetum odessanum (Klokov) Tzvelev,Plantae,Tanacetum,Tanacetum odessanum,3118371,Asteraceae
Taraxacum mongolicum,5394645,,Taraxacum mongolicum Hand.-Mazz.,Plantae,Taraxacum,Taraxacum mongolicum,5394645,Asteraceae
Taraxacum obovatum,5394221,,Taraxacum obovatum (Willd.) DC.,Plantae,Taraxacum,Taraxacum obovatum,5394221,Asteraceae
Tetragonotheca ludoviciana,3150308,,Tetragonotheca ludoviciana (Torr. & A.Gray) A.Gray,Plantae,Tetragonotheca,Tetragonotheca ludoviciana,3150308,Asteraceae
Tetrapanax papyrifer,3035275,,Tetrapanax papyrifer (Hook.) K.Koch,Plantae,Tetrapanax,Tetrapanax papyrifer,3035275,Araliaceae
Teucrium barbeyanum,3898389,,Teucrium barbeyanum Asch. & Taub. ex E.A.Durand & Barratte,Plantae,Teucrium,Teucrium barbeyanum,3898389,Lamiaceae
Teucrium buxifolium,7308705,,Teucrium buxifolium Schreb.,Plantae,Teucrium,Teucrium buxifolium,7308705,Lamiaceae
Tsuga mertensiana,2687201,,Tsuga mertensiana (Bong.) Carrière,Plantae,Tsuga,Tsuga mertensiana,2687201,Pinaceae
Vernonia lanuginosa,5702368,3124828,Vernonia lanuginosa Gardner,Plantae,Cyrtocymura,Cyrtocymura scorpioides,3124828,Asteraceae
Xanthium strumarium,3089154,,Xanthium strumarium L.,Plantae,Xanthium,Xanthium strumarium,3089154,Asteraceae
Zanthoxylum myriacanthum,7859167,,Zanthoxylum myriacanthum Wall. ex Hook.fil.,Plantae,Zanthoxylum,Zanthoxylum myriacanthum,7859167,Rutaceae
Abies balsamea,2685383,,Abies balsamea (L.) Mill.,Plantae,Abies,Abies balsamea,2685383,Pinaceae
Abies nobilis,2684876,,Abies Mill.,Plantae,Abies,spp.,2684876,Pinaceae
Abutilon pakistanicum,3936891,,Abutilon pakistanicum Jafri & Ali,Plantae,Abutilon,Abutilon pakistanicum,3936891,Malvaceae
Acacia pruinosa,2978903,,Acacia pruinosa A.Cunn. ex Benth.,Plantae,Acacia,Acacia pruinosa,2978903,Fabaceae
Acalypha marginata,7775937,,Acalypha marginata (Poir.) Spreng.,Plantae,Acalypha,Acalypha marginata,7775937,Euphorbiaceae
Acalypha wilkesiana,3057221,,Acalypha wilkesiana Müll.Arg.,Plantae,Acalypha,Acalypha wilkesiana,3057221,Euphorbiaceae
Acanthus ilicifolius,6359819,,Acanthus ilicifolius L.,Plantae,Acanthus,Acanthus ilicifolius,6359819,Acanthaceae
Acer triflorum,7263031,,Acer triflorum Kom.,Plantae,Acer,Acer triflorum,7263031,Sapindaceae
Achillea sintenisii,3120045,,Achillea sintenisii Hub.-Mor.,Plantae,Achillea,Achillea sintenisii,3120045,Asteraceae
Aconitum brevicalcaratum,3926815,,Aconitum brevicalcaratum (Finet & Gagnep.) Diels,Plantae,Aconitum,Aconitum brevicalcaratum,3926815,Ranunculaceae
Aconitum lycoctonum,3033675,,Aconitum lycoctonum L.,Plantae,Aconitum,Aconitum lycoctonum,3033675,Ranunculaceae
Aconitum septentrionale,6374443,,Aconitum septentrionale Koelle,Plantae,Aconitum,Aconitum septentrionale,6374443,Ranunculaceae
Acrocomia sclerocarpa,2739162,7413879,Acrocomia sclerocarpa Mart.,Plantae,Acrocomia,Acrocomia aculeata,7413879,Arecaceae
Adenia cissampeloides,5527841,,Adenia cissampeloides (Planch. ex Hook.) Harms,Plantae,Adenia,Adenia cissampeloides,5527841,Passifloraceae
Adiantum caudatum,2651833,,Adiantum caudatum L.,Plantae,Adiantum,Adiantum caudatum,2651833,Pteridaceae
Adina cordifolia,8417744,,Adina cordifolia (Roxb.) Brandis,Plantae,Adina,Adina cordifolia,8417744,Rubiaceae
Aegilops geniculata,5289781,,Aegilops geniculata Roth,Plantae,Aegilops,Aegilops geniculata,5289781,Poaceae
Aerva lanata,3085014,10974033,Aerva lanata (L.) Juss. ex Schult.,Plantae,Ouret,Ouret lanata,10974033,Amaranthaceae
Aerva sp.,3085013,,Aerva Forssk.,Plantae,Aerva,spp.,3085013,Amaranthaceae
Aesculus hippocastanum,3189815,,Aesculus hippocastanum L.,Plantae,Aesculus,Aesculus hippocastanum,3189815,Sapindaceae
Aesculus sp.,3189801,,Aesculus L.,Plantae,Aesculus,spp.,3189801,Sapindaceae
Agathosma scaberula,3832921,,Agathosma scaberula Dümmer,Plantae,Agathosma,Agathosma scaberula,3832921,Rutaceae
Ageratina riparia,5400790,,Ageratina riparia (Regel) R.M.King & H.Rob.,Plantae,Ageratina,Ageratina riparia,5400790,Asteraceae
Ajania fruticulosa,3112285,,Ajania fruticulosa (Ledeb.) Poljakov,Plantae,Ajania,Ajania fruticulosa,3112285,Asteraceae
Ajuga chamaepitys,2927080,,Ajuga chamaepitys (L.) Schreb.,Plantae,Ajuga,Ajuga chamaepitys,2927080,Lamiaceae
Ajuga postii,3886794,,Ajuga postii Briq.,Plantae,Ajuga,Ajuga postii,3886794,Lamiaceae
Ajuga reptans,2927078,,Ajuga reptans L.,Plantae,Ajuga,Ajuga reptans,2927078,Lamiaceae
Alafia barteri,5536003,,Alafia barteri Oliv.,Plantae,Alafia,Alafia barteri,5536003,Apocynaceae
Aleurites moluccanus,4930679,,Aleurites moluccanus (L.) Willd.,Plantae,Aleurites,Aleurites moluccanus,4930679,Euphorbiaceae
Alibertia edulis,5335670,,Alibertia edulis (Rich.) A.Rich. ex DC.,Plantae,Alibertia,Alibertia edulis,5335670,Rubiaceae
Alkanna cappadocica,5661279,,Alkanna cappadocica Boiss. & Balansa,Plantae,Alkanna,Alkanna cappadocica,5661279,Boraginaceae
Alkanna hirsutissima,5661232,,Alkanna hirsutissima (Bertol.) DC.,Plantae,Alkanna,Alkanna hirsutissima,5661232,Boraginaceae
Alnus firma,2876489,,Alnus firma Siebold & Zucc.,Plantae,Alnus,Alnus firma,2876489,Betulaceae
Alnus japonica,2876196,,Alnus japonica (Thunb.) Steud.,Plantae,Alnus,Alnus japonica,2876196,Betulaceae
Alnus rugosa,11487994,,"Alnus rugosa Koch, 1872",Plantae,Alnus,Alnus rugosa,11487994,Betulaceae
Alstonia scholaris,5414410,,Alstonia scholaris (L.) R.Br.,Plantae,Alstonia,Alstonia scholaris,5414410,Apocynaceae
Alstonia sp.,8412045,,Alstonia R.Br.,Plantae,Alstonia,spp.,8412045,Apocynaceae
Amaranthus hybr,6710338,,Amaranthus hybr,Plantae,Amaranthus,Amaranthus hybr,6710338,Amaranthaceae
Ammodendron conollyi,2971168,,Ammodendron conollyi Bunge ex Boiss.,Plantae,Ammodendron,Ammodendron conollyi,2971168,Fabaceae
Amsinckia menziesii,2925870,,Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.,Plantae,Amsinckia,Amsinckia menziesii,2925870,Boraginaceae
Anadenanthera colubrina,2952823,,Anadenanthera colubrina (Vell.) Brenan,Plantae,Anadenanthera,Anadenanthera colubrina,2952823,Fabaceae
Anaphalis margaritacea,4926336,,Anaphalis margaritacea (L.) Benth.,Plantae,Anaphalis,Anaphalis margaritacea,4926336,Asteraceae
Anchietea pyrifolia,8335905,,Anchietea pyrifolia (Mart.) G.Don,Plantae,Anchietea,Anchietea pyrifolia,8335905,Violaceae
Apocynum androsaemifolium,3169816,,Apocynum androsaemifolium L.,Plantae,Apocynum,Apocynum androsaemifolium,3169816,Apocynaceae
Apocynum cannabinum,3169790,,Apocynum cannabinum L.,Plantae,Apocynum,Apocynum cannabinum,3169790,Apocynaceae
Aralia continentalis,3036875,,Aralia continentalis Kitag.,Plantae,Aralia,Aralia continentalis,3036875,Araliaceae
Aralia hispida,3037033,,Aralia hispida Vent.,Plantae,Aralia,Aralia hispida,3037033,Araliaceae
Aralia leschenaultii,3037075,,Aralia leschenaultii (DC.) J.Wen,Plantae,Aralia,Aralia leschenaultii,3037075,Araliaceae
Aralia nudicaulis,3037021,,Aralia nudicaulis L.,Plantae,Aralia,Aralia nudicaulis,3037021,Araliaceae
Arbutus unedo,2882803,,Arbutus unedo L.,Plantae,Arbutus,Arbutus unedo,2882803,Ericaceae
Arctium lappa,7353729,,Arctium lappa L.,Plantae,Arctium,Arctium lappa,7353729,Asteraceae
Arctium sp.,8106066,,Arctium L.,Plantae,Arctium,spp.,8106066,Asteraceae
Ardisia elliptica,5414375,,Ardisia elliptica Thunb.,Plantae,Ardisia,Ardisia elliptica,5414375,Primulaceae
Arisaema flavum,2866859,,Arisaema flavum (Forssk.) Schott,Plantae,Arisaema,Arisaema flavum,2866859,Araceae
Aristeguietia pseudarborea,3110135,,Aristeguietia pseudarborea (Hieron.) R.M.King & H.Rob.,Plantae,Aristeguietia,Aristeguietia pseudarborea,3110135,Asteraceae
Aristolochia tagala,7313590,8207569,Aristolochia tagala Cham.,Plantae,Aristolochia,Aristolochia acuminata,8207569,Aristolochiaceae
Arnica foliosa,5405940,5405938,Arnica foliosa Nutt.,Plantae,Arnica,Arnica chamissonis,5405938,Asteraceae
Arnica lanceolata,5405974,,Arnica lanceolata Nutt.,Plantae,Arnica,Arnica lanceolata,5405974,Asteraceae
Arnica mollis,5405898,,Arnica mollis Hook.,Plantae,Arnica,Arnica mollis,5405898,Asteraceae
Arnicratea grahamii,3794323,,Arnicratea grahamii (Wight) N.Hallé,Plantae,Arnicratea,Arnicratea grahamii,3794323,Celastraceae
Artemisia dentata,7950886,,"Artemisia dentata Caldwell, 1937",Plantae,Artemisia,Artemisia dentata,7950886,Asteraceae
Artemisia eriopoda,3121189,,Artemisia eriopoda Bunge,Plantae,Artemisia,Artemisia eriopoda,3121189,Asteraceae
Artemisia feddei,3120919,3120857,Artemisia feddei H.Lév. & Vaniot,Plantae,Artemisia,Artemisia lancea,3120857,Asteraceae
Artemisia giraldii,3120825,,Artemisia giraldii Pamp.,Plantae,Artemisia,Artemisia giraldii,3120825,Asteraceae
Artemisia igniaria,3121054,,Artemisia igniaria Maxim.,Plantae,Artemisia,Artemisia igniaria,3121054,Asteraceae
Artemisia mongolica,7780342,,Artemisia mongolica (Fisch. ex Besser) Nakai,Plantae,Artemisia,Artemisia mongolica,7780342,Asteraceae
Artemisia phaeolepis,3121265,,Artemisia phaeolepis Krasch.,Plantae,Artemisia,Artemisia phaeolepis,3121265,Asteraceae
Artemisia roxburghiana,3120990,,Artemisia roxburghiana Besser,Plantae,Artemisia,Artemisia roxburghiana,3120990,Asteraceae
Artemisia vestita,8375316,,Artemisia vestita Wall. ex Besser,Plantae,Artemisia,Artemisia vestita,8375316,Asteraceae
Asclepias speciosa,3170260,,Asclepias speciosa Torr.,Plantae,Asclepias,Asclepias speciosa,3170260,Apocynaceae
Asclepias syriaca,3170247,,Asclepias syriaca L.,Plantae,Asclepias,Asclepias syriaca,3170247,Apocynaceae
Asparagus thunbergianus,2768792,2768787,Asparagus thunbergianus Schult. & Schult.f.,Plantae,Asparagus,Asparagus rubicundus,2768787,Asparagaceae
Asphodeline tenuior,2777103,,Asphodeline tenuior (Fisch. ex M.Bieb.) Ledeb.,Plantae,Asphodeline,Asphodeline tenuior,2777103,Asphodelaceae
Aster acuminatus,8286592,,"Aster acuminatus Nees, 1832",Plantae,Aster,Aster acuminatus,8286592,Asteraceae
Aster poliothamnus,5387558,10868819,Aster poliothamnus Diels,Plantae,Sinobouffordia,Sinobouffordia poliothamnus,10868819,Asteraceae
Aster tongolensis,5387623,,Aster tongolensis Franch.,Plantae,Aster,Aster tongolensis,5387623,Asteraceae
Astilbe myriantha,3754915,3754773,Astilbe myriantha Diels,Plantae,Astilbe,Astilbe rivularis,3754773,Saxifragaceae
Atalantia racemosa,7269150,,Atalantia racemosa Wight & Arn.,Plantae,Atalantia,Atalantia racemosa,7269150,Rutaceae
Austroderia toetoe,6067825,,Austroderia toetoe (Zotov) N.P.Barker & H.P.Linder,Plantae,Austroderia,Austroderia toetoe,6067825,Poaceae
Avicennia officinalis,6413451,,Avicennia officinalis L.,Plantae,Avicennia,Avicennia officinalis,6413451,Acanthaceae
Avrainvillea nigricans,2643492,,Avrainvillea nigricans Decne.,Plantae,Avrainvillea,Avrainvillea nigricans,2643492,Dichotomosiphonaceae
Baccharoides anthelmintica,3087253,,Baccharoides anthelmintica (L.) Moench,Plantae,Baccharoides,Baccharoides anthelmintica,3087253,Asteraceae
Balanophora abbreviata,4195229,,Balanophora abbreviata Blume,Plantae,Balanophora,Balanophora abbreviata,4195229,Balanophoraceae
Barbacenia flava,2863857,,Barbacenia flava Mart. ex Schult. & Schult.f.,Plantae,Barbacenia,Barbacenia flava,2863857,Velloziaceae
Bejaranoa semistriata,3086561,,Bejaranoa semistriata (Baker) R.M.King & H.Rob.,Plantae,Bejaranoa,Bejaranoa semistriata,3086561,Asteraceae
Betula papyrifera,5332120,,Betula papyrifera Marshall,Plantae,Betula,Betula papyrifera,5332120,Betulaceae
Boswellia neglecta,5636115,,Boswellia neglecta S.Moore,Plantae,Boswellia,Boswellia neglecta,5636115,Burseraceae
Boswellia serrata,5421354,,Boswellia serrata Roxb. ex Colebr.,Plantae,Boswellia,Boswellia serrata,5421354,Burseraceae
Bothriocline amplifolia,3089770,,Bothriocline amplifolia (O.Hoffm. & Muschl.) M.G.Gilbert,Plantae,Bothriocline,Bothriocline amplifolia,3089770,Asteraceae
Bothriocline longipes,3089738,,Bothriocline longipes (Oliv. & Hiern) N.E.Br.,Plantae,Bothriocline,Bothriocline longipes,3089738,Asteraceae
Brachylaena ramiflora,3140969,,Brachylaena ramiflora Humbert,Plantae,Brachylaena,Brachylaena ramiflora,3140969,Asteraceae
Bryonia dioica,6422396,,Bryonia dioica Jacq.,Plantae,Bryonia,Bryonia dioica,6422396,Cucurbitaceae
Buddleja cordata,7288259,,Buddleja cordata Kunth,Plantae,Buddleja,Buddleja cordata,7288259,Scrophulariaceae
Buddleja variabilis,4055561,3173338,Buddleja variabilis Hemsl.,Plantae,Buddleja,Buddleja davidii,3173338,Scrophulariaceae
Buphane fischeri,7316092,2773898,"Boophone fischeri Baker ex Dyer, 1898",Plantae,Boophone,Boophone fischeri,10787935,Amaryllidaceae
Bursera graveolens,7286883,,Bursera graveolens (Kunth) Triana & Planch.,Plantae,Bursera,Bursera graveolens,7286883,Burseraceae
Bursera linanoe,3993371,,"Bursera linanoe (La Llave) Rzed., Calderón & Medina",Plantae,Bursera,Bursera linanoe,3993371,Burseraceae
Bursera simaruba,3190450,,Bursera simaruba (L.) Sarg.,Plantae,Bursera,Bursera simaruba,3190450,Burseraceae
Caesalpinia bonducella,2958673,8400302,Caesalpinia bonducella (L.) Fleming,Plantae,Guilandina,Guilandina bonduc,8400302,Fabaceae
Calea clausseniana,3147563,,Calea clausseniana Baker,Plantae,Calea,Calea clausseniana,3147563,Asteraceae
Calea megacephala,3147501,,Calea megacephala B.L.Rob. & Greenm.,Plantae,Calea,Calea megacephala,3147501,Asteraceae
Calophyllum verticillatum,7540871,,Calophyllum verticillatum P.F.Stevens,Plantae,Calophyllum,Calophyllum verticillatum,7540871,Calophyllaceae
Calotropis gigantea,3579089,,Calotropis gigantea (L.) W.T.Aiton,Plantae,Calotropis,Calotropis gigantea,3579089,Apocynaceae
Camelina sativa,9073641,,Camelina sativa (L.) Crantz,Plantae,Camelina,Camelina sativa,9073641,Brassicaceae
Camellia crapnelliana,3590783,,Camellia crapnelliana Tutcher,Plantae,Camellia,Camellia crapnelliana,3590783,Theaceae
Camellia reticulata,7152692,,Camellia reticulata Lindl.,Plantae,Camellia,Camellia reticulata,7152692,Theaceae
Campsis grandiflora,4094511,,Campsis grandiflora (Thunb.) K.Schum.,Plantae,Campsis,Campsis grandiflora,4094511,Bignoniaceae
Canarium album,8269930,,Canarium album (Lour.) Raeusch.,Plantae,Canarium,Canarium album,8269930,Burseraceae
Canarium strictum,5421349,,Canarium strictum Roxb.,Plantae,Canarium,Canarium strictum,5421349,Burseraceae
Canarium zeylanicum,5636239,,Canarium zeylanicum (Retz.) Blume,Plantae,Canarium,Canarium zeylanicum,5636239,Burseraceae
Carmona retusa,2925868,4066311,Carmona retusa (Vahl) Masam.,Plantae,Ehretia,Ehretia microphylla,4066311,Ehretiaceae
Cassia fistula,5357108,,Cassia fistula L.,Plantae,Cassia,Cassia fistula,5357108,Fabaceae
Cassia javanica,5357125,,Cassia javanica L.,Plantae,Cassia,Cassia javanica,5357125,Fabaceae
Cecropia pachystachya,4013385,,Cecropia pachystachya Trécul,Plantae,Cecropia,Cecropia pachystachya,4013385,Urticaceae
Centaurea africana,3127972,3127975,Centaurea africana Lam.,Plantae,Rhaponticoides,Rhaponticoides africana,3127975,Asteraceae
Centaurea amanicola,3127664,,Centaurea amanicola Hub.-Mor.,Plantae,Centaurea,Centaurea amanicola,3127664,Asteraceae
Centaurea aspera,3128166,,Centaurea aspera L.,Plantae,Centaurea,Centaurea aspera,3128166,Asteraceae
Centaurea horrida,7468889,,Centaurea horrida Badarò,Plantae,Centaurea,Centaurea horrida,7468889,Asteraceae
Centaurea iberica,3129000,,Centaurea iberica Trevis. ex Spreng.,Plantae,Centaurea,Centaurea iberica,3129000,Asteraceae
Centaurea nicolai,3128371,,Centaurea nicolai Bald.,Plantae,Centaurea,Centaurea nicolai,3128371,Asteraceae
Centaurea nigra,3128225,,Centaurea nigra L.,Plantae,Centaurea,Centaurea nigra,3128225,Asteraceae
Centaurea ptosimopappoides,3127952,,Centaurea ptosimopappoides Wagenitz,Plantae,Centaurea,Centaurea ptosimopappoides,3127952,Asteraceae
Ceriops decandra,3873955,,Ceriops decandra (Griff.) Ding Hou,Plantae,Ceriops,Ceriops decandra,3873955,Rhizophoraceae
Chamerion dodonaei,3666165,3666422,Chamerion dodonaei (Vill.) Holub,Plantae,Chamaenerion,Chamaenerion dodonaei,3666422,Onagraceae
Chenopodium quinoa,3083935,,Chenopodium quinoa Willd.,Plantae,Chenopodium,Chenopodium quinoa,3083935,Amaranthaceae
Chromolaena moritziana,3087788,,Chromolaena moritziana (Sch.Bip. ex Hieron.) R.M.King & H.Rob.,Plantae,Chromolaena,Chromolaena moritziana,3087788,Asteraceae
Chrysanthemum,3150746,,Chrysanthemum L.,Plantae,Chrysanthemum,spp.,3150746,Asteraceae
Chrysolaena cognata,3130622,,Chrysolaena cognata (Less.) Dematt.,Plantae,Chrysolaena,Chrysolaena cognata,3130622,Asteraceae
Chrysolaena platensis,3124546,,Chrysolaena platensis (Spreng.) H.Rob.,Plantae,Chrysolaena,Chrysolaena platensis,3124546,Asteraceae
Chrysolaena propinqua,3130607,,Chrysolaena propinqua (Hieron.) H.Rob.,Plantae,Chrysolaena,Chrysolaena propinqua,3130607,Asteraceae
Chuquiraga ulicina,8357226,,Chuquiraga ulicina Hook.,Plantae,Chuquiraga,Chuquiraga ulicina,8357226,Asteraceae
Cichorium intybus,5392252,,Cichorium intybus L.,Plantae,Cichorium,Cichorium intybus,5392252,Asteraceae
Cirsium dipsacolepis,3113091,,Cirsium dipsacolepis (Maxim.) Matsum.,Plantae,Cirsium,Cirsium dipsacolepis,3113091,Asteraceae
Cirsium japonicum,3112887,,Cirsium japonicum Fisch. ex DC.,Plantae,Cirsium,Cirsium japonicum,3112887,Asteraceae
Cirsium nipponicum,3113139,,Cirsium nipponicum (Maxim.) Makino,Plantae,Cirsium,Cirsium nipponicum,3113139,Asteraceae
Cirsium sp.,3112554,,Cirsium Mill.,Plantae,Cirsium,spp.,3112554,Asteraceae
Citrullus colocynthis,2874622,,Citrullus colocynthis (L.) Schrad.,Plantae,Citrullus,Citrullus colocynthis,2874622,Cucurbitaceae
Clintonia borealis,2753574,,Clintonia borealis (Aiton) Raf.,Plantae,Clintonia,Clintonia borealis,2753574,Liliaceae
Clusia havetioides,7330336,,Clusia havetioides (Griseb.) Planch. & Triana,Plantae,Clusia,Clusia havetioides,7330336,Clusiaceae
Cocculus diversifolius,3033949,,Cocculus diversifolius DC.,Plantae,Cocculus,Cocculus diversifolius,3033949,Menispermaceae
Coleus comosus,5605775,,Coleus comosus Hochst. ex Gürke,Plantae,Coleus,Coleus comosus,5605775,Lamiaceae
Coleus parvifolius,7497254,,Coleus parvifolius Benth.,Plantae,Coleus,Coleus parvifolius,7497254,Lamiaceae
Commiphora kataf,7286751,,Commiphora kataf (Forssk.) Engl.,Plantae,Commiphora,Commiphora kataf,7286751,Burseraceae
Comptonia peregrina,5414197,,Comptonia peregrina (L.) J.M.Coult.,Plantae,Comptonia,Comptonia peregrina,5414197,Myricaceae
Convolvulus arvensis,2928390,,Convolvulus arvensis L.,Plantae,Convolvulus,Convolvulus arvensis,2928390,Convolvulaceae
Coprosma australis,2911489,7067055,Coprosma australis (A.Rich.) Rob.,Plantae,Coprosma,Coprosma lucida,7067055,Rubiaceae
Coptis trifolia,3033632,,Coptis trifolia (L.) Salisb.,Plantae,Coptis,Coptis trifolia,3033632,Ranunculaceae
Cordiera macrophylla,5335622,,Cordiera macrophylla (K.Schum.) Kuntze,Plantae,Cordiera,Cordiera macrophylla,5335622,Rubiaceae
Cordyline indivisa,2766221,,Cordyline indivisa (G.Forst.) Endl.,Plantae,Cordyline,Cordyline indivisa,2766221,Asparagaceae
Cornus canadensis,3082270,,Cornus canadensis L.,Plantae,Cornus,Cornus canadensis,3082270,Cornaceae
Corydalis claviculata,5530746,7315230,Corydalis claviculata (L.) DC.,Plantae,Ceratocapnos,Ceratocapnos claviculata,7315230,Papaveraceae
Corydalis cornuta,5530720,,Corydalis cornuta Royle,Plantae,Corydalis,Corydalis cornuta,5530720,Papaveraceae
Cosmos bipinnatus,3098912,,Cosmos bipinnatus Cav.,Plantae,Cosmos,Cosmos bipinnatus,3098912,Asteraceae
Costus tonkinensis,2756921,,Costus tonkinensis Gagnep.,Plantae,Costus,Costus tonkinensis,2756921,Costaceae
Cousinia canescens,3101758,,Cousinia canescens DC.,Plantae,Cousinia,Cousinia canescens,3101758,Asteraceae
Craibiodendron yunnanense,4174877,,Craibiodendron yunnanense W.W.Sm.,Plantae,Craibiodendron,Craibiodendron yunnanense,4174877,Ericaceae
Crambe tatarica,8298726,,Crambe tatarica Sebeók,Plantae,Crambe,Crambe tatarica,8298726,Brassicaceae
Crataegus monogyna,9220780,,Crataegus monogyna Jacq.,Plantae,Crataegus,Crataegus monogyna,9220780,Rosaceae
Crepis phoenix,5403394,,Crepis phoenix Dunn,Plantae,Crepis,Crepis phoenix,5403394,Asteraceae
Crinum kirkii,2853719,,Crinum kirkii Baker,Plantae,Crinum,Crinum kirkii,2853719,Amaryllidaceae
Croton hieronymi,3059335,,Croton hieronymi Griseb.,Plantae,Croton,Croton hieronymi,3059335,Euphorbiaceae
Cryptolepis nigrescens,9253610,,Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns,Plantae,Cryptolepis,Cryptolepis nigrescens,9253610,Apocynaceae
