plant_id,genus,species,gbif_key,synonyms,family_id
144,Artemisia,herba-alba,3120848,,423
145,Nitraria,retusa,3986936,,256
146,Tamarix,nilotica,7316455,,341
147,Tamarix,senegalensis,3613063,,341
148,Alpinia,japonica,5302050,,93
149,Apium,graveolens,5371879,,439
150,Cymbopogon,schoenanthus,2705269,,102
151,Rubus,rosifolius,8234521,,204
152,Feijoa,sellowiana,3181977,Acca sellowiana,235
153,Mukdenia,rossii,7339206,Aceriphyllum rossii,142
154,Achillea,abrotanoides,3120350,,423
155,Achillea,arabica,3120275,,423
156,Achillea,clypeolata,3120016,,423
157,Achillea,crithmifolia,8059665,,423
158,Achillea,erba-rotta,9536147,,423
159,Achillea,millefolium,3120060,,423
160,Achillea,erba-rotta,7574220,Achillea moschata,423
161,Achillea,nana,8714852,,423
162,Achillea,nobilis,3120024,,423
163,Achillea,ptarmica,3120333,,423
164,Aconitum,episcopale,7277368,,118
165,Acorus,calamus,2873769,,29
166,Acorus,gramineus,2873807,,29
167,Actinodium,cunninghamii,3177659,,235
168,Aegle,marmelos,5421195,,257
169,Aeollanthus,pubescens,3889346,,396
170,Aframomum,angustifolium,2758823,,93
171,Aframomum,melegueta,2758930,,93
172,Agastache,rugosa,7307327,,396
173,Agathosma,betulina,3190125,,257
174,Agathosma,capensis,3834661,,257
175,Agnorhiza,bolanderi,3093481,,423
176,Ajania,fastigiata,3112246,,423
177,Akebia,quinata,3033965,,115
178,Akebia,trifoliata,7306109,,115
179,Aloysia,citriodora,5341164,,415
180,Aloysia,citrodora,5667503,,415
181,Alpinia,galanga,5302225,Alphinia galanga,93
182,Alpinia,breviligulata,5302180,,93
183,Alpinia,katsumadai,5635657,,93
184,Alpinia,zerumbet,5301979,,93
185,Ambrosia,artemisiifolia,8002952,,423
186,Ammi,majus,3034182,,439
187,Amomum,compactum,8038080,,93
188,Amomum,krervanh,8172268,,93
189,Anaxagorea,crassipetala,3156858,Anaxagorea clavata,15
190,Anethum,graveolens,3034646,,439
191,Angelica,acutiloba,5537879,,439
192,Angelica,gigas,5537749,,439
193,Angelica,sinensis,6027415,,439
194,Anisotome,antipoda,3641744,,439
195,Annona,cascarilloides,5407086,,15
196,Anthemis,aciphylla,3122620,,423
197,Anthemis,aciphylla,6296697,Anthemis aciphylla BOISS.var.discoidea BOISS,423
198,Arabidopsis,thaliana,3052436,,273
199,Araujia,sericifera,3170442,,376
200,Ardisia,humilis,5558193,Ardisia arborescens,362
201,Sorbus,pallescens,3013096,Aria pallescens,204
202,Arnica,nevadensis,5405929,,423
203,Artemisia,absinthium,3121319,,423
204,Artemisia,afra,8078031,,423
205,Artemisia,ammaniana,3121246,,423
206,Artemisia,annua,8373355,,423
207,Artemisia,caruifolia,4230571,Artemisia apiacea,423
208,Artemisia,arborescens,3120677,,423
209,Artemisia,argyi,3120648,,423
210,Artemisia,capillaris,3120722,,423
211,Artemisia,halophila,3121192,,423
212,Artemisia,indica,3120972,,423
213,Artemisia,gmelinii,9624042,Artemisia messerschmidtiana,423
214,Artemisia,montana,3121341,,423
215,Artemisia,princeps,3121258,,423
216,Artemisia,salsoloides,3121286,,423
217,Artemisia,sericea,7921883,,423
218,Artemisia,spicigera,3121483,,423
219,Artemisia,thuscula,3121623,,423
220,Artemisia,xerophytica,3121294,,423
221,Asarum,heterotropoides,7313559,,10
222,Asarum,sieboldii,7313629,,10
223,Aster,scaber,7422131,,423
224,Asterolasia,squamuligera,3834602,,257
225,Atalantia,buxifolia,5593924,,257
226,Bubon,macedonicum,7454714,Athamanta macedonica,439
227,Athanasia,crithmifolia,7627744,,423
228,Atractylodes,lancea,3122433,Atractylodes chinensis,423
229,Austrobaileya,scandens,4197027,,5
230,Baccharis,dracunculifolia,3129176,,423
231,Baccharis,rufescens,7338560,,423
232,Baeckea,frutescens,3187799,,235
233,Diploknema,butyracea,2886375,Bassia butyracea,364
234,Beilschmiedia,pendula,3034073,,25
