original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family,family_id
Swietenia macrophylla,3190484,,Swietenia macrophylla G.King,Plantae,Swietenia,Swietenia macrophylla,3190484,Meliaceae,255
Abeliophyllum distichum,7326165,,Abeliophyllum distichum Nakai,Plantae,Abeliophyllum,Abeliophyllum distichum,7326165,Oleaceae,402
Acacia kempeana,2980901,,Acacia kempeana F.Muell.,Plantae,Acacia,Acacia kempeana,2980901,Fabaceae,193
Acacia lasiopetala,2980079,8182473.0,Acacia lasiopetala Oliv.,Plantae,Vachellia,Vachellia lasiopetala,8182473,Fabaceae,193
Acanthus ebracteatus,5415454,,Acanthus ebracteatus Vahl,Plantae,Acanthus,Acanthus ebracteatus,5415454,Acanthaceae,390
Aconitum racemulosum,7276693,,Aconitum racemulosum Franch.,Plantae,Aconitum,Aconitum racemulosum,7276693,Ranunculaceae,118
Adonis aleppica,5616541,,Adonis aleppica Boiss.,Plantae,Adonis,Adonis aleppica,5616541,Ranunculaceae,118
Aeginetia indica,3173321,,Aeginetia indica L.,Plantae,Aeginetia,Aeginetia indica,3173321,Orobanchaceae,403
Aegiphila obducta,3891369,,Aegiphila obducta Vell.,Plantae,Aegiphila,Aegiphila obducta,3891369,Lamiaceae,396
Aframomum sulcatum,2758909,,Aframomum sulcatum (Oliv. & D.Hanb. ex Baker) K.Schum.,Plantae,Aframomum,Aframomum sulcatum,2758909,Zingiberaceae,93
Ajuga incisa,3887333,,Ajuga incisa Maxim.,Plantae,Ajuga,Ajuga incisa,3887333,Lamiaceae,396
Ajuga japonica,3887276,,Ajuga japonica Miq.,Plantae,Ajuga,Ajuga japonica,3887276,Lamiaceae,396
Ajuga nipponensis,7307111,,Ajuga nipponensis Makino,Plantae,Ajuga,Ajuga nipponensis,7307111,Lamiaceae,396
Alhagi persarum,2945106,2945104.0,Alhagi persarum Boiss. & Buhse,Plantae,Alhagi,Alhagi pseudalhagi,2945104,Fabaceae,193
Allium stipitatum,2856593,,Allium stipitatum Regel,Plantae,Allium,Allium stipitatum,2856593,Amaryllidaceae,63
Alnus mandshurica,2876499,,Alnus mandshurica (Callier) Hand.-Mazz.,Plantae,Alnus,Alnus mandshurica,2876499,Betulaceae,207
Alstonia pittieri,5535586,5536063.0,Alstonia pittieri (Donn.Sm.) A.H.Gentry,Plantae,Tonduzia,Tonduzia longifolia,5536063,Apocynaceae,376
Alysicarpus bupleurifolius,2948656,,Alysicarpus bupleurifolius (L.) DC.,Plantae,Alysicarpus,Alysicarpus bupleurifolius,2948656,Fabaceae,193
Amphilophium paniculatum,3172589,,Amphilophium paniculatum (L.) Kunth,Plantae,Amphilophium,Amphilophium paniculatum,3172589,Bignoniaceae,391
Anemoclema glaucifolium,3928312,3926253.0,Anemoclema glaucifolium (Franch.) W.T.Wang,Plantae,Anemone,Anemone glaucifolia,3926253,Ranunculaceae,118
Aniba gigantifolia,4181279,4181158.0,Aniba gigantifolia O.C.Schmidt,Plantae,Aniba,Aniba hostmanniana,4181158,Lauraceae,25
Antirrhinum majus,3172001,,Antirrhinum majus L.,Plantae,Antirrhinum,Antirrhinum majus,3172001,Plantaginaceae,408
Arctotheca calendula,3114986,,Arctotheca calendula (L.) Levyns,Plantae,Arctotheca,Arctotheca calendula,3114986,Asteraceae,423
Arisaema triphyllum,2867316,,Arisaema triphyllum (L.) Schott,Plantae,Arisaema,Arisaema triphyllum,2867316,Araceae,32
Artemisia frigida,3121436,,Artemisia frigida Willd.,Plantae,Artemisia,Artemisia frigida,3121436,Asteraceae,423
Asphodeline damascena,2777081,,Asphodeline damascena (Boiss.) Baker,Plantae,Asphodeline,Asphodeline damascena,2777081,Asphodelaceae,65
Asystasia intrusa,7468660,,Asystasia intrusa (Forssk.) Blume,Plantae,Asystasia,Asystasia intrusa,7468660,Acanthaceae,390
Avicennia germinans,2925400,,Avicennia germinans (L.) L.,Plantae,Avicennia,Avicennia germinans,2925400,Acanthaceae,390
Avicennia marina,2925403,,Avicennia marina (Forssk.) Vierh.,Plantae,Avicennia,Avicennia marina,2925403,Acanthaceae,390
Bacopa crenata,3731342,,Bacopa crenata (Benth.) Hepper,Plantae,Bacopa,Bacopa crenata,3731342,Plantaginaceae,408
Bacopa monnieri,3171169,,Bacopa monnieri (L.) Pennell,Plantae,Bacopa,Bacopa monnieri,3171169,Plantaginaceae,408
Badilloa salicina,3110836,,Badilloa salicina (Lam.) R.M.King & H.Rob.,Plantae,Badilloa,Badilloa salicina,3110836,Asteraceae,423
Baillonella toxisperma,2886261,,Baillonella toxisperma Pierre,Plantae,Baillonella,Baillonella toxisperma,2886261,Sapotaceae,364
Ballota nigra,2926894,,Ballota nigra L.,Plantae,Ballota,Ballota nigra,2926894,Lamiaceae,396
Barleria Lupulina,3173125,,Barleria L.,Plantae,Barleria,spp.,3173125,Acanthaceae,390
Barleria lupulina,3173126,,Barleria lupulina Lindl.,Plantae,Barleria,Barleria lupulina,3173126,Acanthaceae,390
Barleria strigosa,3770457,,Barleria strigosa Willd.,Plantae,Barleria,Barleria strigosa,3770457,Acanthaceae,390
Bartsia alpina,3170807,,Bartsia alpina L.,Plantae,Bartsia,Bartsia alpina,3170807,Orobanchaceae,403
Bassia parkii,5333859,7065379.0,Bassia parkii G.Don,Plantae,Vitellaria,Vitellaria paradoxa,7065379,Sapotaceae,364
Betonica macrantha,3905825,,Betonica macrantha K.Koch,Plantae,Betonica,Betonica macrantha,3905825,Lamiaceae,396
Bontia bontioides,8346560,3745841.0,Bontia bontioides (A.Gray) Aver.,Plantae,Myoporum,Myoporum bontioides,3745841,Scrophulariaceae,411
Brandisia hancei,3732880,,Brandisia hancei Hook.fil.,Plantae,Brandisia,Brandisia hancei,3732880,Orobanchaceae,403
Brodiaea californica,8044825,,Brodiaea californica Lindl.,Plantae,Brodiaea,Brodiaea californica,8044825,Asparagaceae,64
Buddleja globosa,6387494,,Buddleja globosa Hope,Plantae,Buddleja,Buddleja globosa,6387494,Scrophulariaceae,411
Buddleja officinalis,3173336,,Buddleja officinalis Maxim.,Plantae,Buddleja,Buddleja officinalis,3173336,Scrophulariaceae,411
Buddleja parviflora,4055780,,Buddleja parviflora Kunth,Plantae,Buddleja,Buddleja parviflora,4055780,Scrophulariaceae,411
Buddleja salviifolia,4055797,,Buddleja salviifolia (L.) Lam.,Plantae,Buddleja,Buddleja salviifolia,4055797,Scrophulariaceae,411
Buddleja yunnanensis,4055815,,Buddleja yunnanensis L.F.Gagnep.,Plantae,Buddleja,Buddleja yunnanensis,4055815,Scrophulariaceae,411
Byblis liniflora,5635103,,Byblis liniflora Salisb.,Plantae,Byblis,Byblis liniflora,5635103,Byblidaceae,392
Calceolaria adscendens,3730660,,Calceolaria adscendens Lindl.,Plantae,Calceolaria,Calceolaria adscendens,3730660,Calceolariaceae,393
Calceolaria andina,3730459,,Calceolaria andina Benth.,Plantae,Calceolaria,Calceolaria andina,3730459,Calceolariaceae,393
Calceolaria biflora,3729930,,Calceolaria biflora Lam.,Plantae,Calceolaria,Calceolaria biflora,3729930,Calceolariaceae,393
Calceolaria corymbosa,3729134,,Calceolaria corymbosa Ruiz & Pav.,Plantae,Calceolaria,Calceolaria corymbosa,3729134,Calceolariaceae,393
Calceolaria glandulosa,8366834,,Calceolaria glandulosa Poepp. ex Benth.,Plantae,Calceolaria,Calceolaria glandulosa,8366834,Calceolariaceae,393
Calceolaria hypericina,8095625,,Calceolaria hypericina Poepp. ex Benth.,Plantae,Calceolaria,Calceolaria hypericina,8095625,Calceolariaceae,393
Calceolaria integrifolia,3726586,,Calceolaria integrifolia L.,Plantae,Calceolaria,Calceolaria integrifolia,3726586,Calceolariaceae,393
Calceolaria plectranthifolia,7571263,,Calceolaria plectranthifolia Walp.,Plantae,Calceolaria,Calceolaria plectranthifolia,7571263,Calceolariaceae,393
Calceolaria purpurea,7844490,,Calceolaria purpurea Graham,Plantae,Calceolaria,Calceolaria purpurea,7844490,Calceolariaceae,393
Calceolaria thyrsiflora,7506680,,Calceolaria thyrsiflora Graham,Plantae,Calceolaria,Calceolaria thyrsiflora,7506680,Calceolariaceae,393
Calea morii,3147636,,Calea morii H.Rob.,Plantae,Calea,Calea morii,3147636,Asteraceae,423
Callicarpa dichotoma,5341132,,Callicarpa dichotoma (Lour.) K.Koch,Plantae,Callicarpa,Callicarpa dichotoma,5341132,Lamiaceae,396
Callicarpa kwangtungensis,7308844,,Callicarpa kwangtungensis Chun,Plantae,Callicarpa,Callicarpa kwangtungensis,7308844,Lamiaceae,396
Callicarpa nudiflora,5609427,,Callicarpa nudiflora Hook. & Arn.,Plantae,Callicarpa,Callicarpa nudiflora,5609427,Lamiaceae,396
Callitriche stagnalis,5372487,,Callitriche stagnalis Scop.,Plantae,Callitriche,Callitriche stagnalis,5372487,Plantaginaceae,408
Carex distachya,2724954,,Carex distachya Desf.,Plantae,Carex,Carex distachya,2724954,Cyperaceae,95
Carpinus laxiflora,2875910,,Carpinus laxiflora (Siebold & Zucc.) Blume,Plantae,Carpinus,Carpinus laxiflora,2875910,Betulaceae,207
Caryopteris incana,7308640,,Caryopteris incana (Thunb. ex Houtt.) Miq.,Plantae,Caryopteris,Caryopteris incana,7308640,Lamiaceae,396
Cassinopsis madagascariensis,3596651,,Cassinopsis madagascariensis Baill.,Plantae,Cassinopsis,Cassinopsis madagascariensis,3596651,Icacinaceae,371
Cassytha filiformis,3033999,,Cassytha filiformis L.,Plantae,Cassytha,Cassytha filiformis,3033999,Lauraceae,25
Castanopsis cuspidata,5333089,,Castanopsis cuspidata (Thunb.) Schottky,Plantae,Castanopsis,Castanopsis cuspidata,5333089,Fagaceae,209
Castilleja angustifolia var. dubia,3739213,,Castilleja angustifolia var. dubia A.Nelson,Plantae,Castilleja,Castilleja angustifolia,3739213,Orobanchaceae,403
Castilleja attenuata,3170723,,Castilleja attenuata (A.Gray) T.I.Chuang & Heckard,Plantae,Castilleja,Castilleja attenuata,3170723,Orobanchaceae,403
Castilleja indivisa,3170612,,Castilleja indivisa Engelm.,Plantae,Castilleja,Castilleja indivisa,3170612,Orobanchaceae,403
Castilleja integra,3170569,,Castilleja integra A.Gray,Plantae,Castilleja,Castilleja integra,3170569,Orobanchaceae,403
Castilleja linariaefolia,3170636,,Castilleja linariifolia Benth.,Plantae,Castilleja,Castilleja linariifolia,3170636,Orobanchaceae,403
Castilleja minor,3170711,,Castilleja minor (A.Gray) A.Gray,Plantae,Castilleja,Castilleja minor,3170711,Orobanchaceae,403
Castilleja minor var. exilis,3736564,,Castilleja minor var. exilis (A.Nelson) J.M.Egger,Plantae,Castilleja,Castilleja minor,3736564,Orobanchaceae,403
Castilleja purpurea,3170619,,Castilleja purpurea (Nutt.) G.Don,Plantae,Castilleja,Castilleja purpurea,3170619,Orobanchaceae,403
Castilleja sessiliflora,3170616,,Castilleja sessiliflora Pursh,Plantae,Castilleja,Castilleja sessiliflora,3170616,Orobanchaceae,403
Castilleja wightii,3170633,,Castilleja wightii Elmer,Plantae,Castilleja,Castilleja wightii,3170633,Orobanchaceae,403
Centaurea cana,3128837,8410641.0,Centaurea cana Sm.,Plantae,Centaurea,Centaurea triumfettii,8410641,Asteraceae,423
Cereus pachanoi,5622543,11093098.0,Cereus pachanoi (Britton & Rose) Werderm.,Plantae,Trichocereus,Trichocereus macrogonus,11093098,Cactaceae,312
Cereus stellatus,5621421,7284680.0,Cereus stellatus Pfeiff.,Plantae,Stenocereus,Stenocereus stellatus,7284680,Cactaceae,312
Chelone obliqua,5414932,,Chelone obliqua L.,Plantae,Chelone,Chelone obliqua,5414932,Plantaginaceae,408
Cinchona succirubra,2901316,2901294.0,Cinchona succirubra Pav. ex Klotzsch,Plantae,Cinchona,Cinchona pubescens,2901294,Rubiaceae,381
Cistanche deserticola,3730700,,Cistanche deserticola Ma,Plantae,Cistanche,Cistanche deserticola,3730700,Orobanchaceae,403
Cistanche mongolica,3730619,12264491.0,Cistanche mongolica Beck,Plantae,Cistanche,Cistanche laxiflora,12264491,Orobanchaceae,403
Cistanche phelypaea,7332229,,Cistanche phelypaea (L.) Cout.,Plantae,Cistanche,Cistanche phelypaea,7332229,Orobanchaceae,403
Cistanche tubulosa,7332217,,Cistanche tubulosa (Schenk) Wight,Plantae,Cistanche,Cistanche tubulosa,7332217,Orobanchaceae,403
Clerodendrum bungei,2925351,,Clerodendrum bungei Steud.,Plantae,Clerodendrum,Clerodendrum bungei,2925351,Lamiaceae,396
Comanthosphace japonica,7946150,,Comanthosphace japonica (Miq.) S.Moore,Plantae,Comanthosphace,Comanthosphace japonica,7946150,Lamiaceae,396
Connarus paniculatus,7326614,,Connarus paniculatus Roxb.,Plantae,Connarus,Connarus paniculatus,7326614,Connaraceae,148
Crepis capillaris,5403304,,Crepis capillaris (L.) Wallr.,Plantae,Crepis,Crepis capillaris,5403304,Asteraceae,423
Crotalaria lachnosema,2942265,,Crotalaria lachnosema Stapf,Plantae,Crotalaria,Crotalaria lachnosema,2942265,Fabaceae,193
Cyathula tomentosa,5548492,,Cyathula tomentosa (Roth) Moq.,Plantae,Cyathula,Cyathula tomentosa,5548492,Amaranthaceae,306
Danae racemosa,5303891,,Danae racemosa (L.) Moench,Plantae,Danae,Danae racemosa,5303891,Asparagaceae,64
Daphniphyllum calycinum,4261959,,Daphniphyllum calycinum Benth.,Plantae,Daphniphyllum,Daphniphyllum calycinum,4261959,Daphniphyllaceae,134
Decaisnea fargesii,5686497,5686494.0,Decaisnea fargesii Franch.,Plantae,Decaisnea,Decaisnea insignis,5686494,Lardizabalaceae,115
Dendrobium crepidatum,5317107,,Dendrobium crepidatum Lindl. & Paxton,Plantae,Dendrobium,Dendrobium crepidatum,5317107,Orchidaceae,75
Dendrobium thyrsiflorum,8288918,,Dendrobium thyrsiflorum B.S.Williams,Plantae,Dendrobium,Dendrobium thyrsiflorum,8288918,Orchidaceae,75
Deplanchea speciosa,4092824,,Deplanchea speciosa Vieill.,Plantae,Deplanchea,Deplanchea speciosa,4092824,Bignoniaceae,391
Digitalis purpurea,5414995,,Digitalis purpurea L.,Plantae,Digitalis,Digitalis purpurea,5414995,Plantaginaceae,408
Diospyros buxifolia,4070235,,Diospyros buxifolia (Blume) Hiern,Plantae,Diospyros,Diospyros buxifolia,4070235,Ebenaceae,354
Dolichandrone heterophylla,4091141,,Dolichandrone heterophylla (R.Br.) F.Muell.,Plantae,Dolichandrone,Dolichandrone heterophylla,4091141,Bignoniaceae,391
Dolichandrone serrulata,4091062,,Dolichandrone serrulata (Wall. ex DC.) Seem.,Plantae,Dolichandrone,Dolichandrone serrulata,4091062,Bignoniaceae,391
Dregea volubilis,5526258,12202584.0,Dregea volubilis (L.fil.) Benth.,Plantae,Stephanotis,Stephanotis volubilis,12202584,Apocynaceae,376
Echinacea angustifolia,3150933,,Echinacea angustifolia DC.,Plantae,Echinacea,Echinacea angustifolia,3150933,Asteraceae,423
Echinacea pallida,3150919,,Echinacea pallida (Nutt.) Nutt.,Plantae,Echinacea,Echinacea pallida,3150919,Asteraceae,423
Echinacea sp.,3150914,,Echinacea Moench,Plantae,Echinacea,spp.,3150914,Asteraceae,423
Eremophila clarkei,8386543,,Eremophila clarkei A.F.Oldfield & F.Muell.,Plantae,Eremophila,Eremophila clarkei,8386543,Scrophulariaceae,411
Eremophila decipiens,7604594,,Eremophila decipiens Ostenf.,Plantae,Eremophila,Eremophila decipiens,7604594,Scrophulariaceae,411
Eremophila denticulata,8245588,,Eremophila denticulata F.Muell.,Plantae,Eremophila,Eremophila denticulata,8245588,Scrophulariaceae,411
Eremophila drummondii,8352502,,Eremophila drummondii F.Muell.,Plantae,Eremophila,Eremophila drummondii,8352502,Scrophulariaceae,411
Eremophila forrestii,8359560,,Eremophila forrestii F.Muell.,Plantae,Eremophila,Eremophila forrestii,8359560,Scrophulariaceae,411
Eremophila gilesii,6034552,,Eremophila gilesii F.Muell.,Plantae,Eremophila,Eremophila gilesii,6034552,Scrophulariaceae,411
Eremophila glabra,6034547,,Eremophila glabra (R.Br.) Ostenf.,Plantae,Eremophila,Eremophila glabra,6034547,Scrophulariaceae,411
Eremophila viscida,8286307,,Eremophila viscida Endl.,Plantae,Eremophila,Eremophila viscida,8286307,Scrophulariaceae,411
Eucalyptus kitsoniana,3176533,,Eucalyptus kitsoniana Luehm. ex Maiden,Plantae,Eucalyptus,Eucalyptus kitsoniana,3176533,Myrtaceae,235
Eulophia ochreata,5311540,,Eulophia ochreata Lindl.,Plantae,Eulophia,Eulophia ochreata,5311540,Orchidaceae,75
Euodia bodinieri,5594734,5594365.0,Euodia bodinieri Dode,Plantae,Tetradium,Tetradium ruticarpum,5594365,Rutaceae,257
Euonymus japonicus,7102937,,Euonymus japonicus Thunb.,Plantae,Euonymus,Euonymus japonicus,7102937,Celastraceae,144
Euphorbia calycina,3066044,3066043.0,Euphorbia calycina N.E.Br.,Plantae,Euphorbia,Euphorbia murielii,3066043,Euphorbiaceae,166
Euphrasia rubra,3736655,,"Euphrasia rubra Vill., 1786",Plantae,Euphrasia,Euphrasia rubra,3736655,Orobanchaceae,403
Exochorda giraldii,3024261,6287856.0,Exochorda giraldii Hesse,Plantae,Exochorda,Exochorda racemosa,6287856,Rosaceae,204
Fagraea ceilanica,7289420,,Fagraea ceilanica Thunb.,Plantae,Fagraea,Fagraea ceilanica,7289420,Gentianaceae,379
Fontanesia fortunei,3683625,,Fontanesia fortunei Carrière,Plantae,Fontanesia,Fontanesia fortunei,3683625,Oleaceae,402
Forsythia europaea,5549548,,Forsythia europaea Degen & Bald.,Plantae,Forsythia,Forsythia europaea,5549548,Oleaceae,402
Forsythia giraldiana,7325954,,Forsythia giraldiana Lingelsh.,Plantae,Forsythia,Forsythia giraldiana,7325954,Oleaceae,402
Forsythia koreana,7325949,,Forsythia koreana (Rehder) Nakai,Plantae,Forsythia,Forsythia koreana,7325949,Oleaceae,402
Forsythia ovata,5415055,,Forsythia ovata Nakai,Plantae,Forsythia,Forsythia ovata,5415055,Oleaceae,402
Fraxinus angustifolia,7325877,,Fraxinus angustifolia Vahl,Plantae,Fraxinus,Fraxinus angustifolia,7325877,Oleaceae,402
Fraxinus excelsior,3172358,,Fraxinus excelsior L.,Plantae,Fraxinus,Fraxinus excelsior,3172358,Oleaceae,402
Fraxinus formosana,3683704,6433113.0,Fraxinus formosana Hayata,Plantae,Fraxinus,Fraxinus griffithii,6433113,Oleaceae,402
Fraxinus malacophylla,7325983,,Fraxinus malacophylla Hemsl.,Plantae,Fraxinus,Fraxinus malacophylla,7325983,Oleaceae,402
Fraxinus uhdei,3172371,,Fraxinus uhdei (Wenz.) Lingelsh.,Plantae,Fraxinus,Fraxinus uhdei,3172371,Oleaceae,402
Gardenia carinata,5334934,,Gardenia carinata Wall. ex Roxb.,Plantae,Gardenia,Gardenia carinata,5334934,Rubiaceae,381
Globularia bisnagarica,5578472,,Globularia bisnagarica L.,Plantae,Globularia,Globularia bisnagarica,5578472,Plantaginaceae,408
Globularia dumulosa,5578444,,Globularia dumulosa O.Schwarz,Plantae,Globularia,Globularia dumulosa,5578444,Plantaginaceae,408
Globularia orientalis,5578471,,Globularia orientalis L.,Plantae,Globularia,Globularia orientalis,5578471,Plantaginaceae,408
Globularia trichosantha,7265180,,Globularia trichosantha Fisch. & C.A.Mey.,Plantae,Globularia,Globularia trichosantha,7265180,Plantaginaceae,408
Gratiola sp.,3171914,,Gratiola L.,Plantae,Gratiola,spp.,3171914,Plantaginaceae,408
Guatteria subsessilis,3155757,,Guatteria subsessilis Mart.,Plantae,Guatteria,Guatteria subsessilis,3155757,Annonaceae,15
Haemanthus natalensis,2860726,2860719.0,Haemanthus natalensis Hook.,Plantae,Scadoxus,Scadoxus puniceus,2860719,Amaryllidaceae,63
Halleria lucida,5560356,,Halleria lucida L.,Plantae,Halleria,Halleria lucida,5560356,Stilbaceae,412
Harpagophytum sp.,6417688,,Harpagophytum DC. ex Meisn.,Plantae,Harpagophytum,spp.,6417688,Pedaliaceae,406
Helenium elegans,5401824,,Helenium elegans DC.,Plantae,Helenium,Helenium elegans,5401824,Asteraceae,423
Himantoglossum hircinum,5324951,,Himantoglossum hircinum (L.) Spreng.,Plantae,Himantoglossum,Himantoglossum hircinum,5324951,Orchidaceae,75
Hippuris vulgaris,5372503,,Hippuris vulgaris L.,Plantae,Hippuris,Hippuris vulgaris,5372503,Plantaginaceae,408
Hordeum vulgare var. distichon,9775845,,Hordeum vulgare var. distichon (L.) Alef.,Plantae,Hordeum,Hordeum vulgare,9775845,Poaceae,102
Hygrophila erecta,5575565,,Hygrophila erecta (Burm.fil.) Hochr.,Plantae,Hygrophila,Hygrophila erecta,5575565,Acanthaceae,390
Hymenaea courbaril,2950750,,Hymenaea courbaril L.,Plantae,Hymenaea,Hymenaea courbaril,2950750,Fabaceae,193
Hymenocardia acida,3082045,,Hymenocardia acida Tul.,Plantae,Hymenocardia,Hymenocardia acida,3082045,Phyllanthaceae,181
Incarvillea arguta,4091435,4091340.0,Incarvillea arguta (Royle) Royle,Plantae,Incarvillea,Incarvillea diffusa,4091340,Bignoniaceae,391
Isodon pleiophyllus,7308560,,Isodon pleiophyllus (Diels) Kudô,Plantae,Isodon,Isodon pleiophyllus,7308560,Lamiaceae,396
Ixora undulata,10986690,,Ixora undulata Roxb. ex Sm.,Plantae,Ixora,Ixora undulata,10986690,Rubiaceae,381
Jacaranda caucana,7298785,,Jacaranda caucana Pittier,Plantae,Jacaranda,Jacaranda caucana,7298785,Bignoniaceae,391
Jacaranda mimosifolia,3172499,,Jacaranda mimosifolia D.Don,Plantae,Jacaranda,Jacaranda mimosifolia,3172499,Bignoniaceae,391
Jacaranda sp.,3172498,,Jacaranda Juss.,Plantae,Jacaranda,spp.,3172498,Bignoniaceae,391
Jasminum amplexicaule,7722901,,"Jasminum amplexicaule Buch.-Ham., 1831",Plantae,Jasminum,Jasminum amplexicaule,7722901,Oleaceae,402
Jasminum elongatum,3172264,,Jasminum elongatum (P.J.Bergius) Willd.,Plantae,Jasminum,Jasminum elongatum,3172264,Oleaceae,402
Jasminum mesnyi,3172272,,Jasminum mesnyi Hance,Plantae,Jasminum,Jasminum mesnyi,3172272,Oleaceae,402
Jasminum nudiflorum,3172266,,Jasminum nudiflorum Lindl.,Plantae,Jasminum,Jasminum nudiflorum,3172266,Oleaceae,402
Jasminum polyanthum,3682631,,Jasminum polyanthum Franch.,Plantae,Jasminum,Jasminum polyanthum,3682631,Oleaceae,402
Jasminum sambac,7587215,,Jasminum sambac (L.) Aiton,Plantae,Jasminum,Jasminum sambac,7587215,Oleaceae,402
Kigelia pinnata,3172562,7298549.0,Kigelia pinnata (Jacq.) DC.,Plantae,Kigelia,Kigelia africana,7298549,Bignoniaceae,391
Laburnum watereri,5356351,,Laburnum × watereri (A.C.Rosenthal & Bermann) Dippel,Plantae,Laburnum,Laburnum watereri,5356351,Fabaceae,193
Lagotis brevituba,7707612,,Lagotis brevituba Maxim.,Plantae,Lagotis,Lagotis brevituba,7707612,Plantaginaceae,408
Lagotis stolonifera,8014974,,Lagotis stolonifera (K.Koch) Maxim.,Plantae,Lagotis,Lagotis stolonifera,8014974,Plantaginaceae,408
Lamium garganicum,7308042,,Lamium garganicum L.,Plantae,Lamium,Lamium garganicum,7308042,Lamiaceae,396
Lamium purpureum,2926682,,Lamium purpureum L.,Plantae,Lamium,Lamium purpureum,2926682,Lamiaceae,396
Lamium sp.,2926678,,Lamium L.,Plantae,Lamium,spp.,2926678,Lamiaceae,396
Lancea tibetica,7469425,,Lancea tibetica Hook.fil. & Thomson,Plantae,Lancea,Lancea tibetica,7469425,Mazaceae,401
Lantana fucata,2925328,,Lantana fucata Lindl.,Plantae,Lantana,Lantana fucata,2925328,Verbenaceae,415
Lantana radula,7297276,,Lantana radula Sw.,Plantae,Lantana,Lantana radula,7297276,Verbenaceae,415
Lantana trifolia,2925321,,Lantana trifolia L.,Plantae,Lantana,Lantana trifolia,2925321,Verbenaceae,415
Leonotis leonitis,8026950,7307635.0,Leonotis leonitis (L.) R.Br.,Plantae,Leonotis,Leonotis ocymifolia,7307635,Lamiaceae,396
Leonotis nepetifolia,4924659,,Leonotis nepetifolia (L.) R.Br.,Plantae,Leonotis,Leonotis nepetifolia,4924659,Lamiaceae,396
Leonurus cardiaca,5341389,,Leonurus cardiaca L.,Plantae,Leonurus,Leonurus cardiaca,5341389,Lamiaceae,396
Lepidophorum repandum,3091325,,Lepidophorum repandum (L.) DC.,Plantae,Lepidophorum,Lepidophorum repandum,3091325,Asteraceae,423
Ligustrum expansum,3683349,,Ligustrum expansum Rehder,Plantae,Ligustrum,Ligustrum expansum,3683349,Oleaceae,402
Ligustrum japonicus,3172301,,Ligustrum japonicum Thunb.,Plantae,Ligustrum,Ligustrum japonicum,3172301,Oleaceae,402
Ligustrum robustum,6432960,,Ligustrum robustum (Roxb.) Blume,Plantae,Ligustrum,Ligustrum robustum,6432960,Oleaceae,402
Lindera sericea,7304439,,Lindera sericea (Siebold & Zucc.) Blume,Plantae,Lindera,Lindera sericea,7304439,Lauraceae,25
Lippia alba,2925385,,Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,Plantae,Lippia,Lippia alba,2925385,Verbenaceae,415
Lippia rubella,4084396,,Lippia rubella (Moldenke) T.R.S.Silva & Salimena,Plantae,Lippia,Lippia rubella,4084396,Verbenaceae,415
Littorella uniflora,5421111,,Littorella uniflora (L.) Asch.,Plantae,Littorella,Littorella uniflora,5421111,Plantaginaceae,408
Lupinus mutabilis,2964711,,Lupinus mutabilis Sweet,Plantae,Lupinus,Lupinus mutabilis,2964711,Fabaceae,193
Lysionotus pauciflorus,6365649,,Lysionotus pauciflorus Maxim.,Plantae,Lysionotus,Lysionotus pauciflorus,6365649,Gesneriaceae,395
Markhamia lutea,5668625,,Markhamia lutea (Benth.) K.Schum.,Plantae,Markhamia,Markhamia lutea,5668625,Bignoniaceae,391
Marrubium alysson,3882151,,Marrubium alysson L.,Plantae,Marrubium,Marrubium alysson,3882151,Lamiaceae,396
Melampodium argophyllum,3138971,,Melampodium argophyllum S.F.Blake,Plantae,Melampodium,Melampodium argophyllum,3138971,Asteraceae,423
Mitraria coccinea,5591192,,Mitraria coccinea Cav.,Plantae,Mitraria,Mitraria coccinea,5591192,Gesneriaceae,395
Monochasma savatieri,8052261,,Monochasma savatieri Franch. ex Maxim.,Plantae,Monochasma,Monochasma savatieri,8052261,Orobanchaceae,403
Montanoa guatemalensis,5406123,,Montanoa guatemalensis B.L.Rob. & Greenm.,Plantae,Montanoa,Montanoa guatemalensis,5406123,Asteraceae,423
Myristica malabarica,5564291,,Myristica malabarica Lam.,Plantae,Myristica,Myristica malabarica,5564291,Myristicaceae,19
Nepeta ucranica,7308802,,Nepeta ucranica L.,Plantae,Nepeta,Nepeta ucranica,7308802,Lamiaceae,396
Newbouldia laevis,4091370,,Newbouldia laevis (Beauverd) Seem.,Plantae,Newbouldia,Newbouldia laevis,4091370,Bignoniaceae,391
Orobanche amethystea,7519710,,Orobanche amethystea Thuill.,Plantae,Orobanche,Orobanche amethystea,7519710,Orobanchaceae,403
Orobanche coerulescens,8195627,,Orobanche coerulescens Stephan,Plantae,Orobanche,Orobanche coerulescens,8195627,Orobanchaceae,403
Orobanche hederae,3733128,,Orobanche hederae Duby,Plantae,Orobanche,Orobanche hederae,3733128,Orobanchaceae,403
Orobanche rapum-genistae,3731346,,Orobanche rapum-genistae Thuill.,Plantae,Orobanche,Orobanche rapum-genistae,3731346,Orobanchaceae,403
Osmanthus fragrans,3172278,,Osmanthus fragrans Lour.,Plantae,Osmanthus,Osmanthus fragrans,3172278,Oleaceae,402
