original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Teucrium depressum,3897129,NA,Teucrium depressum Small,Plantae
Thymus piperella,8354272,NA,Thymus piperella L.,Plantae
Trichilia rubescens,3851456,NA,Trichilia rubescens Oliv.,Plantae
Wikstroemia canescens,8324421,NA,Wikstroemia canescens Wall. ex Meisn.,Plantae
Cajanus cajan,7587087,NA,Cajanus cajan (L.) Huth,Plantae
Camellia japonica,3189636,NA,Camellia japonica L.,Plantae
Camellia oleifera,8307542,NA,Camellia oleifera Abel.,Plantae
Camellia sasanqua,3189637,NA,Camellia sasanqua Thunb.,Plantae
Camellia sinensis,3189635,NA,Camellia sinensis (L.) Kuntze,Plantae
Cicer arietinum,2947311,NA,Cicer arietinum L.,Plantae
Clusia columnaris,7329886,NA,Clusia columnaris Engl.,Plantae
Clusia multiflora,7330264,NA,Clusia multiflora Kunth,Plantae
Cucumis melo,2874570,NA,Cucumis melo L.,Plantae
Cucumis sativus,2874569,NA,Cucumis sativus L.,Plantae
Dacryodes hopkinsii,7946876,NA,Dacryodes hopkinsii Daly,Plantae
Euphorbia abyssinica,3069564,NA,Euphorbia abyssinica J.F.Gmel.,Plantae
Euphorbia acrurensis,3069567,3069564,Euphorbia acrurensis N.E.Br.,Plantae
Euphorbia aleppica,3067011,NA,Euphorbia aleppica L.,Plantae
Euphorbia antiquorum,3069535,NA,Euphorbia antiquorum L.,Plantae
Euphorbia boetica,3919726,NA,Euphorbia boetica Boiss.,Plantae
Euphorbia broteri,3919636,3065417,Euphorbia broteri Daveau,Plantae
Euphorbia caducifolia,3067866,NA,Euphorbia caducifolia Haines,Plantae
Euphorbia condylocarpa,3070069,NA,Euphorbia condylocarpa M.Bieb.,Plantae
Euphorbia drupifera,3069665,NA,Euphorbia drupifera Thonn.,Plantae
Euphorbia ebracteolata,3068544,NA,Euphorbia ebracteolata Hayata,Plantae
Euphorbia esula,8203538,NA,Euphorbia esula L.,Plantae
Euphorbia esula var. cyparissoides,3064252,NA,Euphorbia esula var. cyparissioides Boiss.,Plantae
Euphorbia fischeriana,3066964,NA,Euphorbia fischeriana Steud.,Plantae
Euphorbia guyoniana,3068310,NA,Euphorbia guyoniana Boiss. & Reut.,Plantae
Euphorbia jolkinii,3066890,NA,Euphorbia jolkinii Boiss.,Plantae
Euphorbia kansui,3065761,NA,Euphorbia kansui S.L.Liou ex S.B.Ho,Plantae
Euphorbia lathyris,3066965,NA,Euphorbia lathyris L.,Plantae
Euphorbia neriifolia,3064865,NA,Euphorbia neriifolia L.,Plantae
Euphorbia nicaeensis,3065819,NA,Euphorbia nicaeensis All.,Plantae
Euphorbia oxyphylla,3065417,NA,Euphorbia oxyphylla Boiss.,Plantae
Euphorbia portulacoides,3064873,NA,Euphorbia portulacoides L.,Plantae
Euphorbia resinfera,3068445,NA,Euphorbia resinifera O.Berg,Plantae
Euphorbia resinifera,3068445,NA,Euphorbia resinifera O.Berg,Plantae
Euphorbia retusa,3068128,NA,Euphorbia retusa Forssk.,Plantae
Euphorbia royleana,3065786,NA,Euphorbia royleana Boiss.,Plantae
Euphorbia sapinii,3069585,NA,Euphorbia sapinii De Wild.,Plantae
Euphorbia spp.,11397237,NA,Euphorbia L.,Plantae
Euphorbia sulcata,3065910,NA,Euphorbia sulcata Lens ex Loisel.,Plantae
Euphorbia tirucalli,3069353,NA,Euphorbia tirucalli L.,Plantae
Euphorbia trigona,3067098,NA,Euphorbia trigona Mill.,Plantae
Garcinia cymosa,7330373,NA,Garcinia cymosa (K.Schum.) I.M.Turner & P.F.Stevens,Plantae
Garcinia livingstonei,3189564,NA,Garcinia livingstonei T.Anderson,Plantae
Garcinia myrtifolia,3189567,NA,Garcinia myrtifolia A.C.Sm.,Plantae
Garcinia pseudoguttifera,3713084,NA,Garcinia pseudoguttifera Seem.,Plantae
Lathyrus sativus,5356488,NA,Lathyrus sativus L.,Plantae
Lens culinaris,5350010,3973001,Lens culinaris Medik.,Plantae
Macaranga tanarius,3074251,NA,Macaranga tanarius (L.) Müll.Arg.,Plantae
Monocyclanthus vignei,3154215,NA,Monocyclanthus vignei Keay,Plantae
Phytolacca americana,3084015,NA,Phytolacca americana L.,Plantae
Pisum sativum,5347845,5347846,Pisum sativum L.,Plantae
Tripetalum cymosum,3714854,7330373,Tripetalum cymosum K.Schum.,Plantae
Vigna cylindrica,2982669,7225149,Vigna cylindrica (L.) Skeels,Plantae
Vitellaria paradoxa,2886750,NA,Vitellaria paradoxa C.F.Gaertn.,Plantae
Artemisia anomala,3121446,NA,Artemisia anomala S.Moore,Plantae
Artocarpus integra,3764723,2984565,Artocarpus integra,Plantae
Canscora alata,3840335,NA,Canscora alata (Roth) Wall.,Plantae
Canscora decussata,3841155,3840335,Canscora decussata (Roxb.) Schult. & Schult.fil.,Plantae
Centaurium linarifolium,7269766,7467256,Centaurium linariifolium (Lam.) Druce,Plantae
Centaurium spicatum,5414470,5595243,Centaurium spicatum (L.) Fritsch,Plantae
Chironia krebsii,5595784,NA,Chironia krebsii Griseb.,Plantae
Eupatorium sachalinense,5402847,5402845,Eupatorium sachalinense (F.Schmidt) Makino,Plantae
Garcinia linii,3713987,NA,Garcinia linii C.E.Chang,Plantae
Hoppea dichotoma,5595116,NA,Hoppea dichotoma Hayne ex Willd.,Plantae
Leptochloa digitata,2703874,NA,Leptochloa digitata (R.Br.) Domin,Plantae
Pinus heldreichii,5285247,NA,Pinus heldreichii H.Christ,Plantae
Piper umbellatum,3086364,NA,Piper umbellatum L.,Plantae
Sceletium subvelutinum,3707377,3704283,Sceletium subvelutinum L.Bolus,Plantae
Schenkia spicata,5595243,NA,Schenkia spicata (L.) G.Mans.,Plantae
Senecio brasiliensis,3107780,NA,Senecio brasiliensis (Spreng.) Less.,Plantae
Tovomita krukovii,3711378,NA,Tovomita krukovii A.C.Sm.,Plantae
Ferula vesceritensis,7569655,NA,Ferula vesceritensis Coss. & Durieu ex Batt. & Trab.,Plantae
Khaya senegalensis,3190508,NA,Khaya senegalensis (Desv.) A.Juss.,Plantae
Ruellia tuberosa,5415418,NA,Ruellia tuberosa L.,Plantae
Brocchia cinerea,5390421,NA,Brocchia cinerea (Delile) Vis.,Plantae
Terminalia chebula,3189388,NA,Terminalia chebula Retz.,Plantae
Terminalia species,3189387,NA,Terminalia L.,Plantae
Oreopanax guatemalensis,3036590,NA,Oreopanax guatemalensis Decne. & Planch.,Plantae
Artemisia herba-alba,3120848,NA,Artemisia herba-alba Asso,Plantae
Nitraria retusa,3986936,NA,Nitraria retusa (Forssk.) Asch.,Plantae
Tamarix nilotica,7316455,NA,Tamarix nilotica (Ehrenb.) Bunge,Plantae
Tamarix senegalensis,3613063,NA,Tamarix senegalensis DC.,Plantae
Alpinia japonica,5302050,NA,Alpinia japonica (Thunb.) Miq.,Plantae
Apium graveolens,5371879,NA,Apium graveolens L.,Plantae
Cymbopogon schoenanthus,2705269,NA,Cymbopogon schoenanthus (L.) Spreng.,Plantae
Ferula spp.,3034682,NA,Ferula L.,Plantae
Rubus rosifolius,8234521,NA,Rubus rosifolius Sm.,Plantae
Abies sachalinensis,2685437,NA,Abies sachalinensis (F.Schmidt) Mast.,Plantae
Acca sellowiana,5418629,3181977,Acca sellowiana (O.Berg) Burret,Plantae
Aceriphyllum rossii,5567874,7339206,Aceriphyllum rossii (Oliv.) Engl.,Plantae
Achillea abrotanoides,3120350,NA,Achillea abrotanoides (Vis.) Vis.,Plantae
Achillea arabica,3120275,NA,Achillea arabica Kotschy,Plantae
Achillea biebersteinii,3120276,3120275,Achillea biebersteinii Afanasiev,Plantae
Achillea clypeolata,3120016,NA,Achillea clypeolata Sm.,Plantae
Achillea crithmifolia,8059665,NA,Achillea crithmifolia Waldst. & Kit.,Plantae
Achillea erba-rotta,9536147,NA,Achillea erba-rotta All.,Plantae
Achillea millefolium,3120060,NA,Achillea millefolium L.,Plantae
Achillea moschata,6063803,7574220,"Achillea moschata Jacq., 1778",Plantae
Achillea nana,8714852,NA,Achillea nana L.,Plantae
Achillea nobilis,3120024,NA,Achillea nobilis L.,Plantae
Achillea ptarmica,3120333,NA,Achillea ptarmica L.,Plantae
Aconitum episcopale,7277368,NA,Aconitum episcopale H.Lév.,Plantae
Acorus calamus,2873769,NA,Acorus calamus L.,Plantae
Acorus calanus L.,2873769,NA,Acorus calamus L.,Plantae
Acorus gramineus,2873807,NA,Acorus gramineus Aiton,Plantae
Actinodium cunninghamii,3177659,NA,Actinodium cunninghamii Schauer ex Lindl.,Plantae
Aegle marmelos,5421195,NA,Aegle marmelos (L.) Corrêa,Plantae
Aeollanthus pubescens,3889346,NA,Aeollanthus pubescens Benth.,Plantae
Aframomum angustifolium,2758823,NA,Aframomum angustifolium (Sonn.) K.Schum.,Plantae
Aframomum melegueta,2758930,NA,Aframomum melegueta K.Schum.,Plantae
Agastache rugosa,7307327,NA,Agastache rugosa (Fisch. & C.A.Mey.) Kuntze,Plantae
Agathosma betulina,3190125,NA,Agathosma betulina (Bergius) Pillans,Plantae
Agathosma capensis,3834661,NA,Agathosma capensis (L.) Druce,Plantae
Agnorhiza bolanderi,3093481,NA,Agnorhiza bolanderi (A.Gray) W.A.Weber,Plantae
Ajania fastigiata,3112246,NA,Ajania fastigiata (C.Winkl.) Poljakov,Plantae
Akebia quinata,3033965,NA,Akebia quinata (Houtt.) Decne.,Plantae
Akebia trifoliata,7306109,NA,Akebia trifoliata (Thunb.) Koidz.,Plantae
Aloysia citriodora,5341164,NA,Aloysia citriodora Palau,Plantae
Aloysia citrodora,5667503,NA,Aloysia citrodora Paláu,Plantae
Aloysia triphylla,2925634,NA,Aloysia Paláu,Plantae
Alphinia galanga,5302225,NA,Alpinia galanga (L.) Willd.,Plantae
Alpinia breviligulata,5302180,NA,Alpinia breviligulata (Gagnep.) Gagnep.,Plantae
Alpinia galanga,5302225,NA,Alpinia galanga (L.) Willd.,Plantae
Alpinia katsumadai,5635657,NA,"Alpinia katsumadai Hayata, 1915",Plantae
Alpinia zerumbet,5301979,NA,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Plantae
Ambrosia artemisiifolia,8002952,NA,Ambrosia artemisiifolia L.,Plantae
Ammi majus,3034182,NA,Ammi majus L.,Plantae
Amomum compactum,8038080,NA,"Amomum compactum Roem. & Schult., 1817",Plantae
Amomum krervanh,8172268,NA,Amomum krervanh Pierre,Plantae
