original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Boenninghausenia albiflora,7269004,NA,Boenninghausenia albiflora (Hook.) Rchb. ex Meisn.,Plantae
Boronella koniambiensis,3834436,8247034,Boronella koniambiensis (Däniker) T.G.Hartley,Plantae
Boronia coerulescens,7268860,10714202,Boronia coerulescens F.Muell.,Plantae
Bothriocline ripensis,3089689,NA,Bothriocline ripensis (Hutch.) Wild & G.V.Pope,Plantae
Brachyglottis bidwillii,3138485,NA,Brachyglottis bidwillii (Hook.fil.) B.Nord.,Plantae
Brachylaena discolor var. transvaalensis,4231642,NA,Brachylaena discolor var. transvaalensis (E.Phillips & Schweick.) Beentje,Plantae
Brachythecium buchananii,2680031,NA,Brachythecium buchananii (Hook.) A.Jaeger,Plantae
Brassica napus var. napus,6392906,3042636,Brassica napus var. napus,Plantae
Brassica rapa subsp. chinensis,3042702,7903057,Brassica rapa subsp. chinensis (L.) Hanelt,Plantae
Brotherella henonii,2680407,NA,Brotherella henonii (Duby) M.Fleisch.,Plantae
Brunnera orientalis,4062281,NA,Brunnera orientalis (Schenk) I.M.Johnst.,Plantae
Bryonia alba,2874497,NA,Bryonia alba L.,Plantae
Buchenavia tetraphylla,3189398,9307101,Buchenavia tetraphylla (Aubl.) R.A.Howard,Plantae
Buxus hildebrandtii,3987952,NA,Buxus hildebrandtii Baill.,Plantae
Calea lantanoides,3147512,NA,Calea lantanoides Gardner,Plantae
Callicarpa acuminata,8121164,NA,Callicarpa acuminata Kunth,Plantae
Callistemon coccineus,3173392,NA,Callistemon coccineus F.Muell.,Plantae
Campanula rapunculus,5411920,NA,Campanula rapunculus L.,Plantae
Campylopus richardii,5281895,NA,Campylopus richardii Brid.,Plantae
Carex capillifolia,9616382,NA,Carex capillifolia (Decne.) S.R.Zhang,Plantae
Carex myosuroides,2710326,NA,Carex myosuroides Vill.,Plantae
Celastrus paniculatus,7265565,NA,Celastrus paniculatus Willd.,Plantae
Celosia cristada,3085196,6429520,Celosia cristata L.,Plantae
Celtis australis,2984492,NA,Celtis australis L.,Plantae
Ceramium botryocarpum,5276826,NA,Ceramium botryocarpum A.W.Griffiths ex Harv.,Plantae
Cereus candicans,7283386,10968642,Cereus candicans Gillies ex Salm-Dyck,Plantae
Cereus chrysacanthus,5624522,8671592,Cereus chrysacanthus (F.A.C.Weber ex K.Schum.) Orcutt,Plantae
Chamaecyparis formosensis,2683884,NA,Chamaecyparis formosensis Matsum.,Plantae
Chlorella vulgaris,5270961,NA,Chlorella vulgaris Beij.,Plantae
Chlorococcum,5271881,NA,"Chlorococcum Meneghini, 1842",Plantae
Chrozophora plicata,3054448,NA,Chrozophora plicata (Vahl) A.Juss. ex Spreng.,Plantae
Cibotium barometz,4195539,NA,Cibotium barometz (L.) J.Sm.,Plantae
Cichorium endivia,5392243,NA,Cichorium endivia L.,Plantae
Cinnamosma madagascariensis,3877809,NA,Cinnamosma madagascariensis Danguy,Plantae
Cleome dolichostyla,3873083,9699006,Cleome dolichostyla Jafri,Plantae
Cleome quinquenervia,3873348,9699006,Cleome quinquenervia DC.,Plantae
Clitoria ternatea,2946519,NA,Clitoria ternatea L.,Plantae
Coeloseira pacifica,2663412,2663778,"Coeloseira Hollenberg, 1941",Plantae
Coffea arabica,2895345,NA,Coffea arabica L.,Plantae
Colletia spinosissima,6371450,NA,Colletia spinosissima J.F.Gmel.,Plantae
Colocasia esculenta,5330776,NA,Colocasia esculenta (L.) Schott,Plantae
Corchorus aestuans,3152092,NA,Corchorus aestuans L.,Plantae
Corchorus olitorius,3152084,NA,Corchorus olitorius L.,Plantae
Coreopsis grandiflora,3133927,NA,Coreopsis grandiflora Hogg ex Sweet,Plantae
Coronilla cretica,5349969,NA,Coronilla cretica L.,Plantae
Cotinus coggygria,3190522,NA,Cotinus coggygria Scop.,Plantae
Cratoneuron filicinum,2673131,NA,Cratoneuron filicinum (Hedw.) Spruce,Plantae
Croton cortesianus,3059195,NA,Croton cortesianus Kunth,Plantae
Croton geayi,3058666,NA,Croton geayi Leandri,Plantae
Croton tiglium,3057656,NA,Croton tiglium L.,Plantae
Ctenidium percrassum,5283776,NA,Ctenidium percrassum Sakurai,Plantae
Cucurbita foetidissima,2874521,NA,Cucurbita foetidissima Kunth,Plantae
Cullen corylifolia,2948930,NA,Cullen corylifolium (L.) Medik.,Plantae
Cullen corylifolium,2948930,NA,Cullen corylifolium (L.) Medik.,Plantae
Cuscuta campestris,3610757,NA,Cuscuta campestris Yunck.,Plantae
Cyamopsis tetragonoloba,2946183,NA,Cyamopsis tetragonoloba (L.) Taub.,Plantae
Cystoclonium purpureum,2667639,NA,Cystoclonium purpureum (Hudson) Batters,Plantae
Dalbergia nitidula,2968896,NA,Dalbergia nitidula Welw. ex Baker,Plantae
Delphinium consolida,3033836,NA,Delphinium consolida L.,Plantae
Dicranum japonicum,2675508,NA,Dicranum japonicum Mitt.,Plantae
Dioscorea japonica,2755706,NA,Dioscorea japonica Thunb.,Plantae
Dioscorea opposita,2754969,2754965,Dioscorea opposita Thunb.,Plantae
Dioscorea pentaphylla,2754423,NA,Dioscorea pentaphylla L.,Plantae
Dipteronia dyeriana,3768558,NA,Dipteronia dyeriana Henry,Plantae
Dodonaea polyandra,5577073,NA,Dodonaea polyandra Merr. & L.M.Perry,Plantae
Dolichomitra cymbifolia,2676050,NA,Dolichomitra cymbifolia (Lindb.) Broth.,Plantae
Drosera indica,3190722,NA,Drosera indica L.,Plantae
Drummondita hassellii,7269312,NA,Drummondita hassellii (F.Muell.) Paul G.Wilson,Plantae
Dunaliella primolecta,2687987,NA,"Dunaliella primolecta Butcher, 1959",Plantae
Dysosma pleianthum,3981386,NA,Dysosma pleiantha (Hance) Woodson,Plantae
Echinacea purpurea,3150935,NA,Echinacea purpurea (L.) Moench,Plantae
Echinacea simulata,9923519,NA,Echinacea simulata Mc Gregor,Plantae
Echium glomeratum,8304153,NA,Echium glomeratum Poir.,Plantae
Elaeis guineensis,2731882,NA,Elaeis guineensis Jacq.,Plantae
Elaeodendron alluaudianum,3792329,NA,Elaeodendron alluaudianum H.Perrier,Plantae
Epilobium parviflorum,3189157,NA,Epilobium parviflorum Schreb.,Plantae
Epimedium brevicornu,3981041,NA,Epimedium brevicornu Maxim.,Plantae
Eragrostis tef,2705325,NA,Eragrostis tef (Zuccagni) Trotter,Plantae
Eremurus chinensis,2778797,NA,Eremurus chinensis O.Fedtsch.,Plantae
Erigeron alpinus,9074530,NA,Erigeron alpinus L.,Plantae
Eruca sativa,7474861,NA,Eruca sativa Hill,Plantae
Escontria chiotilla,3941495,8659284,Escontria chiotilla (F.A.C.Weber ex K.Schum.) Rose,Plantae
Eucryphia cordifolia,3920287,NA,Eucryphia cordifolia Cav.,Plantae
Eulobus californicus,8109957,NA,Eulobus californicus Nutt.,Plantae
Euphorbia glareosa,3065855,NA,Euphorbia glareosa Pall. ex M.Bieb.,Plantae
Euphorbia niciciana,8286849,NA,Euphorbia niciciana Borbás,Plantae
Eurhynchium striatum,2680247,NA,Eurhynchium striatum (Schreb. ex Hedw.) Schimp.,Plantae
Farlowia mollis,7415927,NA,Farlowia mollis Harv. & Bail.,Plantae
Feijoa sellowiana,3181977,NA,Feijoa sellowiana (O.Berg) O.Berg,Plantae
Fernandoa adenophylla,4093859,NA,Fernandoa adenophylla (Wall. ex G.Don) Steenis,Plantae
Festuca arundinacea,3073,NA,Poaceae,Plantae
Festuca rubra,2704922,NA,Festuca rubra L.,Plantae
Ficus carica,5361909,NA,Ficus carica L.,Plantae
Fimbristylis quinquangularis,2709171,NA,Fimbristylis quinquangularis (Vahl) Kunth,Plantae
Firmiana pallens,3668702,3668847,Firmiana pallens (Wall. ex King) Stearn,Plantae
Fissidens nobilis,5283311,NA,Fissidens nobilis Griff.,Plantae
Flindersia xanthoxyla,3835106,NA,Flindersia xanthoxyla (A.Cunn. ex Hook.) Domin,Plantae
Fructus kochiae,4891333,NA,"Fructus H.Engelhardt, 1877",Plantae
Fumaria kraliki,7392213,NA,Fumaria kralikii Jord.,Plantae
Galium mollugo,9039392,NA,Galium mollugo L.,Plantae
Garcinia binucao,3710915,NA,Garcinia binucao (Blanco) Choisy,Plantae
Garcinia cornea,3189556,NA,Garcinia L.,Plantae
Garcinia macrophylla,7727026,NA,Garcinia macrophylla Mart.,Plantae
Gardenia imperialis,5335157,NA,Gardenia imperialis K.Schum.,Plantae
Geum reptans,5369670,NA,Geum reptans L.,Plantae
Gleditsia triacanthos,2959443,NA,Gleditsia triacanthos L.,Plantae
Gnetum edule,9717715,NA,Gnetum edule (Willd.) Blume,Plantae
Gnetum parvifolium,2653207,NA,Gnetum parvifolium (Warb.) W.C.Cheng,Plantae
Gomesa radicans,5826459,NA,Gomesa radicans (Rchb.f.) M.W.Chase & N.H.Williams,Plantae
Gouania microcarpa,5602966,NA,Gouania microcarpa DC.,Plantae
Gracilaria longissima,5729951,NA,"Gracilaria longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Farnham, 1995",Plantae
Gracilaria verrucosa,5278849,5729951,Gracilaria verrucosa (Hudson) Papenfuss,Plantae
Gratiola officinalis,3171915,NA,Gratiola officinalis L.,Plantae
Grimmia pilifera,5281782,NA,Grimmia pilifera P.Beauv.,Plantae
Grindelia discoidea,3146171,NA,Grindelia Willd.,Plantae
Grindelia scorzonerifolia,3146266,NA,Grindelia scorzonerifolia Hook. & Arn.,Plantae
Gymnanthemum amygdalinum,3130899,NA,Gymnanthemum amygdalinum (Delile) Sch.Bip. ex Walp.,Plantae
Gymnanthemum myrianthum,3124059,NA,Gymnanthemum myrianthum (Hook.fil.) H.Rob.,Plantae
Hackelia floribunda,2925937,NA,Hackelia floribunda (Lehm.) I.M.Johnst.,Plantae
Hedwigia ciliata,12239754,NA,Hedwigia ciliata (Hedw.) Boucher,Plantae
Helianthus porteri,3119169,NA,Helianthus porteri (A.Gray) Pruski,Plantae
Helichrysum nudifolium,3131736,NA,Helichrysum nudifolium (L.) Less.,Plantae
Hieracium intybaceum,3065,NA,Asteraceae,Plantae
Hirschfeldia incana,3050595,NA,Hirschfeldia incana (L.) Lagr.-Foss.,Plantae
Honorius nutans,2773290,2773281,Honorius nutans (L.) Gray,Plantae
Hyoscyamus muticus,2928977,NA,Hyoscyamus muticus L.,Plantae
Hypericum reptans,3712281,NA,Hypericum reptans Hook.fil. & Thomson ex Dyer,Plantae
Hypnum fujiyamae,2681973,11352303,Hypnum fujiyamae (Broth.) Paris,Plantae
Hypopitys monotropa,2888342,NA,Hypopitys monotropa Crantz,Plantae
Hypoxis nyasica,2852961,NA,Hypoxis nyasica Baker,Plantae
Ilex purpurea,7315842,7315909,Ilex purpurea Hassk.,Plantae
Inezia integrifolia,5390903,NA,Inezia integrifolia (Klatt) E.Phillips,Plantae
Iodina rhombifolia,5828770,3789359,Iodina rhombifolia Hook. & Arn. ex Reissek,Plantae
Ipomoea batatas,2928551,NA,Ipomoea batatas (L.) Lam.,Plantae
Iryanthera coriacea,3744083,NA,Iryanthera coriacea Ducke,Plantae
Isoberlinia angolensis,2976324,NA,Isoberlinia angolensis (Welw. ex Benth.) Hoyle & Brenan,Plantae
Jasminum auriculatum,3682675,NA,Jasminum auriculatum Vahl,Plantae
Jodina rhombifolia,3789359,NA,Jodina rhombifolia Hook. & Arn. ex Reissek,Plantae
Johnstonella grayi,8269660,NA,Johnstonella grayi (Vasey & Rose) Hasenstab & M.G.Simpson,Plantae
Juglans cinerea,3054352,NA,Juglans cinerea L.,Plantae
Juniperus phoenicea,2684640,NA,Juniperus phoenicea L.,Plantae
Justicia betonica,7418885,NA,"Justicia betonica T.Anderson, 1867",Plantae
Justicia trinervia,3779775,3781991,Justicia trinervia Vahl,Plantae
Lablab purpureus,2952236,NA,Lablab purpureus (L.) Sweet,Plantae
Lactuca serriola,3140490,NA,Lactuca serriola L.,Plantae
Lallemantia iberica,5608183,NA,Lallemantia iberica (M.Bieb.) Fisch. & C.A.Mey.,Plantae
Lallemantia royleana,5608176,NA,Lallemantia royleana (Benth.) Benth.,Plantae
Lantana ukambensis,4083763,NA,Lantana ukambensis (Vatke) Verdc.,Plantae
Lathraea squamaria,3738478,NA,Lathraea squamaria L.,Plantae
Lawsonia inermis,5420912,NA,Lawsonia inermis L.,Plantae
Lepidium graminifolium,5376994,NA,Lepidium graminifolium L.,Plantae
Lepidium meyenii,5377042,NA,Lepidium meyenii Walp.,Plantae
Lepidonia jonesii,3124123,NA,Lepidonia jonesii (B.L.Turner) H.Rob. & V.A.Funk,Plantae
Lessingianthus compactiflorus,3117930,NA,Lessingianthus compactiflorus (Mart. ex Baker) H.Rob.,Plantae
Leucobryum neilgherrense,6136300,NA,"Leucobryum neilgherrense C.Muell., 1854",Plantae
Ligularia macrophylla,5395531,NA,Ligularia macrophylla (Ledeb.) DC.,Plantae
Ligustrum lucidum,3172297,NA,Ligustrum lucidum W.T.Aiton,Plantae
Loeskeobryum brevirostre,2679701,NA,Loeskeobryum brevirostre (Brid.) M.Fleisch.,Plantae
Lonchocarpus atropurpureus,2969234,NA,Lonchocarpus atropurpureus Benth.,Plantae
Luffa acutangula,2874601,NA,Luffa acutangula (L.) Roxb.,Plantae
Lycium barbarum,2928835,NA,Lycium barbarum L.,Plantae
Macaranga sinensis,3074287,NA,Macaranga sinensis (Baill.) Müll.Arg.,Plantae
Malvaviscus arboreus,3152775,NA,Malvaviscus arboreus Cav.,Plantae
Manihot catingae,3061079,NA,Manihot catingae Ule,Plantae
Manihot esculenta,3060998,NA,Manihot esculenta Crantz,Plantae
Marchantia polymorpha,2688570,NA,Marchantia polymorpha L.,Plantae
Maytenus loeseneri,7265554,9763743,Maytenus loeseneri Urb.,Plantae
Maytenus serrata,3793928,7265714,Maytenus serrata (Hochst. ex A.Rich.) R.Wilczek,Plantae
Mikania goyazensis,5398577,NA,Mikania goyazensis (B.L.Rob.) R.M.King & H.Rob.,Plantae
Mikania pohlii,5398463,NA,Mikania pohlii (Baker) R.M.King & H.Rob.,Plantae
Monodora angolensis,3154072,NA,Monodora angolensis Welw.,Plantae
Monotropa hypopitys,8249145,2888342,Monotropa hypopitys L.,Plantae
Monotropa uniflora,2888353,NA,Monotropa uniflora L.,Plantae
Murraya kwangsiensis,7269468,NA,Murraya kwangsiensis (C.C.Huang) C.C.Huang,Plantae
Musa X paradisiaca,2762752,NA,Musa × paradisiaca L.,Plantae
Musa acuminata,2762680,NA,Musa acuminata Colla,Plantae
Myuroclada maximowiczii,2680281,NA,Myuroclada maximowiczii (G.G.Borshch.) Steere & W.B.Schofield,Plantae
Neolitsea hiiranensis,4179851,NA,Neolitsea hiiranensis T.S.Liu & J.C.Liao,Plantae
Neolitsea villosa,7972524,NA,Neolitsea villosa (Blume) Merr.,Plantae
Nervilia aragoana,2836701,2836743,Nervilia aragoana Gaudich.,Plantae
Nervilia concolor,2836743,NA,Nervilia concolor (Blume) Schltr.,Plantae
Nervilia plicata,2836663,NA,Nervilia plicata (Andrews) Schltr.,Plantae
Nonea macrosperma,8191092,NA,Nonea macrosperma Boiss. & Heldr.,Plantae
Nuphar lutea,7551339,NA,Nuphar lutea (L.) Sibth. & Sm.,Plantae
Odontites rubra,7622039,5415024,Odontites rubra Gilib.,Plantae
Oenothera argillicola,3188802,NA,Oenothera argillicola Mack.,Plantae
Oenothera clavaeformis,6427621,7223874,Oenothera claviformis Torr. & Frém.,Plantae
Oenothera depressa,6428493,6427623,Oenothera depressa Greene,Plantae
Oenothera drummondii,3188857,NA,Oenothera drummondii Hook.,Plantae
Oenothera elata,3188829,NA,Oenothera elata Kunth,Plantae
Oenothera erythrosepala,3188895,3188894,Oenothera erythrosepala (Borbás) Borbás,Plantae
Oenothera glazioviana,3188894,NA,Oenothera glazioviana Micheli,Plantae
Oenothera grandiflora,8106009,NA,Oenothera grandiflora L'Her.,Plantae
Oenothera laciniata,3188867,NA,Oenothera laciniata Hill,Plantae
Oenothera lamarckiana,3188799,NA,Oenothera L.,Plantae
Oenothera missouriensis,6427665,7223886,Oenothera missouriensis Sims,Plantae
Oenothera odorata,7808784,NA,Oenothera odorata Jacq.,Plantae
Oenothera parviflora,8994150,NA,Oenothera parviflora L.,Plantae
Oenothera rhombipetala,3188826,NA,Oenothera rhombipetala Nutt. ex Torr. & A.Gray,Plantae
Oenothera rosea,3188875,NA,Oenothera rosea Aiton,Plantae
Oenothera serrulata,3189369,NA,Oenothera serrulata Nutt.,Plantae
Oenothera striata,7322371,NA,"Oenothera striata Ledeb., 1827",Plantae
Oenothera strigosa,2430,NA,Onagraceae,Plantae
Oenothera tetragona,6427785,NA,Oenothera tetragona Roth,Plantae
Oleandra wallichii,4196795,NA,Oleandra wallichii (Hook.) C.Presl,Plantae
Oncophorus crispifolius,5282302,12244046,Oncophorus crispifolius (Mitt.) Lindb.,Plantae
Ongokea klaineana,2889809,2889808,Ongokea klaineana Pierre,Plantae
Ononis natrix,2977234,NA,Ononis natrix L.,Plantae
Ophiorrhiza blumeana,5340990,NA,Ophiorrhiza blumeana Korth.,Plantae
Origanum majorana,2926615,NA,Origanum majorana L.,Plantae
Orobanche crenata,3173273,NA,Orobanche crenata Forssk.,Plantae
Orobanche variegata,3730307,NA,Orobanche variegata Wallr.,Plantae
Pachygone dasycarpa,3830169,NA,Pachygone dasycarpa Kurz,Plantae
Panicum miliaceum,2705090,NA,Panicum miliaceum L.,Plantae
Paranephelius uniflorus,3096189,NA,Paranephelius uniflorus Poepp. & Endl.,Plantae
Passiflora foetida,2874211,NA,Passiflora foetida L.,Plantae
Pectocarya platycarpa,2926122,NA,Pectocarya platycarpa (Munz & Johnst.) Munz & I.M.Johnst.,Plantae
Peperomia bracteata,4187152,NA,Peperomia bracteata A.W.Hill,Plantae
Peperomia campylotropa,4186319,NA,Peperomia campylotropa A.W.Hill,Plantae
Perezia carpholepis,5388110,5388109,Perezia carpholepis A.Gray,Plantae
Perilla frutescens var. arguta,7548282,7905147,Perilla frutescens var. arguta (Benth.) Hand.-Mazz.,Plantae
Periploca forrestii,5526327,NA,Periploca forrestii Schltr.,Plantae
Persea americana,3034046,NA,Persea americana Mill.,Plantae
Petalostemon purpureum,6372613,5353342,Petalostemon purpureus (Vent.) Rydb.,Plantae
Petunia nyctaginiflora,3802936,7758192,Petunia nyctaginiflora Juss.,Plantae
Phalaenopsis aphrodite,5311033,NA,Phalaenopsis aphrodite Rchb.f.,Plantae
Phlebodium aureum,2650479,NA,Phlebodium aureum (L.) J.Sm.,Plantae
Phlebodium decumanum,2650477,NA,Phlebodium decumanum (Willd.) J.Sm.,Plantae
Physalis solanaceus,7796156,NA,Physalis solanacea (Schltdl.) Axelius,Plantae
Pinus edulis,5285796,NA,Pinus edulis Engelm.,Plantae
Plagiochila porelloides,2688969,NA,Plagiochila porelloides (Torr. ex Nees) Lindenb.,Plantae
Plagiomnium maximoviczii,8370943,NA,Plagiomnium maximoviczii (Lindb.) T.J.Kop.,Plantae
Plagiothecium euryphyllum,5283479,NA,Plagiothecium euryphyllum (Cardot & Thér.) Z.Iwats.,Plantae
Plantago depressa,7303063,NA,Plantago depressa Willd.,Plantae
Plantago ovata,3189723,NA,Plantago ovata Forssk.,Plantae
Plectranthus mollis,3903101,10604331,Plectranthus mollis (Aiton) Spreng.,Plantae
Podocarpus amarus,5286249,2687875,Podocarpus amarus Blume,Plantae
Podocarpus salignus,5285968,NA,Podocarpus salignus D.Don,Plantae
Pogonatum inflexum,2682988,NA,Pogonatum inflexum (Lindb.) Sande Lac.,Plantae
Pouteria sapota,2884162,NA,Pouteria sapota (Jacq.) H.E.Moore & Stearn,Plantae
Premna microphylla,3896998,NA,Premna microphylla Turcz.,Plantae
Primula alpicola,5641124,NA,Primula alpicola (W.W.Sm.) Stapf,Plantae
Primula florindae,5640518,NA,Primula florindae Kingdon-Ward,Plantae
Primula pulverulenta,5641003,NA,Primula pulverulenta Duthie,Plantae
Primula sikkimensis,7290470,NA,Primula sikkimensis Hook.,Plantae
Prosopis ruscifolia,5358491,NA,Prosopis ruscifolia Griseb.,Plantae
Psidium cattleianum,5420641,NA,Psidium cattleianum Afzel. ex Sabine,Plantae
Psychotria bahiensis,2923066,NA,Psychotria bahiensis DC.,Plantae
Pteryxia terebinthina,3034667,NA,Pteryxia terebinthina (Hook.) J.M.Coult. & Rose,Plantae
Ptilota pectinata,2656693,NA,"Ptilota C.Agardh, 1817",Plantae
Pyrrhobryum spiniforme,2676461,NA,Pyrrhobryum spiniforme (Hedw.) Mitt.,Plantae
Ranunculus glacialis,3033461,NA,Ranunculus glacialis L.,Plantae
Raputia praetermissa,3834202,NA,Raputia praetermissa Pirani & Kallunki,Plantae
Rhizomnium tuomikoskii,8406871,NA,Rhizomnium tuomikoskii T.J.Kop.,Plantae
Rhizophora tagal,3874013,3086518,Rhizophora tagal Perr.,Plantae
Rhytidiadelphus squarrosus,2679707,NA,Rhytidiadelphus squarrosus (Hedw.) Warnst.,Plantae
Ribes alpinum,2986184,NA,Ribes alpinum L.,Plantae
Ribes cereum var. cereum,7219280,NA,Ribes cereum var. cereum,Plantae
Ribes montigenum,10137876,NA,Ribes montigenum Mc Clatchie,Plantae
Ribes nigrum,2986192,NA,Ribes nigrum L.,Plantae
Ribes orientale,2986141,NA,Ribes orientale Desf.,Plantae
Ribes uva-crispa,2986185,NA,Ribes uva-crispa L.,Plantae
Rosa canina,3002461,NA,Rosa canina L.,Plantae
Rosa platyacantha,3002728,NA,Rosa platyacantha Schrenk,Plantae
Rubia oncotricha,2892283,NA,Rubia oncotricha Hand.-Mazz.,Plantae
Rubus laciniatus,2992543,NA,Rubus laciniatus Willd.,Plantae
Rumex acetosa,2888951,NA,Rumex acetosa L.,Plantae
Sabadilla officinalis,2742019,2742010,Sabadilla officinalis (Schltdl. & Cham.) Standl.,Plantae
Salix herbacea,5373083,NA,Salix herbacea L.,Plantae
Salix reticulata,5372693,NA,Salix reticulata L.,Plantae
Salix retusa,8119241,NA,Salix retusa L.,Plantae
Salmea scandens,3134233,NA,Salmea scandens (L.) DC.,Plantae
Santalum acuminatum,3789456,NA,Santalum acuminatum (R.Br.) A.DC.,Plantae
Saussurea depressa,5404636,NA,Saussurea depressa Gren.,Plantae
Schistostephium rotundifolium,3114935,NA,Schistostephium rotundifolium (DC.) Fenzl ex Harv. & Sond.,Plantae
Schlotheimia grevilleana,5281108,5281128,Schlotheimia grevilleana Mitt.,Plantae
Scopelophila cataractae,5280346,NA,Scopelophila cataractae (Mitt.) Broth.,Plantae
Scrophularia canina,3170873,NA,Scrophularia canina L.,Plantae
Scrophularia grayana,7332903,7642564,Scrophularia grayana Maxim. ex Kom.,Plantae
Scrophularia kakudensis,7332876,NA,Scrophularia kakudensis Franch.,Plantae
Scrophularia koraiensis,3737379,7332876,Scrophularia koraiensis Nakai,Plantae
Scrophularia lanceolata,3170878,NA,Scrophularia lanceolata Pursh,Plantae
Scrophularia marilandica,3170885,NA,Scrophularia marilandica L.,Plantae
Scrophularia rubricaulis,3736110,NA,Scrophularia rubricaulis Boiss.,Plantae
Scurrula atropurpurea,4001841,NA,Scurrula atropurpurea (Blume) Danser,Plantae
Scurrura atropurpurea,4001841,NA,Scurrula atropurpurea (Blume) Danser,Plantae
Senecio isatideus,3108851,NA,Senecio isatideus DC.,Plantae
Senecio subrubriflorus,3107918,NA,Senecio subrubriflorus O.Hoffm.,Plantae
Senegalia mellifera,6710006,NA,Senegalia mellifera (Vahl) Seigler & Ebinger,Plantae
Serenoa repens,2735055,NA,Serenoa repens (W.Bartram) Small,Plantae
Serpocaulon loriceum,4023939,NA,Serpocaulon loriceum (L.) A.R.Sm.,Plantae
Serpocaulon triseriale,4023792,NA,Serpocaulon triseriale (Sw.) A.R.Sm.,Plantae
Sesamum orientale,8344965,NA,"Sesamum orientale Sieber ex C.Presl, 1828",Plantae
Siparuna pauciflora,3782356,NA,Siparuna pauciflora (Beurl.) A.DC.,Plantae
Solanum aethiopicum,2929847,NA,Solanum aethiopicum L.,Plantae
Solanum melongena,2930617,NA,Solanum melongena L.,Plantae
Solanum virginianum,2929920,NA,Solanum virginianum L.,Plantae
Sonneratia alba,5406998,NA,Sonneratia alba Sm.,Plantae
Sphagnum palustre,2669006,NA,Sphagnum palustre L.,Plantae
Spinacia oleracea,3083647,NA,Spinacia oleracea L.,Plantae
Spirodela polyrrhiza,4097481,NA,Spirodela polyrhiza (L.) Schleid.,Plantae
Stevia amambayensis,3125544,NA,Stevia amambayensis B.L.Rob.,Plantae
Stilpnopappus tomentosus,3098450,NA,Stilpnopappus tomentosus Mart. ex DC.,Plantae
Strychnos amazonica,5645104,NA,Strychnos amazonica Krukoff,Plantae
Stuckenia pectinata,7871428,NA,Stuckenia pectinata (L.) Börner,Plantae
Syzygium aromaticum,3183002,NA,Syzygium aromaticum (L.) Merr. & L.M.Perry,Plantae
Thalictrum revolutum,3033127,NA,Thalictrum revolutum DC.,Plantae
Thamnobryum plicatulum,2678688,NA,Thamnobryum plicatulum (Sande Lac.) Z.Iwats.,Plantae
Thlaspi arvense,3052680,NA,Thlaspi arvense L.,Plantae
Thuidium glaucinum,5838234,2679438,Thuidium glaucinum (Mitt.) Bosch & Sande Lac.,Plantae
Thuidium pristocalyx,2679438,NA,Thuidium pristocalyx (Müll.Hal.) A.Jaeger,Plantae
Thuidium recognitum,2679482,NA,Thuidium recognitum (Hedw.) Lindb.,Plantae
Thuidium tamariscinum,2679436,NA,Thuidium tamariscinum (Hedw.) Schimp.,Plantae
Treculia africana,7895921,NA,Treculia africana Decne. ex Trécul,Plantae
Trichodesma zeylanicum,7294697,NA,Trichodesma zeylanicum (Burm.fil.) R.Br.,Plantae
Trichosanthes rosthornii,7317615,NA,Trichosanthes rosthornii Harms,Plantae
Trifolium alexandrinum,5358907,NA,Trifolium alexandrinum L.,Plantae
Trigonella foenum-graecum,5360475,NA,Trigonella foenum-graecum L.,Plantae
Triticum spelta,2706402,2706403,Triticum spelta L.,Plantae
Triticum turanicum,2706398,4932508,Triticum turanicum Jakubz.,Plantae
Typha domingensis,5289534,NA,Typha domingensis Pers.,Plantae
Ulota crispa,2671967,NA,Ulota crispa (Hedw.) Brid.,Plantae
Ulva fasciata,9408069,NA,"Ulva Linnaeus, 1753",Plantae
Ulva linza,5273454,NA,Ulva linza L.,Plantae
Ulva prolifera,5273366,NA,Ulva prolifera O.F.Mull.,Plantae
Uncaria africana,5338288,NA,Uncaria africana G.Don,Plantae
Uncaria sterrophylla,5338119,NA,Uncaria sterrophylla Merr. & L.M.Perry,Plantae
Uvaria lucida,3154227,NA,Uvaria lucida Benth.,Plantae
Veltheimia viridifolia,2767970,8179261,Veltheimia viridifolia Jacq.,Plantae
Ventilago calyculata,7273619,7273609,Ventilago calyculata Tul.,Plantae
Ventilago denticulata,7273609,NA,Ventilago denticulata Willd.,Plantae
Vepris pilosa,8322934,NA,Vepris pilosa (Baker) I.Verd.,Plantae
Veratrum stenophyllum,2742155,2742091,Veratrum stenophyllum Diels,Plantae
Vesicularia ferriei,5283635,NA,Vesicularia ferriei (Cardot & Thér.) Broth.,Plantae
Viburnum chingii,7272669,NA,Viburnum chingii P.S.Hsu,Plantae
Vicia amoena,8170633,NA,Vicia amoena Fisch. ex Ser.,Plantae
Vicia faba,2974832,NA,Vicia faba L.,Plantae
Vigna aconitifolia,2982794,NA,Vigna aconitifolia (Jacq.) Maréchal,Plantae
Vigna radiata,2982380,NA,Vigna radiata (L.) R.Wilczek,Plantae
Vigna unguiculata,2982583,NA,Vigna unguiculata (L.) Walp.,Plantae
Viguiera pinnatilobata,5389886,9403293,Viguiera pinnatilobata (Sch.Bip.) S.F.Blake,Plantae
Vladimiria muliensis,4233489,4232432,Vladimiria muliensis (Hand.-Mazz.) Y.Ling,Plantae
