original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Morinda Citrifolia,NA,NA,NA,NA
Phaseolus Vulgaris,NA,NA,NA,NA
Datura Innoxia,NA,NA,NA,NA
Santalum Album,NA,NA,NA,NA
Herreania sp.,NA,NA,NA,NA
Eugenia sp.,NA,NA,NA,NA
