non_plant_organisms,original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Apis,,,,,
Apis species,,,,,
Aaptos aaptos,,,,,
Aspergillus unguis,,,,,
Aulacocephalus temmincki,,,,,
Crinipellis scabella,,,,,
Cystophora scalaris,,,,,
Eunicella cavolinii,,,,,
Ophiolepis superba,,,,,
Papilio phorcas,,,,,
Polycephalomyces nipponicus,,,,,
Rubrivivax gelatinosus,,,,,
Streptomyces parvisporogenes,,,,,
Euphorbia Antiquorum,,,,,
Radix euphorbiae pekinensis,,,,,
soybean,,,,,
Canscora Decussata,,,,,
Gyrophora hyperborea,,,,,
Lobophytum microlobulatum,,,,,
Agaricus hortensis,,,,,
Aguacate,,,,,
Alligator mississippiensis,,,,,
Aromia moschata,,,,,
Artemisia Annua,,,,,
Bitter bush,,,,,
Cacia concinna,,,,,
Caulis perillae,,,,,
Caulis perillae frutescentis,,,,,
Cetraria aculeata,,,,,
Cinamomum cassia,,,,,
Cinnamon,,,,,
Citrus Aurantifolia,,,,,
Citrus Sinensis,,,,,
Cladonia evansii,,,,,
Clonostachys rosea,,,,,
Coccus fagi,,,,,
Fusarium gibbosum,,,,,
Herba ecliptae prostratae,,,,,
Heterotropa,,,,,
Homo sapiens,,,,,
Houttuynia Cordata,,,,,
Jaspis stellifera,,,,,
Jugo,,,,,
Kumquat,,,,,
Lactarius scrobiculatus,,,,,
Lactobacillus casei,,,,,
Lippia Myriocephala,,,,,
Mentha Piperita,,,,,
Methylosinus trichosporium,,,,,
Mortierella elongata,,,,,
Mycobacterium tuberculosis,,,,,
Nasutitermes ephratae,,,,,
Nasutitermes nigriceps,,,,,
Pagrus major,,,,,
Parmelia vittata,,,,,
Peltigera aphthosa,,,,,
Pericarpium citri,,,,,
Pericarpium citri reticulatae,,,,,
Pericarpium citri reticulatae viride,,,,,
Petriella guttulata,,,,,
Pheidole pallidula,,,,,
Phyllobates aurotaenia,,,,,
Pinus spp,,,,,
Pinus spp.,,,,,
Pocillopora damicornis,,,,,
Protaetia cuprea,,,,,
Pseudallescheria boydii,,,,,
Pseudopterogorgia kallos,,,,,
Pyrosoma giganteum,,,,,
Radix chuanxiong,,,,,
Radix et rhizoma anisochili,,,,,
Rhinella arenarum,,,,,
Rhizobium phaseoli,,,,,
Rhizoma ahemones daddeanae,,,,,
Rhizoma chuanxiong,,,,,
Rosmarinus Officinalis,,,,,
Septoria pistaciarum,,,,,
Spongia maynardii,,,,,
Stereocaulon sasakii,,,,,
Stoeba extensa,,,,,
Streptomyces althioticus,,,,,
Streptomyces fumanus,,,,,
Streptomyces lavendofoliae,,,,,
Streptomyces odorifer,,,,,
Streptomyces violaceochromogenes,,,,,
Stypopodium flabelliforme,,,,,
Talaromyces luteus,,,,,
Thymus,,,,,
Thymus Carmanicus,,,,,
Torulopsis magnoliae,,,,,
Trifoliate orange,,,,,
Trypetheliopsis boninensis,,,,,
Turbo argyrostoma,,,,,
West African Pepper,,,,,
Xenia puertogalerae,,,,,
basil,,,,,
candyleaf,,,,,
cicely,,,,,
common myrtle,,,,,
common sunflower,,,,,
corn mint,,,,,
garlic,,,,,
marjoram,,,,,
parsley,,,,,
pomegranate,,,,,
rooibos,,,,,
tarragon,,,,,
tomato,,,,,
water mint,,,,,
Anarsia lineatella,,,,,
Andinobates fulguritus,,,,,
Anoplophora chinensis,,,,,
Armillaria edodes,,,,,
Bridelia Retusa,,,,,
Comaster multifida,,,,,
Daucus Carota,,,,,
Ecionemia geodides,,,,,
Heterotropha nipponca,,,,,
Lachnoanaerobaculum saburreum,,,,,
Myristica,,,,,
Penicillium cinerascens,,,,,
Rhizoma arisaema cum bile,,,,,
Rhodobacter sphaeroides,,,,,
Sordaria araneosa,,,,,
Streptomyces amakusaensis,,,,,
Volema,,,,,
Cortinarius viola,,,,,
Lissoclinum japonicum,,,,,
Pseudomonas syringae,,,,,
Saccharothrix mutabilis subsp. capreolus,,,,,
Sinularia leptoclados,,,,,
Streptomyces naraensis,,,,,
Crassostrea virginica,,,,,
Erythrina Variegata,,,,,
Macrocentrus cingulum,,,,,
Sophora Flavescens,,,,,
Usnea japonica,,,,,
liquorice,,,,,
Clitocybe phosphorea,,,,,
Hypogymnia billardieri,,,,,
Lecidea tumida,,,,,
Streptomyces violaceusniger,,,,,
Actinobacillus pleuropneumoniae,,,,,
Aspergillus unilateralis,,,,,
Asterias rubens,,,,,
Chroogomphus rutilus,,,,,
Chrysolina fastuosa,,,,,
Dolichospermum affine,,,,,
Enterococcus faecalis,,,,,
Eriogaster lanestris,,,,,
Fusarium sambucinum,,,,,
Ganoderma australe,,,,,
Heterocentrotus mammillatus,,,,,
Igernella notabilis,,,,,
Ircinia aruensis,,,,,
Melibe leonina,,,,,
Mola mola,,,,,
Nephroma antarcticum,,,,,
Oceanapia phillipensis,,,,,
Ophioplocus japonicus,,,,,
Pentapora fascialis,,,,,
Phalium undulatum,,,,,
Phomopsis archeri,,,,,
Phyllospongia madagascarensis,,,,,
Procambarus clarkii,,,,,
Puccinia coronata,,,,,
Salvia Plebeia,,,,,
Streptomyces purpeofuscus,,,,,
Tridacna gigas,,,,,
Tropiometra afra,,,,,
Turbinellus floccosus,,,,,
Wallago attu,,,,,
A new engineered strain of Saccharomyces cerevisiae SR7 [tHMGR1 ERG10],,,,,
Actinoplanes awajinensis,,,,,
Anabaena sphaerica,,,,,
Duranta Repens,,,,,
Engleromyces goetzei,,,,,
Fusarium vasinfectum,,,,,
Gibberella lateritium,,,,,
Jaspis digonoxea,,,,,
Kitasatospora kifunensis,,,,,
Malagasy connaraceous,,,,,
Oroxylum Indicum,,,,,
Polygonum Hydropiper,,,,,
Scoparia Dulcis,,,,,
Scoparia dulcis,,,,,
Scutellaria Barbata,,,,,
Scutellaria Indica,,,,,
Stereocaulon spathuliferum,,,,,
Tolypothrix byssoidea,,,,,
Achromobacter piechaudii,,,,,
Ganoderma capense,,,,,
Goniodoma pseudogoniaulax,,,,,
Streptomyces mediolani,,,,,
Streptomyces nashvillensis,,,,,
Streptomyces sahachiroi,,,,,
Ascodesmis sphaerospora,,,,,
Lactarius fuliginosus,,,,,
White sapote,,,,,
Aca sellowiana,,,,,
Briareum asbestinum,,,,,
Bunodosoma caissarum,,,,,
Colobocentrotus atratus,,,,,
