original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Aconitum napellus,3033665,,Aconitum napellus L.,Plantae,Aconitum,napellus,3033665
Aconitum vilmorinianum,3930629,,Aconitum vilmorinianum Kom.,Plantae,Aconitum,vilmorinianum,3930629
Actinidia kolomikta,7270682,,Actinidia kolomikta (Maxim. & Rupr.) Maxim.,Plantae,Actinidia,kolomikta,7270682
Aegiceras corniculatum,3721362,,Aegiceras corniculatum (L.) Blanco,Plantae,Aegiceras,corniculatum,3721362
Agardhiella tenera,7632159,,Agardhiella tenera J.Ag.,Plantae,Agardhiella,tenera,7632159
Ajuga bracteosa,3887998,9520699.0,Ajuga bracteosa Wall. ex Benth.,Plantae,Ajuga,bracteosa,9520699
Alchemilla pentaphyllea,3028493,,Alchemilla pentaphyllea L.,Plantae,Alchemilla,pentaphyllea,3028493
Alkanna froedinii,5661251,,Alkanna froedinii Rech.fil.,Plantae,Alkanna,froedinii,5661251
Alkanna orientalis,7295030,,Alkanna orientalis (L.) Boiss.,Plantae,Alkanna,orientalis,7295030
Allium monspessulanum,9624496,,Allium L.,Plantae,Allium,monspessulanum,9624496
Allium obliquum,2857444,,Allium obliquum L.,Plantae,Allium,obliquum,2857444
Allium schoenoprasum,2855860,,Allium schoenoprasum L.,Plantae,Allium,schoenoprasum,2855860
Alpinia oxyphylla,5302068,,Alpinia oxyphylla Miq.,Plantae,Alpinia,oxyphylla,5302068
Alstonia spectabilis,7316743,,Alstonia spectabilis R.Br.,Plantae,Alstonia,spectabilis,7316743
Amaranthus dubius,8279930,,Amaranthus dubius Mart.,Plantae,Amaranthus,dubius,8279930
Amaranthus hybridus,5384364,,Amaranthus hybridus L.,Plantae,Amaranthus,hybridus,5384364
Amaranthus viridis,5384334,,Amaranthus viridis L.,Plantae,Amaranthus,viridis,5384334
Amsinckia lunaris,2925872,,Amsinckia lunaris J.F.Macbr.,Plantae,Amsinckia,lunaris,2925872
Amsinckia menziesii var. intermedia,4273336,,Amsinckia menziesii var. intermedia (Fisch. & C.A.Mey.) Ganders,Plantae,Amsinckia,menziesii,4273336
Amyris marshii,5594864,,Amyris marshii Standl.,Plantae,Amyris,marshii,5594864
Anacardium occidentale,5421368,,Anacardium occidentale L.,Plantae,Anacardium,occidentale,5421368
Anagallis arvensis,3169305,9631539.0,Anagallis arvensis L.,Plantae,Anagallis,arvensis,9631539
Ananas comosus,5288819,,Ananas comosus (L.) Merr.,Plantae,Ananas,comosus,5288819
Anchusa strigosa,8192155,,Anchusa strigosa Banks & Sol.,Plantae,Anchusa,strigosa,8192155
Androsace helvetica,4006455,,Androsace helvetica (L.) All.,Plantae,Androsace,helvetica,4006455
Annona cherimola,5407147,,Annona cherimola Mill.,Plantae,Annona,cherimola,5407147
Arbutus menziesii,2882802,,Arbutus menziesii Pursh,Plantae,Arbutus,menziesii,2882802
Argyreia cuneata,3679063,,Argyreia cuneata (Willd.) Ker Gawl.,Plantae,Argyreia,cuneata,3679063
Armoracia rusticana,3041022,,"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",Plantae,Armoracia,rusticana,3041022
Arnica parryi,5406027,,Arnica parryi A.Gray,Plantae,Arnica,parryi,5406027
Artemisia taurica,9644482,,Artemisia taurica Willd.,Plantae,Artemisia,taurica,9644482
Artocarpus altilis,2984573,,Artocarpus altilis (Parkinson) Fosberg,Plantae,Artocarpus,altilis,2984573
Asparagus officinalis,2768885,,Asparagus officinalis L.,Plantae,Asparagus,officinalis,2768885
Astragalus bisulcatus,5346343,,Astragalus bisulcatus (Hook.) A.Gray,Plantae,Astragalus,bisulcatus,5346343
Astragalus danicus,5342838,,Astragalus danicus Retz.,Plantae,Astragalus,danicus,5342838
Astragalus mongholicus,5345341,,Astragalus mongholicus Bunge,Plantae,Astragalus,mongholicus,5345341
Azadirachta indica,3190474,,Azadirachta indica A.Juss.,Plantae,Azadirachta,indica,3190474
Baccharoides lasiopus,6064934,,Baccharoides lasiopus (O.Hoffm.) H.Rob.,Plantae,Baccharoides,lasiopus,6064934
Ballota limbata,3882860,3886741.0,Ballota limbata Benth.,Plantae,Ballota,limbata,3886741
Bartramia pomiformis,12327373,5282488.0,Bartramia pomiformis F.Weber & D.Mohr,Plantae,Bartramia,pomiformis,5282488
Benincasa hispida,2874524,,Benincasa hispida (Thunb.) Cogn.,Plantae,Benincasa,hispida,2874524
Bertholletia excelsa,3083180,,Bertholletia excelsa Bonpl.,Plantae,Bertholletia,excelsa,3083180
Boenninghausenia albiflora,7269004,,Boenninghausenia albiflora (Hook.) Rchb. ex Meisn.,Plantae,Boenninghausenia,albiflora,7269004
Boronella koniambiensis,3834436,8247034.0,Boronella koniambiensis (Däniker) T.G.Hartley,Plantae,Boronella,koniambiensis,8247034
Boronia coerulescens,7268860,10714202.0,Boronia coerulescens F.Muell.,Plantae,Boronia,coerulescens,10714202
Bothriocline ripensis,3089689,,Bothriocline ripensis (Hutch.) Wild & G.V.Pope,Plantae,Bothriocline,ripensis,3089689
Brachyglottis bidwillii,3138485,,Brachyglottis bidwillii (Hook.fil.) B.Nord.,Plantae,Brachyglottis,bidwillii,3138485
Brachylaena discolor var. transvaalensis,4231642,,Brachylaena discolor var. transvaalensis (E.Phillips & Schweick.) Beentje,Plantae,Brachylaena,discolor,4231642
Brachythecium buchananii,2680031,,Brachythecium buchananii (Hook.) A.Jaeger,Plantae,Brachythecium,buchananii,2680031
Brotherella henonii,2680407,,Brotherella henonii (Duby) M.Fleisch.,Plantae,Brotherella,henonii,2680407
Brunnera orientalis,4062281,,Brunnera orientalis (Schenk) I.M.Johnst.,Plantae,Brunnera,orientalis,4062281
Bryonia alba,2874497,,Bryonia alba L.,Plantae,Bryonia,alba,2874497
Buchenavia tetraphylla,3189398,9307101.0,Buchenavia tetraphylla (Aubl.) R.A.Howard,Plantae,Buchenavia,tetraphylla,9307101
Buxus hildebrandtii,3987952,,Buxus hildebrandtii Baill.,Plantae,Buxus,hildebrandtii,3987952
Calea lantanoides,3147512,,Calea lantanoides Gardner,Plantae,Calea,lantanoides,3147512
Callicarpa acuminata,8121164,,Callicarpa acuminata Kunth,Plantae,Callicarpa,acuminata,8121164
Callistemon coccineus,3173392,,Callistemon coccineus F.Muell.,Plantae,Callistemon,coccineus,3173392
Campanula rapunculus,5411920,,Campanula rapunculus L.,Plantae,Campanula,rapunculus,5411920
Campylopus richardii,5281895,,Campylopus richardii Brid.,Plantae,Campylopus,richardii,5281895
Carex capillifolia,9616382,,Carex capillifolia (Decne.) S.R.Zhang,Plantae,Carex,capillifolia,9616382
Carex myosuroides,2710326,,Carex myosuroides Vill.,Plantae,Carex,myosuroides,2710326
Celastrus paniculatus,7265565,,Celastrus paniculatus Willd.,Plantae,Celastrus,paniculatus,7265565
Celosia cristada,3085196,6429520.0,Celosia cristata L.,Plantae,Celosia,cristada,6429520
Celtis australis,2984492,,Celtis australis L.,Plantae,Celtis,australis,2984492
Ceramium botryocarpum,5276826,,Ceramium botryocarpum A.W.Griffiths ex Harv.,Plantae,Ceramium,botryocarpum,5276826
Cereus candicans,7283386,10968642.0,Cereus candicans Gillies ex Salm-Dyck,Plantae,Cereus,candicans,10968642
Cereus chrysacanthus,5624522,8671592.0,Cereus chrysacanthus (F.A.C.Weber ex K.Schum.) Orcutt,Plantae,Cereus,chrysacanthus,8671592
Chamaecyparis formosensis,2683884,,Chamaecyparis formosensis Matsum.,Plantae,Chamaecyparis,formosensis,2683884
Chlorella vulgaris,5270961,,Chlorella vulgaris Beij.,Plantae,Chlorella,vulgaris,5270961
Chlorococcum,5271881,,"Chlorococcum Meneghini, 1842",Plantae,Chlorococcum,spp.,5271881
Cibotium barometz,4195539,,Cibotium barometz (L.) J.Sm.,Plantae,Cibotium,barometz,4195539
Cichorium endivia,5392243,,Cichorium endivia L.,Plantae,Cichorium,endivia,5392243
Cinnamosma madagascariensis,3877809,,Cinnamosma madagascariensis Danguy,Plantae,Cinnamosma,madagascariensis,3877809
Cleome dolichostyla,3873083,9699006.0,Cleome dolichostyla Jafri,Plantae,Cleome,dolichostyla,9699006
Coeloseira pacifica,2663412,2663778.0,"Coeloseira Hollenberg, 1941",Plantae,Coeloseira,pacifica,2663778
Coffea arabica,2895345,,Coffea arabica L.,Plantae,Coffea,arabica,2895345
Colletia spinosissima,6371450,,Colletia spinosissima J.F.Gmel.,Plantae,Colletia,spinosissima,6371450
Colocasia esculenta,5330776,,Colocasia esculenta (L.) Schott,Plantae,Colocasia,esculenta,5330776
Corchorus aestuans,3152092,,Corchorus aestuans L.,Plantae,Corchorus,aestuans,3152092
Corchorus olitorius,3152084,,Corchorus olitorius L.,Plantae,Corchorus,olitorius,3152084
Coreopsis grandiflora,3133927,,Coreopsis grandiflora Hogg ex Sweet,Plantae,Coreopsis,grandiflora,3133927
Coronilla cretica,5349969,,Coronilla cretica L.,Plantae,Coronilla,cretica,5349969
Cotinus coggygria,3190522,,Cotinus coggygria Scop.,Plantae,Cotinus,coggygria,3190522
Cratoneuron filicinum,2673131,,Cratoneuron filicinum (Hedw.) Spruce,Plantae,Cratoneuron,filicinum,2673131
Croton cortesianus,3059195,,Croton cortesianus Kunth,Plantae,Croton,cortesianus,3059195
Croton geayi,3058666,,Croton geayi Leandri,Plantae,Croton,geayi,3058666
Croton tiglium,3057656,,Croton tiglium L.,Plantae,Croton,tiglium,3057656
Ctenidium percrassum,5283776,,Ctenidium percrassum Sakurai,Plantae,Ctenidium,percrassum,5283776
Cucurbita foetidissima,2874521,,Cucurbita foetidissima Kunth,Plantae,Cucurbita,foetidissima,2874521
Cuscuta campestris,3610757,,Cuscuta campestris Yunck.,Plantae,Cuscuta,campestris,3610757
Cyamopsis tetragonoloba,2946183,,Cyamopsis tetragonoloba (L.) Taub.,Plantae,Cyamopsis,tetragonoloba,2946183
Cystoclonium purpureum,2667639,,Cystoclonium purpureum (Hudson) Batters,Plantae,Cystoclonium,purpureum,2667639
Dalbergia nitidula,2968896,,Dalbergia nitidula Welw. ex Baker,Plantae,Dalbergia,nitidula,2968896
Delphinium consolida,3033836,,Delphinium consolida L.,Plantae,Delphinium,consolida,3033836
Dicranum japonicum,2675508,,Dicranum japonicum Mitt.,Plantae,Dicranum,japonicum,2675508
Dioscorea japonica,2755706,,Dioscorea japonica Thunb.,Plantae,Dioscorea,japonica,2755706
Dioscorea opposita,2754969,2754965.0,Dioscorea opposita Thunb.,Plantae,Dioscorea,opposita,2754965
Dioscorea pentaphylla,2754423,,Dioscorea pentaphylla L.,Plantae,Dioscorea,pentaphylla,2754423
Dipteronia dyeriana,3768558,,Dipteronia dyeriana Henry,Plantae,Dipteronia,dyeriana,3768558
Dodonaea polyandra,5577073,,Dodonaea polyandra Merr. & L.M.Perry,Plantae,Dodonaea,polyandra,5577073
Dolichomitra cymbifolia,2676050,,Dolichomitra cymbifolia (Lindb.) Broth.,Plantae,Dolichomitra,cymbifolia,2676050
Drosera indica,3190722,,Drosera indica L.,Plantae,Drosera,indica,3190722
Drummondita hassellii,7269312,,Drummondita hassellii (F.Muell.) Paul G.Wilson,Plantae,Drummondita,hassellii,7269312
Dunaliella primolecta,2687987,,"Dunaliella primolecta Butcher, 1959",Plantae,Dunaliella,primolecta,2687987
Dysosma pleianthum,3981386,,Dysosma pleiantha (Hance) Woodson,Plantae,Dysosma,pleianthum,3981386
Echinacea purpurea,3150935,,Echinacea purpurea (L.) Moench,Plantae,Echinacea,purpurea,3150935
Echinacea simulata,9923519,,Echinacea simulata Mc Gregor,Plantae,Echinacea,simulata,9923519
Echium glomeratum,8304153,,Echium glomeratum Poir.,Plantae,Echium,glomeratum,8304153
Elaeis guineensis,2731882,,Elaeis guineensis Jacq.,Plantae,Elaeis,guineensis,2731882
Elaeodendron alluaudianum,3792329,,Elaeodendron alluaudianum H.Perrier,Plantae,Elaeodendron,alluaudianum,3792329
Epilobium parviflorum,3189157,,Epilobium parviflorum Schreb.,Plantae,Epilobium,parviflorum,3189157
Epimedium brevicornu,3981041,,Epimedium brevicornu Maxim.,Plantae,Epimedium,brevicornu,3981041
Eragrostis tef,2705325,,Eragrostis tef (Zuccagni) Trotter,Plantae,Eragrostis,tef,2705325
Eremurus chinensis,2778797,,Eremurus chinensis O.Fedtsch.,Plantae,Eremurus,chinensis,2778797
Erigeron alpinus,9074530,,Erigeron alpinus L.,Plantae,Erigeron,alpinus,9074530
Eruca sativa,7474861,,Eruca sativa Hill,Plantae,Eruca,sativa,7474861
Escontria chiotilla,3941495,8659284.0,Escontria chiotilla (F.A.C.Weber ex K.Schum.) Rose,Plantae,Escontria,chiotilla,8659284
Eucryphia cordifolia,3920287,,Eucryphia cordifolia Cav.,Plantae,Eucryphia,cordifolia,3920287
Eulobus californicus,8109957,,Eulobus californicus Nutt.,Plantae,Eulobus,californicus,8109957
Euphorbia glareosa,3065855,,Euphorbia glareosa Pall. ex M.Bieb.,Plantae,Euphorbia,glareosa,3065855
Euphorbia niciciana,8286849,,Euphorbia niciciana Borbás,Plantae,Euphorbia,niciciana,8286849
Eurhynchium striatum,2680247,,Eurhynchium striatum (Schreb. ex Hedw.) Schimp.,Plantae,Eurhynchium,striatum,2680247
Farlowia mollis,7415927,,Farlowia mollis Harv. & Bail.,Plantae,Farlowia,mollis,7415927
Fernandoa adenophylla,4093859,,Fernandoa adenophylla (Wall. ex G.Don) Steenis,Plantae,Fernandoa,adenophylla,4093859
Festuca arundinacea,3073,,Poaceae,Plantae,Festuca,arundinacea,3073
Festuca rubra,2704922,,Festuca rubra L.,Plantae,Festuca,rubra,2704922
Ficus carica,5361909,,Ficus carica L.,Plantae,Ficus,carica,5361909
Fimbristylis quinquangularis,2709171,,Fimbristylis quinquangularis (Vahl) Kunth,Plantae,Fimbristylis,quinquangularis,2709171
Firmiana pallens,3668702,3668847.0,Firmiana pallens (Wall. ex King) Stearn,Plantae,Firmiana,pallens,3668847
Fissidens nobilis,5283311,,Fissidens nobilis Griff.,Plantae,Fissidens,nobilis,5283311
Flindersia xanthoxyla,3835106,,Flindersia xanthoxyla (A.Cunn. ex Hook.) Domin,Plantae,Flindersia,xanthoxyla,3835106
Fumaria kraliki,7392213,,Fumaria kralikii Jord.,Plantae,Fumaria,kraliki,7392213
Galium mollugo,9039392,,Galium mollugo L.,Plantae,Galium,mollugo,9039392
Garcinia binucao,3710915,,Garcinia binucao (Blanco) Choisy,Plantae,Garcinia,binucao,3710915
Garcinia macrophylla,7727026,,Garcinia macrophylla Mart.,Plantae,Garcinia,macrophylla,7727026
Gardenia imperialis,5335157,,Gardenia imperialis K.Schum.,Plantae,Gardenia,imperialis,5335157
Geum reptans,5369670,,Geum reptans L.,Plantae,Geum,reptans,5369670
Gleditsia triacanthos,2959443,,Gleditsia triacanthos L.,Plantae,Gleditsia,triacanthos,2959443
Gnetum edule,9717715,,Gnetum edule (Willd.) Blume,Plantae,Gnetum,edule,9717715
Gnetum parvifolium,2653207,,Gnetum parvifolium (Warb.) W.C.Cheng,Plantae,Gnetum,parvifolium,2653207
Gomesa radicans,5826459,,Gomesa radicans (Rchb.f.) M.W.Chase & N.H.Williams,Plantae,Gomesa,radicans,5826459
Gouania microcarpa,5602966,,Gouania microcarpa DC.,Plantae,Gouania,microcarpa,5602966
Gracilaria longissima,5729951,,"Gracilaria longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Farnham, 1995",Plantae,Gracilaria,longissima,5729951
Gratiola officinalis,3171915,,Gratiola officinalis L.,Plantae,Gratiola,officinalis,3171915
Grimmia pilifera,5281782,,Grimmia pilifera P.Beauv.,Plantae,Grimmia,pilifera,5281782
Grindelia discoidea,3146171,,Grindelia Willd.,Plantae,Grindelia,discoidea,3146171
Grindelia scorzonerifolia,3146266,,Grindelia scorzonerifolia Hook. & Arn.,Plantae,Grindelia,scorzonerifolia,3146266
Gymnanthemum amygdalinum,3130899,,Gymnanthemum amygdalinum (Delile) Sch.Bip. ex Walp.,Plantae,Gymnanthemum,amygdalinum,3130899
Gymnanthemum myrianthum,3124059,,Gymnanthemum myrianthum (Hook.fil.) H.Rob.,Plantae,Gymnanthemum,myrianthum,3124059
Hackelia floribunda,2925937,,Hackelia floribunda (Lehm.) I.M.Johnst.,Plantae,Hackelia,floribunda,2925937
Hedwigia ciliata,12239754,,Hedwigia ciliata (Hedw.) Boucher,Plantae,Hedwigia,ciliata,12239754
Helianthus porteri,3119169,,Helianthus porteri (A.Gray) Pruski,Plantae,Helianthus,porteri,3119169
Helichrysum nudifolium,3131736,,Helichrysum nudifolium (L.) Less.,Plantae,Helichrysum,nudifolium,3131736
Hirschfeldia incana,3050595,,Hirschfeldia incana (L.) Lagr.-Foss.,Plantae,Hirschfeldia,incana,3050595
Honorius nutans,2773290,2773281.0,Honorius nutans (L.) Gray,Plantae,Honorius,nutans,2773281
Hyoscyamus muticus,2928977,,Hyoscyamus muticus L.,Plantae,Hyoscyamus,muticus,2928977
Hypericum reptans,3712281,,Hypericum reptans Hook.fil. & Thomson ex Dyer,Plantae,Hypericum,reptans,3712281
Hypnum fujiyamae,2681973,11352303.0,Hypnum fujiyamae (Broth.) Paris,Plantae,Hypnum,fujiyamae,11352303
Hypopitys monotropa,2888342,,Hypopitys monotropa Crantz,Plantae,Hypopitys,monotropa,2888342
Hypoxis nyasica,2852961,,Hypoxis nyasica Baker,Plantae,Hypoxis,nyasica,2852961
Inezia integrifolia,5390903,,Inezia integrifolia (Klatt) E.Phillips,Plantae,Inezia,integrifolia,5390903
Iodina rhombifolia,5828770,3789359.0,Iodina rhombifolia Hook. & Arn. ex Reissek,Plantae,Iodina,rhombifolia,3789359
Ipomoea batatas,2928551,,Ipomoea batatas (L.) Lam.,Plantae,Ipomoea,batatas,2928551
Iryanthera coriacea,3744083,,Iryanthera coriacea Ducke,Plantae,Iryanthera,coriacea,3744083
Isoberlinia angolensis,2976324,,Isoberlinia angolensis (Welw. ex Benth.) Hoyle & Brenan,Plantae,Isoberlinia,angolensis,2976324
Jasminum auriculatum,3682675,,Jasminum auriculatum Vahl,Plantae,Jasminum,auriculatum,3682675
Johnstonella grayi,8269660,,Johnstonella grayi (Vasey & Rose) Hasenstab & M.G.Simpson,Plantae,Johnstonella,grayi,8269660
Juglans cinerea,3054352,,Juglans cinerea L.,Plantae,Juglans,cinerea,3054352
Juniperus phoenicea,2684640,,Juniperus phoenicea L.,Plantae,Juniperus,phoenicea,2684640
Justicia betonica,7418885,,"Justicia betonica T.Anderson, 1867",Plantae,Justicia,betonica,7418885
Justicia trinervia,3779775,3781991.0,Justicia trinervia Vahl,Plantae,Justicia,trinervia,3781991
Lablab purpureus,2952236,,Lablab purpureus (L.) Sweet,Plantae,Lablab,purpureus,2952236
Lactuca serriola,3140490,,Lactuca serriola L.,Plantae,Lactuca,serriola,3140490
Lallemantia iberica,5608183,,Lallemantia iberica (M.Bieb.) Fisch. & C.A.Mey.,Plantae,Lallemantia,iberica,5608183
Lallemantia royleana,5608176,,Lallemantia royleana (Benth.) Benth.,Plantae,Lallemantia,royleana,5608176
Lathraea squamaria,3738478,,Lathraea squamaria L.,Plantae,Lathraea,squamaria,3738478
Lawsonia inermis,5420912,,Lawsonia inermis L.,Plantae,Lawsonia,inermis,5420912
Lepidium graminifolium,5376994,,Lepidium graminifolium L.,Plantae,Lepidium,graminifolium,5376994
Lepidium meyenii,5377042,,Lepidium meyenii Walp.,Plantae,Lepidium,meyenii,5377042
Lepidonia jonesii,3124123,,Lepidonia jonesii (B.L.Turner) H.Rob. & V.A.Funk,Plantae,Lepidonia,jonesii,3124123
Lessingianthus compactiflorus,3117930,,Lessingianthus compactiflorus (Mart. ex Baker) H.Rob.,Plantae,Lessingianthus,compactiflorus,3117930
Leucobryum neilgherrense,6136300,,"Leucobryum neilgherrense C.Muell., 1854",Plantae,Leucobryum,neilgherrense,6136300
Ligularia macrophylla,5395531,,Ligularia macrophylla (Ledeb.) DC.,Plantae,Ligularia,macrophylla,5395531
Ligustrum lucidum,3172297,,Ligustrum lucidum W.T.Aiton,Plantae,Ligustrum,lucidum,3172297
Loeskeobryum brevirostre,2679701,,Loeskeobryum brevirostre (Brid.) M.Fleisch.,Plantae,Loeskeobryum,brevirostre,2679701
Lonchocarpus atropurpureus,2969234,,Lonchocarpus atropurpureus Benth.,Plantae,Lonchocarpus,atropurpureus,2969234
Luffa acutangula,2874601,,Luffa acutangula (L.) Roxb.,Plantae,Luffa,acutangula,2874601
Lycium barbarum,2928835,,Lycium barbarum L.,Plantae,Lycium,barbarum,2928835
Macaranga sinensis,3074287,,Macaranga sinensis (Baill.) Müll.Arg.,Plantae,Macaranga,sinensis,3074287
Malvaviscus arboreus,3152775,,Malvaviscus arboreus Cav.,Plantae,Malvaviscus,arboreus,3152775
Manihot catingae,3061079,,Manihot catingae Ule,Plantae,Manihot,catingae,3061079
Manihot esculenta,3060998,,Manihot esculenta Crantz,Plantae,Manihot,esculenta,3060998
Marchantia polymorpha,2688570,,Marchantia polymorpha L.,Plantae,Marchantia,polymorpha,2688570
Maytenus loeseneri,7265554,9763743.0,Maytenus loeseneri Urb.,Plantae,Maytenus,loeseneri,9763743
Maytenus serrata,3793928,7265714.0,Maytenus serrata (Hochst. ex A.Rich.) R.Wilczek,Plantae,Maytenus,serrata,7265714
Mikania goyazensis,5398577,,Mikania goyazensis (B.L.Rob.) R.M.King & H.Rob.,Plantae,Mikania,goyazensis,5398577
Mikania pohlii,5398463,,Mikania pohlii (Baker) R.M.King & H.Rob.,Plantae,Mikania,pohlii,5398463
Monodora angolensis,3154072,,Monodora angolensis Welw.,Plantae,Monodora,angolensis,3154072
Monotropa uniflora,2888353,,Monotropa uniflora L.,Plantae,Monotropa,uniflora,2888353
Murraya kwangsiensis,7269468,,Murraya kwangsiensis (C.C.Huang) C.C.Huang,Plantae,Murraya,kwangsiensis,7269468
Musa X paradisiaca,2762752,,Musa × paradisiaca L.,Plantae,Musa,X,2762752
Musa acuminata,2762680,,Musa acuminata Colla,Plantae,Musa,acuminata,2762680
Myuroclada maximowiczii,2680281,,Myuroclada maximowiczii (G.G.Borshch.) Steere & W.B.Schofield,Plantae,Myuroclada,maximowiczii,2680281
Neolitsea hiiranensis,4179851,,Neolitsea hiiranensis T.S.Liu & J.C.Liao,Plantae,Neolitsea,hiiranensis,4179851
Neolitsea villosa,7972524,,Neolitsea villosa (Blume) Merr.,Plantae,Neolitsea,villosa,7972524
Nervilia aragoana,2836701,2836743.0,Nervilia aragoana Gaudich.,Plantae,Nervilia,aragoana,2836743
Nervilia plicata,2836663,,Nervilia plicata (Andrews) Schltr.,Plantae,Nervilia,plicata,2836663
Nonea macrosperma,8191092,,Nonea macrosperma Boiss. & Heldr.,Plantae,Nonea,macrosperma,8191092
Nuphar lutea,7551339,,Nuphar lutea (L.) Sibth. & Sm.,Plantae,Nuphar,lutea,7551339
Odontites rubra,7622039,5415024.0,Odontites rubra Gilib.,Plantae,Odontites,rubra,5415024
Oenothera argillicola,3188802,,Oenothera argillicola Mack.,Plantae,Oenothera,argillicola,3188802
Oenothera clavaeformis,6427621,7223874.0,Oenothera claviformis Torr. & Frém.,Plantae,Oenothera,clavaeformis,7223874
Oenothera depressa,6428493,6427623.0,Oenothera depressa Greene,Plantae,Oenothera,depressa,6427623
Oenothera drummondii,3188857,,Oenothera drummondii Hook.,Plantae,Oenothera,drummondii,3188857
Oenothera elata,3188829,,Oenothera elata Kunth,Plantae,Oenothera,elata,3188829
Oenothera erythrosepala,3188895,3188894.0,Oenothera erythrosepala (Borbás) Borbás,Plantae,Oenothera,erythrosepala,3188894
Oenothera grandiflora,8106009,,Oenothera grandiflora L'Her.,Plantae,Oenothera,grandiflora,8106009
Oenothera laciniata,3188867,,Oenothera laciniata Hill,Plantae,Oenothera,laciniata,3188867
Oenothera lamarckiana,3188799,,Oenothera L.,Plantae,Oenothera,lamarckiana,3188799
Oenothera missouriensis,6427665,7223886.0,Oenothera missouriensis Sims,Plantae,Oenothera,missouriensis,7223886
Oenothera odorata,7808784,,Oenothera odorata Jacq.,Plantae,Oenothera,odorata,7808784
Oenothera parviflora,8994150,,Oenothera parviflora L.,Plantae,Oenothera,parviflora,8994150
Oenothera rhombipetala,3188826,,Oenothera rhombipetala Nutt. ex Torr. & A.Gray,Plantae,Oenothera,rhombipetala,3188826
Oenothera rosea,3188875,,Oenothera rosea Aiton,Plantae,Oenothera,rosea,3188875
Oenothera serrulata,3189369,,Oenothera serrulata Nutt.,Plantae,Oenothera,serrulata,3189369
Oenothera striata,7322371,,"Oenothera striata Ledeb., 1827",Plantae,Oenothera,striata,7322371
Oenothera strigosa,2430,,Onagraceae,Plantae,Oenothera,strigosa,2430
Oenothera tetragona,6427785,,Oenothera tetragona Roth,Plantae,Oenothera,tetragona,6427785
Oleandra wallichii,4196795,,Oleandra wallichii (Hook.) C.Presl,Plantae,Oleandra,wallichii,4196795
Oncophorus crispifolius,5282302,12244046.0,Oncophorus crispifolius (Mitt.) Lindb.,Plantae,Oncophorus,crispifolius,12244046
Ononis natrix,2977234,,Ononis natrix L.,Plantae,Ononis,natrix,2977234
Ophiorrhiza blumeana,5340990,,Ophiorrhiza blumeana Korth.,Plantae,Ophiorrhiza,blumeana,5340990
Orobanche crenata,3173273,,Orobanche crenata Forssk.,Plantae,Orobanche,crenata,3173273
Orobanche variegata,3730307,,Orobanche variegata Wallr.,Plantae,Orobanche,variegata,3730307
Pachygone dasycarpa,3830169,,Pachygone dasycarpa Kurz,Plantae,Pachygone,dasycarpa,3830169
Panicum miliaceum,2705090,,Panicum miliaceum L.,Plantae,Panicum,miliaceum,2705090
Paranephelius uniflorus,3096189,,Paranephelius uniflorus Poepp. & Endl.,Plantae,Paranephelius,uniflorus,3096189
Passiflora foetida,2874211,,Passiflora foetida L.,Plantae,Passiflora,foetida,2874211
Pectocarya platycarpa,2926122,,Pectocarya platycarpa (Munz & Johnst.) Munz & I.M.Johnst.,Plantae,Pectocarya,platycarpa,2926122
Peperomia bracteata,4187152,,Peperomia bracteata A.W.Hill,Plantae,Peperomia,bracteata,4187152
Peperomia campylotropa,4186319,,Peperomia campylotropa A.W.Hill,Plantae,Peperomia,campylotropa,4186319
Perezia carpholepis,5388110,5388109.0,Perezia carpholepis A.Gray,Plantae,Perezia,carpholepis,5388109
Periploca forrestii,5526327,,Periploca forrestii Schltr.,Plantae,Periploca,forrestii,5526327
Petunia nyctaginiflora,3802936,7758192.0,Petunia nyctaginiflora Juss.,Plantae,Petunia,nyctaginiflora,7758192
Phalaenopsis aphrodite,5311033,,Phalaenopsis aphrodite Rchb.f.,Plantae,Phalaenopsis,aphrodite,5311033
Phlebodium aureum,2650479,,Phlebodium aureum (L.) J.Sm.,Plantae,Phlebodium,aureum,2650479
Phlebodium decumanum,2650477,,Phlebodium decumanum (Willd.) J.Sm.,Plantae,Phlebodium,decumanum,2650477
Physalis solanaceus,7796156,,Physalis solanacea (Schltdl.) Axelius,Plantae,Physalis,solanaceus,7796156
Pinus edulis,5285796,,Pinus edulis Engelm.,Plantae,Pinus,edulis,5285796
Plagiochila porelloides,2688969,,Plagiochila porelloides (Torr. ex Nees) Lindenb.,Plantae,Plagiochila,porelloides,2688969
Plagiomnium maximoviczii,8370943,,Plagiomnium maximoviczii (Lindb.) T.J.Kop.,Plantae,Plagiomnium,maximoviczii,8370943
Plagiothecium euryphyllum,5283479,,Plagiothecium euryphyllum (Cardot & Thér.) Z.Iwats.,Plantae,Plagiothecium,euryphyllum,5283479
Plantago depressa,7303063,,Plantago depressa Willd.,Plantae,Plantago,depressa,7303063
Plantago ovata,3189723,,Plantago ovata Forssk.,Plantae,Plantago,ovata,3189723
Plectranthus mollis,3903101,10604331.0,Plectranthus mollis (Aiton) Spreng.,Plantae,Plectranthus,mollis,10604331
