Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,CodingNote,Parent,Version:2026 Jan 17 - 05:30 UTC
http://id.who.int/icd/entity/1884115764,http://id.who.int/icd/release/11/mms/1884115764,,BlockL1-6C0,- Elimination disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
,http://id.who.int/icd/release/11/mms/1884115764/unspecified,6C0Z,,"- - Elimination disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6C0,,,,,,http://id.who.int/icd/entity/1884115764,
http://id.who.int/icd/entity/1602669465,http://id.who.int/icd/release/11/mms/1602669465,,BlockL1-6C4,- Disorders due to substance use or addictive behaviours,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/590211325,http://id.who.int/icd/release/11/mms/590211325,,BlockL2-6C4,- - Disorders due to substance use,block,2.0,False,6.0,,False,,BlockL1-6C4,,,,,,http://id.who.int/icd/entity/1602669465,
http://id.who.int/icd/entity/826065555,http://id.who.int/icd/release/11/mms/826065555,,BlockL1-6C7,- Impulse control disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
,http://id.who.int/icd/release/11/mms/826065555/other,6C7Y,,- - Other specified impulse control disorders,category,1.0,True,6.0,,True,True,BlockL1-6C7,,,,,,http://id.who.int/icd/entity/826065555,
,http://id.who.int/icd/release/11/mms/826065555/unspecified,6C7Z,,"- - Impulse control disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6C7,,,,,,http://id.who.int/icd/entity/826065555,
http://id.who.int/icd/entity/37291724,http://id.who.int/icd/release/11/mms/37291724,,BlockL1-6D1,- Personality disorders and related traits,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/941859884,http://id.who.int/icd/release/11/mms/941859884,6D10,,- - Personality disorder,category,1.0,False,6.0,,False,True,BlockL1-6D1,,,,,,http://id.who.int/icd/entity/37291724,
http://id.who.int/icd/entity/795022044,http://id.who.int/icd/release/11/mms/795022044,6D80,,- - - Dementia due to Alzheimer disease,category,1.0,False,6.0,,False,False,BlockL1-6D7,BlockL2-6D8,,,,This category should never be used in primary tabulation. The codes are provided for use as supplementary or additional codes when it is desired to identify the presence of dementia in diseases classified elsewhere.,http://id.who.int/icd/entity/546689346,
http://id.who.int/icd/entity/1126473669,http://id.who.int/icd/release/11/mms/1126473669,6E64,,- - Secondary obsessive-compulsive or related syndrome,category,1.0,False,6.0,,True,False,BlockL1-6E6,,,,,,http://id.who.int/icd/entity/302122526,
http://id.who.int/icd/entity/518306574,http://id.who.int/icd/release/11/mms/518306574,6E69,,- - Secondary catatonia syndrome,category,1.0,False,6.0,,True,False,BlockL1-6E6,,,,,"Use additional code, if desired, for any underlying disorder if known.",http://id.who.int/icd/entity/302122526,
,http://id.who.int/icd/release/11/mms/334423054/other,6E8Y,,"- Other specified mental, behavioural or neurodevelopmental disorders",category,1.0,True,6.0,,True,True,,,,,,,http://id.who.int/icd/entity/334423054,
,http://id.who.int/icd/release/11/mms/334423054/unspecified,6E8Z,,"- Mental, behavioural or neurodevelopmental disorders, unspecified",category,1.0,True,6.0,,True,True,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/1296093776,http://id.who.int/icd/release/11/mms/1296093776,,,Diseases of the nervous system,chapter,1.0,False,8.0,,False,,,,,,,,,
http://id.who.int/icd/entity/384289569,http://id.who.int/icd/release/11/mms/384289569,,BlockL1-8A0,- Movement disorders,block,1.0,False,8.0,,False,,,,,,,,http://id.who.int/icd/entity/1296093776,
http://id.who.int/icd/entity/460883639,http://id.who.int/icd/release/11/mms/460883639,8A07,,- - Certain specified movement disorder,category,1.0,False,8.0,,False,True,BlockL1-8A0,,,,,,http://id.who.int/icd/entity/384289569,
,http://id.who.int/icd/release/11/mms/384289569/other,8A0Y,,- - Other specified movement disorders,category,1.0,True,8.0,,True,True,BlockL1-8A0,,,,,,http://id.who.int/icd/entity/384289569,
,http://id.who.int/icd/release/11/mms/384289569/unspecified,8A0Z,,"- - Movement disorders, unspecified",category,1.0,True,8.0,,True,True,BlockL1-8A0,,,,,,http://id.who.int/icd/entity/384289569,
http://id.who.int/icd/entity/1719545571,http://id.who.int/icd/release/11/mms/1719545571,,BlockL1-8A2,- Disorders with neurocognitive impairment as a major feature,block,1.0,False,8.0,,False,,,,,,,,http://id.who.int/icd/entity/1296093776,
