Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,CodingNote,Parent,Version:2026 Jan 17 - 05:30 UTC
http://id.who.int/icd/entity/1427638883,http://id.who.int/icd/release/11/mms/1427638883,6A62,,- - - Cyclothymic disorder,category,1.0,False,6.0,,True,True,BlockL1-6A6,BlockL2-6A6,,,,,http://id.who.int/icd/entity/613065957,
,http://id.who.int/icd/release/11/mms/613065957/other,6A6Y,,- - - Other specified bipolar or related disorders,category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A6,,,,,http://id.who.int/icd/entity/613065957,
,http://id.who.int/icd/release/11/mms/613065957/unspecified,6A6Z,,"- - - Bipolar or related disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A6,,,,,http://id.who.int/icd/entity/613065957,
http://id.who.int/icd/entity/1563440232,http://id.who.int/icd/release/11/mms/1563440232,,BlockL2-6A7,- - Depressive disorders,block,2.0,False,6.0,,False,,BlockL1-6A6,,,,,,http://id.who.int/icd/entity/76398729,
http://id.who.int/icd/entity/578635574,http://id.who.int/icd/release/11/mms/578635574,6A70,,- - - Single episode depressive disorder,category,1.0,False,6.0,,False,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
http://id.who.int/icd/entity/1194756772,http://id.who.int/icd/release/11/mms/1194756772,6A71,,- - - Recurrent depressive disorder,category,1.0,False,6.0,,False,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
http://id.who.int/icd/entity/810797047,http://id.who.int/icd/release/11/mms/810797047,6A72,,- - - Dysthymic disorder,category,1.0,False,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
http://id.who.int/icd/entity/314468192,http://id.who.int/icd/release/11/mms/314468192,6A73,,- - - Mixed depressive and anxiety disorder,category,1.0,False,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
,http://id.who.int/icd/release/11/mms/1563440232/other,6A7Y,,- - - Other specified depressive disorders,category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
,http://id.who.int/icd/release/11/mms/1563440232/unspecified,6A7Z,,"- - - Depressive disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
http://id.who.int/icd/entity/496273089,http://id.who.int/icd/release/11/mms/496273089,6A80,,- - Symptomatic and course presentations for mood episodes in mood disorders,category,1.0,False,6.0,,False,True,BlockL1-6A6,,,,,These categories should never be used in primary coding. The codes are provided for use as supplementary or additional codes when it is desired to identify specific clinically important features of mood episodes in mood disorders.,http://id.who.int/icd/entity/76398729,
,http://id.who.int/icd/release/11/mms/76398729/other,6A8Y,,- - Other specified mood disorders,category,1.0,True,6.0,,True,True,BlockL1-6A6,,,,,,http://id.who.int/icd/entity/76398729,
,http://id.who.int/icd/release/11/mms/76398729/unspecified,6A8Z,,"- - Mood disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A6,,,,,,http://id.who.int/icd/entity/76398729,
http://id.who.int/icd/entity/1336943699,http://id.who.int/icd/release/11/mms/1336943699,,BlockL1-6B0,- Anxiety or fear-related disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/1712535455,http://id.who.int/icd/release/11/mms/1712535455,6B00,,- - Generalised anxiety disorder,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
http://id.who.int/icd/entity/56162827,http://id.who.int/icd/release/11/mms/56162827,6B01,,- - Panic disorder,category,1.0,False,6.0,,True,True,BlockL1-6B0,,,,,,http://id.who.int/icd/entity/1336943699,
