Code,Title,Path
6C42,- - - Disorders due to use of synthetic cannabinoids,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C43,- - - Disorders due to use of opioids,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C44,"- - - Disorders due to use of sedatives, hypnotics or anxiolytics",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C45,- - - Disorders due to use of cocaine,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C46,"- - - Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C47,- - - Disorders due to use of synthetic cathinones,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C48,- - - Disorders due to use of caffeine,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C49,- - - Disorders due to use of hallucinogens,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4A,- - - Disorders due to use of nicotine,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4B,- - - Disorders due to use of volatile inhalants,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4C,"- - - Disorders due to use of methylene-dioxymethamphetamine [MDMA] or related drugs, including methylene-dioxyamphetamine [MDA]",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4D,- - - Disorders due to use of dissociative drugs including ketamine or phencyclidine (PCP),/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4E,"- - - Disorders due to use of other specified psychoactive substances, including medications",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4F,"- - - Disorders due to use of multiple specified psychoactive substances, including medications",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4G,- - - Disorders due to use of unknown or unspecified psychoactive substances,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4H,- - - Disorders due to use of non-psychoactive substances,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4Y,- - - Other specified disorders due to substance use,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C4Z,"- - - Disorders due to substance use, unspecified",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C50,- - - Gambling disorder,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use/- - Disorders due to addictive behaviours
6C51,- - - Gaming disorder,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use/- - Disorders due to addictive behaviours
6C5Y,- - - Other specified disorders due to addictive behaviours,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use/- - Disorders due to addictive behaviours
6C5Z,"- - - Disorders due to addictive behaviours, unspecified",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use/- - Disorders due to addictive behaviours
6C70,- - Pyromania,/- Impulse control disorders
6C71,- - Kleptomania,/- Impulse control disorders
6C72,- - Compulsive sexual behaviour disorder,/- Impulse control disorders
6C73,- - Intermittent explosive disorder,/- Impulse control disorders
6C7Y,- - Other specified impulse control disorders,/- Impulse control disorders
6C7Z,"- - Impulse control disorders, unspecified",/- Impulse control disorders
6C90,- - Oppositional defiant disorder,/- Disruptive behaviour or dissocial disorders
6C91,- - Conduct-dissocial disorder,/- Disruptive behaviour or dissocial disorders
6C9Y,- - Other specified disruptive behaviour or dissocial disorders,/- Disruptive behaviour or dissocial disorders
6C9Z,"- - Disruptive behaviour or dissocial disorders, unspecified",/- Disruptive behaviour or dissocial disorders
6D10,- - Personality disorder,/- Personality disorders and related traits
6D11,- - Prominent personality traits or patterns,/- Personality disorders and related traits
6D30,- - Exhibitionistic disorder,/- Paraphilic disorders
6D31,- - Voyeuristic disorder,/- Paraphilic disorders
6D32,- - Pedophilic disorder,/- Paraphilic disorders
6D33,- - Coercive sexual sadism disorder,/- Paraphilic disorders
6D34,- - Frotteuristic disorder,/- Paraphilic disorders
6D35,- - Other paraphilic disorder involving non-consenting individuals,/- Paraphilic disorders
6D36,- - Paraphilic disorder involving solitary behaviour or consenting individuals,/- Paraphilic disorders
6D3Z,"- - Paraphilic disorders, unspecified",/- Paraphilic disorders
6D50,- - Factitious disorder imposed on self,/- Factitious disorders
6D51,- - Factitious disorder imposed on another,/- Factitious disorders
6D5Z,"- - Factitious disorders, unspecified",/- Factitious disorders
6D70,- - Delirium,/- Neurocognitive disorders
6D71,- - Mild neurocognitive disorder,/- Neurocognitive disorders
6D72,- - Amnestic disorder,/- Neurocognitive disorders
6D80,- - - Dementia due to Alzheimer disease,/- Neurocognitive disorders/- - Dementia
6D81,- - - Dementia due to cerebrovascular disease,/- Neurocognitive disorders/- - Dementia
6D82,- - - Dementia due to Lewy body disease,/- Neurocognitive disorders/- - Dementia
6D83,- - - Frontotemporal dementia,/- Neurocognitive disorders/- - Dementia
6D84,- - - Dementia due to psychoactive substances including medications,/- Neurocognitive disorders/- - Dementia
6D85,- - - Dementia due to diseases classified elsewhere,/- Neurocognitive disorders/- - Dementia
6D86,- - - Behavioural or psychological disturbances in dementia,/- Neurocognitive disorders/- - Dementia
6D8Y,"- - - Dementia, other specified cause",/- Neurocognitive disorders/- - Dementia
6D8Z,"- - - Dementia, unknown or unspecified cause",/- Neurocognitive disorders/- - Dementia
6E0Y,- - Other specified neurocognitive disorders,/- Neurocognitive disorders/- - Dementia
6E0Z,"- - Neurocognitive disorders, unspecified",/- Neurocognitive disorders/- - Dementia
6E20,"- - Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms","/- Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium"
6E21,"- - Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms","/- Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium"
6E2Z,"- - Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium, unspecified","/- Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium"
6E40,- Psychological or behavioural factors affecting disorders or diseases classified elsewhere,
6E60,- - Secondary neurodevelopmental syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
6E61,- - Secondary psychotic syndrome,/- Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere
