plant_id,genus,species,gbif_key,synonyms,family_id
20039,Helichrysum,asperum,3131766.0,Helichrysum asperum,423
20040,Helichrysum,cymosum,3131345.0,Helichrysum cymosum,423
20041,Helichrysum,kraussii,3131274.0,Helichrysum kraussii,423
20042,Helichrysum,melanacme,3131968.0,Helichrysum melanacme,423
20043,Helichrysum,niveum,7926500.0,Helichrysum niveum,423
20044,Helichrysum,splendidum,3131768.0,Helichrysum splendidum,423
20045,Helichrysum,teretifolium,3131467.0,Helichrysum teretifolium,423
20046,Helichrysum,umbraculigerum,3131861.0,Helichrysum umbraculigerum,423
20047,Hoodia,gordonii,7956185.0,Hoodia gordonii,376
20048,Hyaenanche,globosa,3075183.0,Hyaenanche globosa,182
20049,Hypoxis,colchicifolia,2853001.0,Hypoxis colchicifolia,71
20050,Irvingia,gabonensis,5380976.0,Irvingia gabonensis,171
20051,Kigelia,africana,3172561.0,Kigelia africana,391
20052,Lachenalia,punctata,2775284.0,Lachenalia rubida,64
20053,Laurus,nobilis,3034015.0,Laurus nobilis,25
20054,Lawsonia,inermis,5420912.0,Lawsonia inermis,233
20055,Ledebouria,ovatifolia,2773678.0,Ledebouria ovatifolia,64
20056,Ledebouria,socialis,2773791.0,Ledebouria socialis,64
20057,Leonotis,leonurus,2926906.0,Leonotis leonurus,396
20058,Leonotis,ocymifolia,7307634.0,Leonotis ocymifolia,396
20059,Leucosidea,sericea,3030262.0,Leucosidea sericea,204
20060,Lippia,javanica,4086664.0,Lippia javanica,415
20061,Lippia,rehmannii,4084647.0,Lippia rehmannii,415
20062,Lippia,scaberrima,4084203.0,Lippia scaberrima,415
20063,Massonia,bifolia,2770402.0,Massonia bifolia,64
20064,Massonia,pustulata,2770444.0,Massonia pustulata,64
20065,Gymnosporia,procumbens,3794114.0,Maytenus procumbens,144
20066,Melianthus,major,3845298.0,Melianthus major,226
20067,Merwilla,plumbea,2768144.0,Merwilla plumbea,64
20068,Mimusops,obtusifolia,2883807.0,Mimusops obtusifolia,364
20069,Myristica,fragrans,5406817.0,Myristica fragrans,19
20070,Myrothamnus,flabellifolius,4936263.0,Myrothamnus flabellifolia,127
20071,Myrsine,africana,7331120.0,Myrsine africana,362
20072,Nerine,filifolia,5326933.0,Nerine filifolia,63
20073,Nerine,sarniensis,5326867.0,Nerine sarniensis,63
20074,Ocimum,labiatum,3897145.0,Ocimum labiatum,396
20075,Olax,dissitiflora,3685821.0,Olax dissitiflora,296
20076,Olea,europaea,5830157.0,Olea africana,402
20077,Olea,capensis,7475694.0,Olea capensis,402
20078,Olea,europaea,5415040.0,Olea europaea,402
20079,Oncosiphon,pilulifer,10852031.0,Oncosiphon piluliferum,423
20080,Ormocarpum,trichocarpum,2954028.0,Ormocarpum trichocarpum,193
20081,Ornithogalum,saundersiae,2773403.0,Ornithogalum saundersiae,64
20082,Ornithogalum,thyrsoides,2773545.0,Ornithogalum thyrsoides,64
20083,Osyris,lanceolata,7473922.0,Osyris lanceolata,298
20084,Oxyanthus,speciosus,2901539.0,Oxyanthus speciosus,381
20085,Parinari,capensis,2985030.0,Parinari capensis,159
20086,Parinari,curatellifolia,8185443.0,Parinari curatellifolia,159
20087,Pelargonium,sidoides,3827581.0,Pelargonium sidoides,229
20088,Peltophorum,africanum,2952780.0,Peltophorum africanum,193
20089,Pentanisia,prunelloides,2898462.0,Pentanisia prunelloides,381
20090,Coleus,barbatus,8030165.0,Plectranthus barbatus,396
20091,Plectranthus,ecklonii,3904963.0,Plectranthus ecklonii,396
20092,Plectranthus,hadiensis,8338131.0,Plectranthus hadiensis,396
20093,Plectranthus,lucidus,3903566.0,Plectranthus lucidus,396
20094,Plectranthus,purpuratus,7309146.0,Plectranthus purpuratus,396
20095,Coleus,venteri,11076130.0,Plectranthus venteri,396
20096,Prunus,africana,3022853.0,Prunus africana,204
20097,Pseudoprospero,firmifolium,2774040.0,Pseudoprospero firmifolium,64
20098,Putterlickia,verrucosa,3790785.0,Putterlickia verrucosa,144
20099,Rafnia,amplexicaulis,2974555.0,Rafnia amplexicaulis,193
20100,Rauvolfia,caffra,3618324.0,Rauvolfia caffra,376
20101,Resnova,humifusa,2767731.0,Resnova humifusa,64
20102,Rhodocodon,campanulatus,10808922.0,Rhodocodon campanulatus,64
20103,Rosa,soulieana,3004885.0,Rosa soulieana,204
20104,Salvia,africana,3886290.0,Salvia africana-caerulea,396
20105,Salvia,aurea,3884533.0,Salvia africana-lutea,396
20106,Salvia,albicaulis,3886103.0,Salvia albicaulis,396
20107,Salvia,aurita,7372122.0,Salvia aurita,396
20108,Salvia,chamelaeagnea,3881832.0,Salvia chamelaeagnea,396
20109,Salvia,disermas,8179998.0,Salvia disermas,396
20110,Salvia,dolomitica,3903804.0,Salvia dolomitica,396
20111,Salvia,lanceolata,7791208.0,Salvia lanceolata,396
20112,Salvia,muirii,3895306.0,Salvia muirii,396
20113,Salvia,namaensis,3895126.0,Salvia namaensis,396
20114,Salvia,repens,7307546.0,Salvia repens,396
20115,Salvia,runcinata,3888708.0,Salvia runcinata,396
20116,Salvia,schlechteri,3888159.0,Salvia schlechteri,396
20117,Scadoxus,puniceus,2860719.0,Scadoxus puniceus,63
20118,Mesembryanthemum,tortuosum,7750120.0,Sceletium tortuosum,305
20119,Neocussonia,umbellifera,3038863.0,Schefflera umbellifera,441
20120,Schkuhria,pinnata,8346536.0,Schkuhria pinnata,423
20121,Schotia,brachypetala,2959242.0,Schotia brachypetala,193
20122,Schizocarphus,nervosus,2771381.0,Scilla nervosa,64
20123,Ledebouria,zebrina,5952279.0,Scilla zebrina,64
20124,Scutia,myrtina,8317476.0,Scutia myrtina,203
20125,Searsia,chirindensis,5544393.0,Searsia chirindensis,251
20126,Securidaca,longepedunculata,5658133.0,Securidaca longepedunculata,195
20127,Senecio,chrysocoma,3108921.0,Senecio chrysocoma,423
20128,Senecio,oxyodontus,3108873.0,Senecio oxyodontus,423
20129,Senecio,paniculatus,3108792.0,Senecio paniculatus,423
20130,Senecio,pterophorus,3107177.0,Senecio pterophorus,423
20131,Sideroxylon,inerme,2887200.0,Sideroxylon inerme,364
20132,Siphonochilus,aethiopicus,2757671.0,Siphonochilus aethiopicus,93
20133,Solanum,aculeastrum,2929801.0,Solanum aculeastrum,388
20134,Solanum,aculeatissimum,2929394.0,Solanum aculeatissimum,388
20135,Solanum,panduriforme,2931607.0,Solanum panduriforme,388
20136,Sophora,flavescens,2959073.0,Sophora flavescens,193
20137,Sphaeranthus,indicus,8302135.0,Sphaeranthus indicus,423
20138,Spilanthes,acmella,7367845.0,Spilanthes acmella,423
20139,Spirostachys,africana,5378880.0,Spirostachys africana,166
20140,Streptocarpus,dunnii,8269257.0,Streptocarpus dunnii,395
20141,Struthiola,argentea,5524321.0,Struthiola argentea,270
20142,Suregada,zanzibariensis,3054868.0,Suregada zanzibariensis,166
20143,Lessertia,frutescens,5633333.0,Sutherlandia frutescens,193
20144,Syzygium,jambos,3183534.0,Syzygium jambos,235
20145,Vepris,gerrardii,10329959.0,Teclea gerrardii,257
20146,Vepris,natalensis,3834275.0,Teclea natalensis,257
20147,Terminalia,sericea,3699769.0,Terminalia sericea,231
20148,Zanthoxylum,asiaticum,10789822.0,Toddalia asiatica,257
20149,Vepris,bremekampii,3834676.0,Toddaliopsis bremekampii,257
20150,Turraea,floribunda,3849883.0,Turraea floribunda,255
20151,Typha,capensis,5289571.0,Typha capensis,109
20152,Vepris,glomerata,7269194.0,Vepris glomerata,257
20153,Gymnanthemum,amygdalinum,3130899.0,Vernonia amygdalina,423
20154,Vernonia,colorata,5396914.0,Vernonia colorata,423
20155,Vismia,baccifera,8113584.0,Vismia baccifera,170
20156,Vitex,rehmannii,3903327.0,Vitex rehmannii,396
20157,Warburgia,salutaris,5603223.0,Warburgia salutaris,8
20158,Xysmalobium,undulatum,3571866.0,Xysmalobium undulatum,376
