genus,species,family,kingdom,usageKey,acceptedUsageKey,acceptedScientificName
Elephantorrhiza,Elephantorrhiza elephantina,Fabaceae,Plantae,2933010,,Elephantorrhiza elephantina
Eleutherine,Eleutherine bulbosa,Iridaceae,Plantae,2749558,2749556.0,Eleutherine americana
Dicerothamnus,Dicerothamnus rhinocerotis,Asteraceae,Plantae,3104055,3104052.0,Elytropappus rhinocerotis
Eriocephalus,Eriocephalus punctulatus,Asteraceae,Plantae,3130102,,Eriocephalus punctulatus
Eriosema,Eriosema kraussianum,Fabaceae,Plantae,5349171,,Eriosema kraussianum
Erythrina,Erythrina caffra,Fabaceae,Plantae,5349557,,Erythrina caffra
Erythrophleum,Erythrophleum lasianthum,Fabaceae,Plantae,2971195,,Erythrophleum lasianthum
Euclea,Euclea natalensis,Ebenaceae,Plantae,6056978,,Euclea natalensis
Eucomis,Eucomis autumnalis,Asparagaceae,Plantae,2775117,,Eucomis autumnalis
Eucomis,Eucomis bicolor,Asparagaceae,Plantae,2775154,,Eucomis bicolor
Eucomis,Eucomis comosa,Asparagaceae,Plantae,2775144,,Eucomis comosa
Eucomis,Eucomis humilis,Asparagaceae,Plantae,2775128,,Eucomis humilis
Eucomis,Eucomis montana,Asparagaceae,Plantae,2775143,,Eucomis montana
Eucomis,Eucomis pallidiflora,Asparagaceae,Plantae,2775155,,Eucomis pallidiflora
Eucomis,Eucomis schijffii,Asparagaceae,Plantae,2775130,,Eucomis schiffii
Euphorbia,Euphorbia bothae,Euphorbiaceae,Plantae,3064695,,Euphorbia bothae
Euryops,Euryops floribundus,Asteraceae,Plantae,5394977,,Euryops floribundus
Ficus,Ficus glumosa,Moraceae,Plantae,5571065,,Ficus glumosa
Ficus,Ficus sansibarica,Moraceae,Plantae,7262605,,Ficus sansibarica
Foeniculum,Foeniculum vulgare,Apiaceae,Plantae,3034922,,Foeniculum vulgare
Aizoon,Aizoon africanum,Aizoaceae,Plantae,5554121,9810425.0,Galenia africana
Ornithogalum,Ornithogalum candicans,Asparagaceae,Plantae,5304316,2772982.0,Galtonia candicans
Garcinia,Garcinia livingstonei,Clusiaceae,Plantae,3189564,,Garcinia livingstonei
Geigeria,Geigeria aspera,Asteraceae,Plantae,3119865,,Geigeria aspera
Gethyllis,Gethyllis ciliaris,Amaryllidaceae,Plantae,2855231,,Gethyllis ciliaris
Greyia,Greyia flanaganii,Francoaceae,Plantae,3750353,,Greyia flanaganii
Gunnera,Gunnera perpensa,Gunneraceae,Plantae,3723634,,Gunnera perpensa
Halleria,Halleria lucida,Stilbaceae,Plantae,5560356,,Halleria lucida
Harpagophytum,Harpagophytum procumbens,Pedaliaceae,Plantae,3585335,,Harpagophytum procumbens
Helichrysum,Helichrysum asperum,Asteraceae,Plantae,3131766,,Helichrysum asperum
Helichrysum,Helichrysum cymosum,Asteraceae,Plantae,3131345,,Helichrysum cymosum
Helichrysum,Helichrysum kraussii,Asteraceae,Plantae,3131274,,Helichrysum kraussii
Helichrysum,Helichrysum melanacme,Asteraceae,Plantae,3131968,,Helichrysum melanacme
Helichrysum,Helichrysum niveum,Asteraceae,Plantae,7926500,,Helichrysum niveum
Helichrysum,Helichrysum splendidum,Asteraceae,Plantae,3131768,,Helichrysum splendidum
Helichrysum,Helichrysum teretifolium,Asteraceae,Plantae,3131467,,Helichrysum teretifolium
Helichrysum,Helichrysum umbraculigerum,Asteraceae,Plantae,3131861,,Helichrysum umbraculigerum
Hoodia,Hoodia gordonii,Apocynaceae,Plantae,7956185,,Hoodia gordonii
Hyaenanche,Hyaenanche globosa,Picrodendraceae,Plantae,3075183,,Hyaenanche globosa
Hypoxis,Hypoxis colchicifolia,Hypoxidaceae,Plantae,2853001,,Hypoxis colchicifolia
Irvingia,Irvingia gabonensis,Irvingiaceae,Plantae,5380976,,Irvingia gabonensis
Kigelia,Kigelia africana,Bignoniaceae,Plantae,3172561,,Kigelia africana
Lachenalia,Lachenalia punctata,Asparagaceae,Plantae,2775392,2775284.0,Lachenalia rubida
Laurus,Laurus nobilis,Lauraceae,Plantae,3034015,,Laurus nobilis
Lawsonia,Lawsonia inermis,Lythraceae,Plantae,5420912,,Lawsonia inermis
Ledebouria,Ledebouria ovatifolia,Asparagaceae,Plantae,2773678,,Ledebouria ovatifolia
Ledebouria,Ledebouria socialis,Asparagaceae,Plantae,2773791,,Ledebouria socialis
Leonotis,Leonotis leonurus,Lamiaceae,Plantae,2926906,,Leonotis leonurus
Leonotis,Leonotis ocymifolia,Lamiaceae,Plantae,7307634,,Leonotis ocymifolia
Leucosidea,Leucosidea sericea,Rosaceae,Plantae,3030262,,Leucosidea sericea
Lippia,Lippia javanica,Verbenaceae,Plantae,4086664,,Lippia javanica
Lippia,Lippia rehmannii,Verbenaceae,Plantae,4084647,,Lippia rehmannii
Lippia,Lippia scaberrima,Verbenaceae,Plantae,4084203,,Lippia scaberrima
Massonia,Massonia bifolia,Asparagaceae,Plantae,2770402,,Massonia bifolia
Massonia,Massonia pustulata,Asparagaceae,Plantae,2770444,,Massonia pustulata
Gymnosporia,Gymnosporia procumbens,Celastraceae,Plantae,3790860,3794114.0,Maytenus procumbens
Melianthus,Melianthus major,Melianthaceae,Plantae,3845298,,Melianthus major
Merwilla,Merwilla plumbea,Asparagaceae,Plantae,2768144,,Merwilla plumbea
Mimusops,Mimusops obtusifolia,Sapotaceae,Plantae,2883807,,Mimusops obtusifolia
Myristica,Myristica fragrans,Myristicaceae,Plantae,5406817,,Myristica fragrans
Myrothamnus,Myrothamnus flabellifolius,Myrothamnaceae,Plantae,4936263,,Myrothamnus flabellifolia
Myrsine,Myrsine africana,Primulaceae,Plantae,7331120,,Myrsine africana
Nerine,Nerine filifolia,Amaryllidaceae,Plantae,5326933,,Nerine filifolia
Nerine,Nerine sarniensis,Amaryllidaceae,Plantae,5326867,,Nerine sarniensis
Ocimum,Ocimum labiatum,Lamiaceae,Plantae,3897145,,Ocimum labiatum
Olax,Olax dissitiflora,Olacaceae,Plantae,3685821,,Olax dissitiflora
Olea,Olea europaea,Oleaceae,Plantae,5549554,5830157.0,Olea africana
Olea,Olea capensis,Oleaceae,Plantae,7475694,,Olea capensis
Olea,Olea europaea,Oleaceae,Plantae,5415040,,Olea europaea
