genus,species,family,kingdom
Merwilla,plumbea,Asparagaceae,Plantae
Mimusops,obtusifolia,Sapotaceae,Plantae
Myristica,fragrans,Myristicaceae,Plantae
Myrothamnus,flabellifolia,Myrothamnaceae,Plantae
Myrsine,africana,Primulaceae,Plantae
Nerine,filifolia,Amaryllidaceae,Plantae
Nerine,sarniensis,Amaryllidaceae,Plantae
Ocimum,labiatum,Lamiaceae,Plantae
Olax,dissitiflora,Olacaceae,Plantae
Olea,africana,Oleaceae,Plantae
Olea,capensis,Oleaceae,Plantae
Olea,europaea,Oleaceae,Plantae
Olea,europaea subs africana,Oleaceae,Plantae
Oncosiphon,piluliferum,Asteraceae,Plantae
Ormocarpum,trichocarpum,Fabaceae,Plantae
Ornithogalum,saundersiae,Asparagaceae,Plantae
Ornithogalum,thyrsoides,Asparagaceae,Plantae
Orthosiphon,labiatus,Lamiaceae,Plantae
Osyris,lanceolata,Santalaceae,Plantae
Oxyanthus,speciosus,Rubiaceae,Plantae
Parinari,capensis,Chrysobalanaceae,Plantae
Parinari,curatellifolia,Chrysobalanaceae,Plantae
Pelargonium,sidoides,Geraniaceae,Plantae
Peltophorum,africanum,Fabaceae,Plantae
Pentanisia,prunelloides,Rubiaceae,Plantae
Plectranthus,barbatus,Lamiaceae,Plantae
Plectranthus,ecklonii,Lamiaceae,Plantae
Plectranthus,hadiensis,Lamiaceae,Plantae
Plectranthus,lucidus,Lamiaceae,Plantae
Plectranthus,purpuratus,Lamiaceae,Plantae
Plectranthus,venteri,Lamiaceae,Plantae
Prunus,africana,Rosaceae,Plantae
Pseudoprospero,firmifolium,Asparagaceae,Plantae
Putterlickia,verrucosa,Celastraceae,Plantae
Quiuisianthe,papinae,Meliaceae,Plantae
Rafnia,amplexicaulis,Fabaceae,Plantae
Rauvolfia,caffra,Apocynaceae,Plantae
Resnova,humifusa,Asparagaceae,Plantae
Rhodocodon,aff. intermedius,Asparagaceae,Plantae
Rhodocodon,campanulatus,Asparagaceae,Plantae
Rosa,soulieana,Rosaceae,Plantae
Salvia,africana-caerulea,Lamiaceae,Plantae
Salvia,africana-lutea,Lamiaceae,Plantae
Salvia,albicaulis,Lamiaceae,Plantae
Salvia,aurita,Lamiaceae,Plantae
Salvia,chamelaeagnea,Lamiaceae,Plantae
Salvia,disermas,Lamiaceae,Plantae
Salvia,dolomitica,Lamiaceae,Plantae
Salvia,lanceolata,Lamiaceae,Plantae
Salvia,muirii,Lamiaceae,Plantae
Salvia,namaensis,Lamiaceae,Plantae
Salvia,repens,Lamiaceae,Plantae
Salvia,runcinata,Lamiaceae,Plantae
Salvia,schlechteri,Lamiaceae,Plantae
Scadoxus,puniceus,Amaryllidaceae,Plantae
Sceletium,tortuosum,Aizoaceae,Plantae
Schefflera,umbellifera,Araliaceae,Plantae
Schkuhria,pinnata,Asteraceae,Plantae
Schotia,brachypetala,Fabaceae,Plantae
Scilla,nervosa,Asparagaceae,Plantae
Scilla,zebrina,Asparagaceae,Plantae
Scutia,myrtina,Rhamnaceae,Plantae
Searsia,chirindensis,Anacardiaceae,Plantae
Securidaca,longepedunculata,Polygalaceae,Plantae
Securidaca,longependunculata,Polygalaceae,Plantae
Senecio,chrysocoma,Asteraceae,Plantae
Senecio,orthonnoflorus,Asteraceae,Plantae
Senecio,oxyodontus,Asteraceae,Plantae
Senecio,paniculatus,Asteraceae,Plantae
Senecio,pterophorus,Asteraceae,Plantae
Sideroxylon,inerme,Sapotaceae,Plantae
Siphonochilus,aethiopicus,Zingiberaceae,Plantae
Solanum,aculeastrum,Solanaceae,Plantae
Solanum,aculeatissimum,Solanaceae,Plantae
Solanum,panduriforme,Solanaceae,Plantae
Sophora,flavescens,Fabaceae,Plantae
Sphaeranthus,indicus,Asteraceae,Plantae
Spilanthes,acmella,Asteraceae,Plantae
Spirostachys,africana,Euphorbiaceae,Plantae
Streptocarpus,dunnii,Gesneriaceae,Plantae
Struthiola,argentea,Thymelaeaceae,Plantae
Suregada,zanzibariensis baill,Euphorbiaceae,Plantae
Sutherlandia,frutescens,Fabaceae,Plantae
Syzygium,jambos,Myrtaceae,Plantae
Teclea,gerrardii,Rutaceae,Plantae
Teclea,natalensis,Rutaceae,Plantae
Terminalia,sericea,Combretaceae,Plantae
Toddalia,asiatica,Rutaceae,Plantae
Toddaliopsis,bremekampii,Rutaceae,Plantae
Turraea,floribunda,Meliaceae,Plantae
Typha,capensis,Typhaceae,Plantae
Urginea,epigea,Asparagaceae,Plantae
Vepris,glomerata,Rutaceae,Plantae
Vernonia,amygdalina,Asteraceae,Plantae
Vernonia,colorata,Asteraceae,Plantae
Vismia,baccifera,Hypericaceae,Plantae
Vitex,rehmannii,Lamiaceae,Plantae
Warburgia,salutaris,Canellaceae,Plantae
Warburgia,salutaris (canellaceae),Canellaceae,Plantae
Xysmalobium,undulatum,Apocynaceae,Plantae
