wand_id,genus,species,gbif_usagekey,family_id
p144,Ornithogalum,thyrsoides,2773545.0,64
p145,Osyris,lanceolata,7473922.0,298
p146,Oxyanthus,speciosus,2901539.0,381
p147,Parinari,capensis,2985030.0,159
p148,Parinari,curatellifolia,8185443.0,159
p149,Pelargonium,sidoides,3827581.0,229
p150,Peltophorum,africanum,2952780.0,193
p151,Pentanisia,prunelloides,2898462.0,381
p152,Plectranthus,barbatus,8030165.0,396
p153,Plectranthus,ecklonii,3904963.0,396
p154,Plectranthus,hadiensis,8338131.0,396
p155,Plectranthus,lucidus,3903566.0,396
p156,Plectranthus,purpuratus,7309146.0,396
p157,Plectranthus,venteri,11076130.0,396
p158,Prunus,africana,3022853.0,204
p159,Pseudoprospero,firmifolium,2774040.0,64
p160,Putterlickia,verrucosa,3790785.0,144
p161,Quiuisianthe,papinae,8025262.0,255
p162,Rafnia,amplexicaulis,2974555.0,193
p163,Rauvolfia,caffra,3618324.0,376
p164,Resnova,humifusa,2767731.0,64
p165,Rhodocodon,aff.,10751636.0,64
p166,Rhodocodon,campanulatus,10808922.0,64
p167,Rosa,soulieana,3004885.0,204
p168,Salvia,africana-caerulea,3886290.0,396
p169,Salvia,africana-lutea,3884533.0,396
p170,Salvia,albicaulis,3886103.0,396
p171,Salvia,aurita,7372122.0,396
p172,Salvia,chamelaeagnea,3881832.0,396
p173,Salvia,disermas,8179998.0,396
p174,Salvia,dolomitica,3903804.0,396
p175,Salvia,lanceolata,7791208.0,396
p176,Salvia,muirii,3895306.0,396
p177,Salvia,namaensis,3895126.0,396
p178,Salvia,repens,7307546.0,396
p179,Salvia,runcinata,3888708.0,396
p180,Salvia,schlechteri,3888159.0,396
p181,Scadoxus,puniceus,2860719.0,63
p182,Sceletium,tortuosum,7750120.0,305
p183,Schefflera,umbellifera,3038863.0,441
p184,Schkuhria,pinnata,8346536.0,423
p185,Schotia,brachypetala,2959242.0,193
p186,Scilla,nervosa,2771381.0,64
p187,Scilla,zebrina,5952279.0,64
p188,Scutia,myrtina,8317476.0,203
p189,Searsia,chirindensis,5544393.0,251
p190,Securidaca,longepedunculata,5658133.0,195
p191,Senecio,chrysocoma,3108921.0,423
p192,Senecio,orthonnoflorus,3106738.0,423
p193,Senecio,oxyodontus,3108873.0,423
p194,Senecio,paniculatus,3108792.0,423
p195,Senecio,pterophorus,3107177.0,423
p196,Sideroxylon,inerme,2887200.0,364
p197,Siphonochilus,aethiopicus,2757671.0,93
p198,Solanum,aculeastrum,2929801.0,388
p199,Solanum,aculeatissimum,2929394.0,388
p200,Solanum,panduriforme,2931607.0,388
p201,Sophora,flavescens,2959073.0,193
p202,Sphaeranthus,indicus,8302135.0,423
p203,Spilanthes,acmella,7367845.0,423
p204,Spirostachys,africana,5378880.0,166
p205,Streptocarpus,dunnii,8269257.0,395
p206,Struthiola,argentea,5524321.0,270
p207,Suregada,zanzibariensis,3054868.0,166
p208,Sutherlandia,frutescens,5633333.0,193
p209,Syzygium,jambos,3183534.0,235
p210,Teclea,gerrardii,10329959.0,257
p211,Teclea,natalensis,3834275.0,257
p212,Terminalia,sericea,3699769.0,231
p213,Toddalia,asiatica,10789822.0,257
p214,Toddaliopsis,bremekampii,3834676.0,257
p215,Turraea,floribunda,3849883.0,255
p216,Typha,capensis,5289571.0,109
p217,Vepris,glomerata,7269194.0,257
p218,Vernonia,amygdalina,3130899.0,423
p219,Vernonia,colorata,5396914.0,423
p220,Vismia,baccifera,8113584.0,170
p221,Vitex,rehmannii,3903327.0,396
p222,Warburgia,salutaris,5603223.0,8
p223,Xysmalobium,undulatum,3571866.0,376
