genus,species,usageKey,family
Maytenus,procumbens,3794114.0,Celastraceae
Melianthus,major,3845298.0,Melianthaceae
Merwilla,plumbea,2768144.0,Asparagaceae
Mimusops,obtusifolia,2883807.0,Sapotaceae
Myristica,fragrans,5406817.0,Myristicaceae
Myrothamnus,flabellifolia,4936263.0,Myrothamnaceae
Myrsine,africana,7331120.0,Primulaceae
Nerine,filifolia,5326933.0,Amaryllidaceae
Nerine,sarniensis,5326867.0,Amaryllidaceae
Ocimum,labiatum,3897145.0,Lamiaceae
Olax,dissitiflora,3685821.0,Olacaceae
Olea,africana,5830157.0,Oleaceae
Olea,capensis,7475694.0,Oleaceae
Olea,europaea,5415040.0,Oleaceae
Oncosiphon,piluliferum,10852031.0,Asteraceae
Ormocarpum,trichocarpum,2954028.0,Fabaceae
Ornithogalum,saundersiae,2773403.0,Asparagaceae
Ornithogalum,thyrsoides,2773545.0,Asparagaceae
Osyris,lanceolata,7473922.0,Santalaceae
Oxyanthus,speciosus,2901539.0,Rubiaceae
Parinari,capensis,2985030.0,Chrysobalanaceae
Parinari,curatellifolia,8185443.0,Chrysobalanaceae
Pelargonium,sidoides,3827581.0,Geraniaceae
Peltophorum,africanum,2952780.0,Fabaceae
Pentanisia,prunelloides,2898462.0,Rubiaceae
Plectranthus,barbatus,8030165.0,Lamiaceae
Plectranthus,ecklonii,3904963.0,Lamiaceae
Plectranthus,hadiensis,8338131.0,Lamiaceae
Plectranthus,lucidus,3903566.0,Lamiaceae
Plectranthus,purpuratus,7309146.0,Lamiaceae
Plectranthus,venteri,11076130.0,Lamiaceae
Prunus,africana,3022853.0,Rosaceae
Pseudoprospero,firmifolium,2774040.0,Asparagaceae
Putterlickia,verrucosa,3790785.0,Celastraceae
Quiuisianthe,papinae,8025262.0,Meliaceae
Rafnia,amplexicaulis,2974555.0,Fabaceae
Rauvolfia,caffra,3618324.0,Apocynaceae
Resnova,humifusa,2767731.0,Asparagaceae
Rhodocodon,aff.,10751636.0,Asparagaceae
Rhodocodon,campanulatus,10808922.0,Asparagaceae
Rosa,soulieana,3004885.0,Rosaceae
Salvia,africana-caerulea,3886290.0,Lamiaceae
