Jaspis,digonoxea,Ancorinidae
Kigelia,africana,Bignoniaceae
Lachenalia,rubida,Asparagaceae
Latrunculia, kerwathi,Latrunculiidae
Latrunculia, lunaviridis,Latrunculiidae
Latrunculia,algoaensis,Latrunculiidae
Latrunculia,bellae,Latrunculiidae
Latrunculia,biformis,Latrunculiidae
Latrunculia,gotzi,Latrunculiidae
Latrunculia,lorii,Latrunculiidae
Latrunculia,microacanthoxea,Latrunculiidae
Laurus,nobilis,Lauraceae
Lawsonia,inermis,Lythraceae
Ledebouria,ovatifolia,Asparagaceae
Ledebouria,socialis,Asparagaceae
Leminda,millecra,Lemindidae
Leminda,millecra griffiths,Lemindidae
Leonotis,leonurus,Lamiaceae
Leonotis,ocymifolia,Lamiaceae
Leptogorgia,palma,Gorgoniidae
Leucosidea,sericea,Rosaceae
Leucosidea,sericea (rosaceae),Rosaceae
Lippia,javanica,Verbenaceae
Lippia,rehmannii,Verbenaceae
Lippia,scaberrima,Verbenaceae
Lissoclinum,species,Didemnidae
Macrocystis,angustifolia,Laminariaceae
Macrotermes,natalensis,Termitidae
Marchantia,polymorpha,Marchantiaceae
Massonia,bifolia,Asparagaceae
Massonia,pustulata,Asparagaceae
Maytenus,procumbens,Celastraceae
Melianthus,major,Melianthaceae
Merwilla,plumbea,Asparagaceae
Mimusops,obtusifolia,Sapotaceae
Murraya,exotica,NA
Myristica,fragrans,Myristicaceae
Myrothamnus,flabellifolia,Myrothamnaceae
Myrsine,africana,Primulaceae
Nephthea,sp,Nephtheidae
Nerine,filifolia,Amaryllidaceae
Nerine,sarniensis,Amaryllidaceae
Ocimum,labiatum,Lamiaceae
Olax,dissitiflora,Olacaceae
Olea,africana,Oleaceae
Olea,capensis,Oleaceae
Olea,europaea,Oleaceae
Olea,europaea subs africana,Oleaceae
Oncosiphon,piluliferum,Asteraceae
Ormocarpum,trichocarpum,Fabaceae
Ornithogalum,saundersiae,Asparagaceae
Ornithogalum,thyrsoides,Asparagaceae
Orthosiphon,labiatus,Lamiaceae
Osmundaria,serrata,Rhodomelaceae
Osyris,lanceolata,Santalaceae
Oxyanthus,speciosus,Rubiaceae
Pachastrella,sp.,Pachastrellidae
Parinari,capensis,Chrysobalanaceae
Parinari,curatellifolia,Chrysobalanaceae
Pelargonium,sidoides,Geraniaceae
Peltophorum,africanum,Fabaceae
Pentanisia,prunelloides,Rubiaceae
Pieterfaurea,unilobata,Acrophytidae
Plakortis,aff.simplex,Plakinidae
Plectranthus,barbatus,Lamiaceae
Plectranthus,ecklonii,Lamiaceae
Plectranthus,hadiensis,Lamiaceae
Plectranthus,lucidus,Lamiaceae
Plectranthus,purpuratus,Lamiaceae
Plectranthus,purpuratus,Lamiaceae
Plectranthus,venteri,Lamiaceae
Plocamium,corallorhiza,Plocamiaceae
Plocamium,cornutum,Plocamiaceae
Plocamium,maxillosum,Plocamiaceae
Plocamium,suhrii kützing,Plocamiaceae
Polysiphonia,virgata,Rhodomelaceae
Procyanidin,B1,NA
Prunus,africana,Rosaceae
Pseudodistoma,species (unspecified),NA
Pseudoprospero,firmifolium,Asparagaceae
Putterlickia,verrucosa,Celastraceae
Quiuisianthe,papinae,Meliaceae
Rafnia,amplexicaulis,Fabaceae
Rauvolfia,caffra,Apocynaceae
Resnova,humifusa,Asparagaceae
Rhodocodon,aff. intermedius,Asparagaceae
Rhodocodon,campanulatus,Asparagaceae
Riccia,albolimbata,Ricciaceae
Rosa,soulieana,Rosaceae
Rotalaria,agatiflora,NA
Salvia,africana-caerulea,Lamiaceae
Salvia,africana-lutea,Lamiaceae
Salvia,albicaulis,Lamiaceae
Salvia,aurita,Lamiaceae
Salvia,chamelaeagnea,Lamiaceae
Salvia,disermas,Lamiaceae
Salvia,dolomitica,Lamiaceae
Salvia,lanceolata,Lamiaceae
Salvia,muirii,Lamiaceae
Salvia,namaensis,Lamiaceae
Salvia,repens,Lamiaceae
Salvia,runcinata,Lamiaceae
Salvia,schlechteri,Lamiaceae
Sargassum,heterophyllum,Sargassaceae
Scadoxus,puniceus,Amaryllidaceae
Sceletium,tortuosum,Aizoaceae
Schefflera,umbellifera,Araliaceae
Schkuhria,pinnata,Asteraceae
Schotia,brachypetala,Fabaceae
Scilla,nervosa,Asparagaceae
Scilla,zebrina,Asparagaceae
Scutia,myrtina,Rhamnaceae
Searsia,chirindensis,Anacardiaceae
Securidaca,longepedunculata,Polygalaceae
Securidaca,longependunculata,Polygalaceae
Senecio,chrysocoma,Asteraceae
Senecio,orthonnoflorus,Asteraceae
Senecio,oxyodontus,Asteraceae
Senecio,paniculatus,Asteraceae
Senecio,pterophorus,Asteraceae
Sideroxylon,inerme,Sapotaceae
Sinularia,dura,Sinulariidae
Siphonaria,capensis,Siphonariidae
Siphonaria,oculus,Siphonariidae
Siphonaria,serrata,Siphonariidae
Siphonochilus,aethiopicus,Zingiberaceae
Solanum,aculeastrum,Solanaceae
Solanum,aculeatissimum,Solanaceae
Solanum,panduriforme,Solanaceae
Sophora,flavescens,Fabaceae
Sphaeranthus,indicus,Asteraceae
Spilanthes,acmella,Asteraceae
Spirastrella,spinispirulifera (porifera),Trachycladidae
Spirostachys,africana,Euphorbiaceae
Streptocarpus,dunnii,Gesneriaceae
Streptomyces,sp.,Streptomycetaceae
Streptomyces,sp. RB1,Streptomycetaceae
Strongylodesma,algoaensis,Latrunculiidae
Strongylodesma,aliwaliensis,Latrunculiidae
Strongylodesma,species (unspecified),NA
Strongylodesma,tsitsikammaensis,Latrunculiidae
Struthiola,argentea,Thymelaeaceae
Suregada,zanzibariensis baill,Euphorbiaceae
Sutherlandia,frutescens,Fabaceae
Synoicum,globosum,Polyclinidae
Syzygium,jambos,Myrtaceae
Teclea,gerrardii,Rutaceae
Teclea,natalensis,Rutaceae
Terminalia,sericea,Combretaceae
Termitomyces,microcarpus,Lyophyllaceae
Toddalia,asiatica,Rutaceae
Toddaliopsis,bremekampii,Rutaceae
Topsentia,pachastrelloides,Halichondriidae
Trimusculus,costatus,Trimusculidae
Tsitsikamma,favus,Latrunculiidae
Tsitsikamma,pedunculata,Latrunculiidae
Tsitsikamma,scurra,Latrunculiidae
Turraea,floribunda,Meliaceae
Typha,capensis,Typhaceae
Urginea,epigea,Asparagaceae
Vepris,glomerata,Rutaceae
Vernonia,amygdalina,Asteraceae
Vernonia,colorata,Asteraceae
Vismia,baccifera,Hypericaceae
Vitex,rehmannii,Lamiaceae
Warburgia,salutaris,Canellaceae
Warburgia,salutaris (canellaceae),Canellaceae
Ximenia,caffra,Ximeniaceae
Xysmalobium,undulatum,Apocynaceae
