pathway,superclass,class
Terpenoids,Triterpenoids,Shionane triterpenoids
Terpenoids,Triterpenoids,Pachysanane triterpenoids
Terpenoids,Triterpenoids,Bauerane triterpenoids
Terpenoids,Triterpenoids,Adianane triterpenoids
Terpenoids,Triterpenoids,Filicane triterpenoids
Terpenoids,Triterpenoids,Malabaricane triterpenoids
Terpenoids,Triterpenoids,Saponaceolide triterpenoids
Terpenoids,Steroids,Bufadienolides
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-Ψ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, ε-Ψ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-Ψ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, Χ-Ψ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, γ-ε)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-π)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-Χ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-κ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, κ-Χ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-π)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-Χ)"
Terpenoids,Carotenoids (C45),"Carotenoids (C45, β-Ψ)"
Terpenoids,Carotenoids (C45),"Carotenoids (C45, ε-Ψ)"
Terpenoids,Carotenoids (C50),"Carotenoids (C50, β-β)"
Terpenoids,Carotenoids (C50),"Carotenoids (C50, ε-ε)"
Terpenoids,Carotenoids (C50),"Carotenoids (C50, γ-γ)"
Terpenoids,Apocarotenoids,"Apocarotenoids (C30, Ψ-Ψ)"
Terpenoids,Polyprenols,Bactoprenols
Terpenoids,Polyprenols,Dolichols
Terpenoids,Polyprenols,Polyprenol derivatives
Terpenoids,Meroterpenoids,Other polyketide meroterpenoids
Terpenoids,Meroterpenoids,Merosesquiterpenoids
Terpenoids,Meroterpenoids,Meroterpenoids with 5- or 6-membered ring
Terpenoids,Meroterpenoids,Meroterpenoids with bridged ring
Terpenoids,Diterpenoids,Platensimycin and Platencins
Terpenoids,Meroterpenoids,Merohemiterpenoids
Terpenoids,Sesquiterpenoids,Agarofuran sesquiterpenoids
Terpenoids,Meroterpenoids,"Polyprenylated cyclic polyketides (Hop
meroterpenoids)"
Terpenoids,Steroids,Vitamin D3 and derivatives
Terpenoids,Triterpenoids,Limonoids
Terpenoids,Triterpenoids,Lupane triterpenoids
Terpenoids,Triterpenoids,Ursane and Taraxastane triterpenoids
Terpenoids,Steroids,Cardenolides
Terpenoids,Diterpenoids,Briarane diterpenoids
Terpenoids,Diterpenoids,Grayanotoxane diterpenoids
Terpenoids,Triterpenoids,Oleanane triterpenoids
Terpenoids,Sesquiterpenoids,Lactarane sesquiterpenoids
Terpenoids,Tryptophan alkaloids,Indole-Diterpenoid alkaloids (Penitrems)
Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids
Terpenoids,Diterpenoids,Mulinane diterpenoids
Terpenoids,Sesterterpenoids,Norsesterterpenoids
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-β)"
Terpenoids,Sesquiterpenoids,Laurane sesquiterpenoids
Terpenoids,Triterpenoids,Dammarane and Protostane triterpenoids
Terpenoids,Sesquiterpenoids,Cedrane and Isocedrane sesquiterpenoids
Terpenoids,Sesterterpenoids,Monocarbocyclic sesterterpenoids
Terpenoids,Carotenoids (C40),"Carotenoids (C40, Ψ-Ψ)"
Terpenoids,Diterpenoids,Cembrane diterpenoids
Terpenoids,Sesquiterpenoids,Cyclofarnesane sesquiterpenoids
Terpenoids,Meroterpenoids,Spriromeroterpenoids
Terpenoids,Sesquiterpenoids,Trichothecane sesquiterpenoids
Terpenoids,Pseudoalkaloids,Steroidal alkaloids
Terpenoids,Triterpenoids,Quassinoids
Terpenoids,Triterpenoids,Cycloartane triterpenoids
Terpenoids,Triterpenoids,Multiflorane triterpenoids
Terpenoids,Triterpenoids,Serratane triterpenoids
Terpenoids,Diterpenoids,Kaurane and Phyllocladane diterpenoids
Terpenoids,Sesquiterpenoids,Chamigrane sesquiterpenoids
Terpenoids,Diterpenoids,Nagilactone diterpenoids
Terpenoids,Sesquiterpenoids,Africanane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Asteriscane sesquiterpenoids
Terpenoids,Diterpenoids,Guanacastane diterpenoids
Terpenoids,Diterpenoids,Pachydictyane diterpenoids
Terpenoids,Sesterterpenoids,Linear sesterterpenoids
Terpenoids,Steroids,Ecdysteroids
Terpenoids,Steroids,Vitamin D2 and derivatives
Terpenoids,Triterpenoids,Cucurbitane triterpenoids
Terpenoids,Diterpenoids,Taxane diterpenoids
Terpenoids,Sesquiterpenoids,Oppositane sesquiterpenoids
Terpenoids,Diterpenoids,Furanoabietane diterpenoids
Terpenoids,Diterpenoids,Tetracyclic diterpenoids
Terpenoids,Steroids,Furostane steroids
Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Gymnomitrane sesquiterpenoids
Terpenoids,Sesquiterpenoids,"Presilphiperfolane and Probotryane
sesquiterpenoids"
Terpenoids,Diterpenoids,Pseudopterane diterpenoids
Terpenoids,Diterpenoids,Xenicane diterpenoids
Terpenoids,Diterpenoids,Serrulatane and Biflorane diterpenoids
Terpenoids,Triterpenoids,Abeolupane triterpenoids
Terpenoids,Triterpenoids,Acyclic triterpenoids
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-ε)"
Terpenoids,Diterpenoids,Dolabellane diterpenoids
Terpenoids,Triterpenoids,Apotirucallane triterpenoids
Terpenoids,Steroids,Pregnane steroids
Terpenoids,Sesquiterpenoids,Tremulane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Pentalenane sesquiterpenoids
Terpenoids,Diterpenoids,Totarane diterpenoids
Terpenoids,Triterpenoids,Onocerane triterpenoids
Terpenoids,Triterpenoids,Polypodane triterpenoids
Terpenoids,Carotenoids (C50),"Carotenoids (C50, Ψ-Ψ)"
Terpenoids,Monoterpenoids,Thujane monoterpenoids
Terpenoids,Diterpenoids,Erythroxylane diterpenoids
Terpenoids,Diterpenoids,Xeniaphyllane diterpenoids
Terpenoids,Pseudoalkaloids,Terpenoid alkaloids
Terpenoids,Triterpenoids,Hopane and Moretane triterpenoids
Terpenoids,Monoterpenoids,Iridoids monoterpenoids
Terpenoids,Steroids,Androstane steroids
Terpenoids,Steroids,Cholestane steroids
Terpenoids,Monoterpenoids,Carane monoterpenoids
Terpenoids,Sesquiterpenoids,Picrotoxane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Thujopsane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Valerenane sesquiterpenoids
Terpenoids,Diterpenoids,Halimane diterpenoids
Terpenoids,Diterpenoids,Rhamnofolane diterpenoids
Terpenoids,Steroids,Cholane steroids
Terpenoids,Sesquiterpenoids,Spirovetivane sesquiterpenoids
Terpenoids,Apocarotenoids,Apocarotenoids(ε-)
Terpenoids,Diterpenoids,Colensane and Clerodane diterpenoids
Terpenoids,Sesquiterpenoids,Himachalane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Nardosinane sesquiterpenoids
Terpenoids,Diterpenoids,Fusicoccane diterpenoids
Terpenoids,Sesterterpenoids,Cheilanthane sesterterpenoids
Terpenoids,Triterpenoids,Fusidane triterpenoids
Terpenoids,Sesquiterpenoids,Guaiane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Pseudoguaiane sesquiterpenoids
Terpenoids,Diterpenoids,Cassane diterpenoids
Terpenoids,Meroterpenoids,Tetraketide meroterpenoids
Terpenoids,Sesquiterpenoids,Eremophilane sesquiterpenoids
Terpenoids,Diterpenoids,Eunicellane diterpenoids
Terpenoids,Sesterterpenoids,Scalarane sesterterpenoids
Terpenoids,Sesquiterpenoids,Caryolane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Illudalane sesquiterpenoids
Terpenoids,Diterpenoids,Viscidane diterpenoids
Terpenoids,Steroids,Ergostane steroids
Terpenoids,Sesquiterpenoids,Patchoulane sesquiterpenoids
Terpenoids,Diterpenoids,Norkaurane diterpenoids
Terpenoids,Diterpenoids,Beyerane diterpenoids
Terpenoids,Triterpenoids,Fernane and Arborinane triterpenoids
Terpenoids,Diterpenoids,Jatrophane diterpenoids
Terpenoids,Sesquiterpenoids,Bergamotane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Illudane sesquiterpenoids
Terpenoids,Triterpenoids,Glutinane triterpenoids
Terpenoids,Sesquiterpenoids,Aromadendrane sesquiterpenoids
Terpenoids,Diterpenoids,Ingenane diterpenoids
Terpenoids,Diterpenoids,Labdane diterpenoids
Terpenoids,Diterpenoids,Secolabdane diterpenoids
Terpenoids,Steroids,Spirostane steroids
Terpenoids,Steroids,Stigmastane steroids
Terpenoids,Monoterpenoids,Menthane monoterpenoids
Terpenoids,Monoterpenoids,Irregular monoterpenoids
Terpenoids,Sesquiterpenoids,Capnellane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Carabrane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Clovane sesquiterpenoids
Terpenoids,Diterpenoids,Abietane diterpenoids
Terpenoids,Diterpenoids,Spongiane diterpenoids
Terpenoids,Diterpenoids,Trachylobane diterpenoids
Terpenoids,Diterpenoids,Cyathane diterpenoids
Terpenoids,Diterpenoids,Prenyleudesmane diterpenoids
Terpenoids,Triterpenoids,Neohopane triterpenoids
Terpenoids,Monoterpenoids,Monocyclic monoterpenoids
Terpenoids,Monoterpenoids,Secoiridoid monoterpenoids
Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids"
Terpenoids,Sesquiterpenoids,Brasilane sesquiterpenoids
Terpenoids,Monoterpenoids,Pinane monoterpenoids
Terpenoids,Diterpenoids,Verticillane diterpenoids
Terpenoids,Diterpenoids,Atisane diterpenoids
Terpenoids,Sesquiterpenoids,Cuparane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Zizaane sesquiterpenoids
Terpenoids,Diterpenoids,Sphenolobane diterpenoids
Terpenoids,Meroterpenoids,Meromonoterpenoids
Terpenoids,Sesquiterpenoids,Daucane sesquiterpenoids
Terpenoids,Diterpenoids,Secokaurane diterpenoids
Terpenoids,Apocarotenoids,Apocarotenoids (β-)
Terpenoids,Sesquiterpenoids,Cycloeudesmane sesquiterpenoids
Terpenoids,Steroids,Estrane steroids
Terpenoids,Sesquiterpenoids,Botryane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Humulane sesquiterpenoids
Terpenoids,Diterpenoids,Podocarpane diterpenoids
Terpenoids,Sesquiterpenoids,Campherenane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Copacamphane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Dunniane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Gorgonane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Ishwarane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Isolactarane sesquiterpenoids
Terpenoids,Diterpenoids,Pimarane and Isopimarane diterpenoids
Terpenoids,Triterpenoids,Friedelane triterpenoids
Terpenoids,Triterpenoids,Stictane triterpenoids
Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Noreudesmane sesquiterpenoids
Terpenoids,Diterpenoids,Cleistanthane diterpenoids
Terpenoids,Sesquiterpenoids,Copaane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Secoeudesmane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Acorane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Cubebane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Cyclolaurane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Humbertiane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Isodaucane sesquiterpenoids
Terpenoids,Diterpenoids,Icetexane diterpenoids
Terpenoids,Triterpenoids,Gammacerane triterpenoids
Terpenoids,Apocarotenoids,Megastigmanes
Terpenoids,Diterpenoids,Phytane diterpenoids
Terpenoids,Apocarotenoids,Miscellaneous apocarotenoids
Terpenoids,Diterpenoids,Secoabietane diterpenoids
Terpenoids,Sesquiterpenoids,Caryophyllane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Homofarnesane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Longibornane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Pacifigorgiane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Valerane sesquiterpenoids
Terpenoids,Diterpenoids,Abeoabietane diterpenoids
Terpenoids,Diterpenoids,Sphaeroane diterpenoids
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-γ)"
Terpenoids,Carotenoids (C40),"Carotenoids (C40, ε-ε)"
Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids
Terpenoids,Monoterpenoids,Camphane monoterpenoids
Terpenoids,Sesquiterpenoids,Longifolane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Farnesane sesquiterpenoids
Terpenoids,Monoterpenoids,Fenchane monoterpenoids
Terpenoids,Sesquiterpenoids,Prezizaane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Protoilludane sesquiterpenoids
Terpenoids,Diterpenoids,Valparane diterpenoids
Terpenoids,Diterpenoids,Norpimarane and Norisopimarane diterpenoids
Terpenoids,Sesquiterpenoids,Hirsutane sesquiterpenoids
Terpenoids,Diterpenoids,Norlabdane diterpenoids
Terpenoids,Sesquiterpenoids,Bourbonane sesquiterpenoids
Terpenoids,Sesquiterpenoids,Thapsane sesquiterpenoids
Terpenoids,Diterpenoids,Cyclophytane diterpenoids
Terpenoids,Sesquiterpenoids,Secogermacrane sesquiterpenoids
Terpenoids,Diterpenoids,Cycloamphilectane diterpenoids
