pathway,superclass,class
Amino acids and Peptides,Oligopeptides,Microginins
Amino acids and Peptides,Oligopeptides,Anabaenopeptins
Amino acids and Peptides,Oligopeptides,Microcystins
Amino acids and Peptides,Oligopeptides,Microcolins and mirabimides
Amino acids and Peptides,Oligopeptides,Tantazoles and mirabazoles
Amino acids and Peptides,Oligopeptides,Vancomycins and Teicoplanins
Amino acids and Peptides,Oligopeptides,Streptogramins
Amino acids and Peptides,Oligopeptides,Actinomycins
Amino acids and Peptides,β-lactams,Penicillins
Amino acids and Peptides,β-lactams,Cephalosporins
Amino acids and Peptides,β-lactams,Cephamycins
Amino acids and Peptides,β-lactams,Clavams
Amino acids and Peptides,β-lactams,Carbapenems
Amino acids and Peptides,β-lactams,Monocyclic β-lactams
Amino acids and Peptides,Oligopeptides,RiPPs-Amatoxins and Phallotoxins
Amino acids and Peptides,Oligopeptides,RiPPs-Bottromycins
Amino acids and Peptides,Oligopeptides,RiPPs-Lasso peptides
Amino acids and Peptides,Oligopeptides,RiPPs-Microcins
Amino acids and Peptides,Peptide alkaloids,Ansa peptide alkaloids
Amino acids and Peptides,Oligopeptides,Cyclic peptides
Amino acids and Peptides,Oligopeptides,RiPPs-Thiopeptides
Amino acids and Peptides,Oligopeptides,Depsipeptides
Amino acids and Peptides,Amino acid glycosides,Glucosinolates
Amino acids and Peptides,Oligopeptides,Lipopeptides
Amino acids and Peptides,Oligopeptides,RiPPs-Lanthipeptides
Amino acids and Peptides,Cyclic polyketides,3-Decalinoyltetramic acids
Amino acids and Peptides,Oligopeptides,Linear peptides
Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides
Amino acids and Peptides,Oligopeptides,Bleomycins
Amino acids and Peptides,Oligopeptides,Cryptophycins
Amino acids and Peptides,Oligopeptides,Peptaibols
Amino acids and Peptides,Small peptides,Dipeptides
Amino acids and Peptides,Small peptides,Aminoacids
Amino acids and Peptides,Linear polyketides,Melithiazole and Myxothiazole derivatives
Amino acids and Peptides,Linear polyketides,3-acyl tetramic acids
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)"
Amino acids and Peptides,Peptide alkaloids,Thiodiketopiperazine alkaloids
Amino acids and Peptides,Peptide alkaloids,Simple diketopiperazine alkaloids
Amino acids and Peptides,Small peptides,Tripeptides
Amino acids and Peptides,Amino acid glycosides,Cyanogenic glycosides
Amino acids and Peptides,Peptide alkaloids,Pyrazine and Piperazine alkaloids
Amino acids and Peptides,Oligopeptides,RiPPs-Cyanobactins
Carbohydrates,Polyols,Cyclitols
Carbohydrates,Nucleosides,Purine nucleos(t)ides
Carbohydrates,Nucleosides,Pyrimidine nucleos(t)ides
Carbohydrates,Saccharides,Disaccharides
Carbohydrates,Saccharides,Orthosomycins
Carbohydrates,Saccharides,Monosaccharides
Carbohydrates,"Aminosugars and
aminoglycosides",Aminoglycosides
Carbohydrates,Polyols,Amino cyclitols
Carbohydrates,"Aminosugars and
aminoglycosides",Aminosugars
Carbohydrates,Saccharides,Paulomycins and derivatives
Carbohydrates,Saccharides,Polysaccharides
Fatty acids,Fatty Acids and Conjugates,Methoxy fatty acids
Fatty acids,Fatty Acids and Conjugates,Nitro fatty acids
Fatty acids,Fatty Acids and Conjugates,Mycolic acids
Fatty acids,Octadecanoids,12-oxophytodienoic acid metabolites
Fatty acids,Octadecanoids,Phytoprostanes
Fatty acids,Octadecanoids,Phytofurans
Fatty acids,Eicosanoids,Leukotrienes
Fatty acids,Eicosanoids,Thromboxanes
Fatty acids,Eicosanoids,Lipoxins
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatrienoic acids
Fatty acids,Eicosanoids,Epoxyeicosatrienoic acids
Fatty acids,Eicosanoids,Hepoxilins
Fatty acids,Eicosanoids,Levuglandins
Fatty acids,Eicosanoids,Isofurans
Fatty acids,Eicosanoids,"Eicosa-1,2-dioxolanes"
Fatty acids,Eicosanoids,Resolvin Es
Fatty acids,Eicosanoids,Clavulones
Fatty acids,Docosanoids,Neuroprostanes
Fatty acids,Docosanoids,"Docosa-1,2-dioxolanes"
Fatty acids,Docosanoids,Resolvin Ds
Fatty acids,Fatty esters,Fatty acyl CoAs
Fatty acids,Fatty esters,Fatty acyl carnitines
Fatty acids,Fatty amides,Fatty acyl homoserine lactones
Fatty acids,Fatty acyls,Fatty ethers
Fatty acids,Fatty acyl glycosides,Sophorolipids
Fatty acids,Fatty acyl glycosides,Rhamnolipids
Fatty acids,Glycerolipids,Monoacylglycerols
Fatty acids,Glycerolipids,Glycosylmonoacylglycerols
Fatty acids,Glycerophospholipids,Glycerophosphocholines
Fatty acids,Glycerophospholipids,Glycerophosphoserines
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphates
Fatty acids,Glycerophospholipids,Glycerophosphoinositols
Fatty acids,Glycerophospholipids,Glycerophosphoinositol phosphates
Fatty acids,Glycerophospholipids,Glycerophosphates
Fatty acids,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols
Fatty acids,Glycerophospholipids,CDP-Glycerols
Fatty acids,Glycerophospholipids,Glycosylglycerophospholipids
Fatty acids,Glycerophospholipids,Glycerophosphoinositolglycans
Fatty acids,Glycerophospholipids,Oxidized glycerophospholipids
Fatty acids,Glycerophospholipids,Long-Chain Bicyclic Phosphotriester
Fatty acids,Sphingolipids,Acidic glycosphingolipids
Fatty acids,Fatty acyls,Resin glycosides
Fatty acids,Fatty acyls,Paraconic acids and derivatives
Fatty acids,Fatty acyls,Halogenated hydrocarbons
Fatty acids,Glycerolipids,Triacylglycerols
Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
Fatty acids,Glycerophospholipids,Glycerophosphoglycerols
Fatty acids,Sphingolipids,Phosphosphingolipids
Fatty acids,Sphingolipids,Ceramides
Fatty acids,Glycerolipids,Diacylglycerols
Fatty acids,Fatty acyl glycosides,Ascarosides
Fatty acids,Sphingolipids,Neutral glycosphingolipids
Fatty acids,Fatty esters,Fatty acid estolides
Fatty acids,Fatty acyls,Fatty aldehydes
Fatty acids,Fatty Acids and Conjugates,Branched fatty acids
Fatty acids,Eicosanoids,Isoprostanes
Fatty acids,Fatty esters,Wax monoesters
Fatty acids,Glycerolipids,Glycosyldiacylglycerols
Fatty acids,Fatty Acids and Conjugates,Hydroperoxy fatty acids
Fatty acids,Fatty Acids and Conjugates,Heterocyclic fatty acids
Fatty acids,Fatty acyls,Oxygenated hydrocarbons
Fatty acids,Fatty amides,N-acyl ethanolamines (endocannabinoids)
Fatty acids,Fatty Acids and Conjugates,Unsaturated fatty acids
Fatty acids,Fatty Acids and Conjugates,Epoxy fatty acids
Fatty acids,Fatty Acids and Conjugates,Carbocyclic fatty acids
Fatty acids,Fatty amides,N-acyl amines
Fatty acids,Eicosanoids,Prostaglandins
Fatty acids,Fatty Acids and Conjugates,Amino fatty acids
Fatty acids,Fatty Acids and Conjugates,Oxo fatty acids
Fatty acids,Fatty Acids and Conjugates,Oxo fatty acids
Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids
Fatty acids,Octadecanoids,Jasmonic acids
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatetraenoic acids
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosapentaenoic acids
Fatty acids,Fatty esters,Cyano esters
Fatty acids,Sphingolipids,Sphingoid bases
Fatty acids,Fatty esters,Lactones
Fatty acids,Octadecanoids,Other Octadecanoids
Fatty acids,Docosanoids,Other Docosanoids
Fatty acids,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides
Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids
Fatty acids,Fatty Acids and Conjugates,Hydroxy fatty acids
Fatty acids,Eicosanoids,Other Eicosanoids
Fatty acids,Fatty amides,Primary amides
Fatty acids,Fatty acyls,Fatty nitriles
Fatty acids,Fatty esters,Wax diesters
Polyketides,Macrolides,Tylosins
Polyketides,Macrolides,Avermectins
Polyketides,Macrolides,Ascomycins and Rapamycins
Polyketides,Macrolides,Ascomycins and Rapamycins
Polyketides,Macrolides,Epothilones
Polyketides,Macrolides,Rhizoxins
Polyketides,Macrolides,Oligomycins
Polyketides,Macrolides,Bafilomycins
Polyketides,Macrolides,Macrolide lactams
Polyketides,Macrolides,Lactam bearing macrolide lactones
Polyketides,Macrolides,Enediynes
Polyketides,Macrolides,Bryostatins
Polyketides,Macrolides,Antimycins
Polyketides,Macrolides,Oxa-Bridged Macrolides
Polyketides,Macrolides,Macrocyclic tetramic acids
Polyketides,Linear polyketides,Linear tetronates
Polyketides,Linear polyketides,Elfamycins
Polyketides,Linear polyketides,3-oligoenoyltetramic acids
Polyketides,Linear polyketides,Linear polyenes
Polyketides,Linear polyketides,DKXanthenes and derivatives
Polyketides,Chromanes,Cytosporins
Polyketides,Cyclic polyketides,Decalins with 2-pyrones
Polyketides,Cyclic polyketides,3-Spirotetramic acids
Polyketides,Cyclic polyketides,Nonadrides
Polyketides,Alkylresorcinols,Monoalkylresorcinols
Polyketides,Alkylresorcinols,Dialkylresorcinols
Polyketides,Chromanes,Aflatoxins
Polyketides,Aromatic polyketides,Griseofulvins
Polyketides,Aromatic polyketides,Catechols with side chains
Polyketides,Aromatic polyketides,Aromatic polyketides with side chains
Polyketides,Aromatic polyketides,Simple aromatic polyketides
Polyketides,Aromatic polyketides,Luminacins and derivatives
Polyketides,Meroterpenoids,Cannabinoids
Polyketides,"Polycyclic aromatic
polyketides",Pradimicins
Polyketides,"Polycyclic aromatic
polyketides",Fasamycins and derivatives
Polyketides,"Polycyclic aromatic
polyketides",Benastatins and derivatives
Polyketides,Phloroglucinols,Phloroglucinol-terpene hybrids
Polyketides,Phloroglucinols,"Prenylated,geranylated phloroglucinols"
Polyketides,Naphthalenes,Spirodioxynaphthalenes
Polyketides,Polyethers,Macrotetrolides
Polyketides,Tropolones,Tropolones and derivatives (PKS)
Polyketides,Diphenyl ethers (DPEs),Fungal DPEs
Polyketides,Meroterpenoids,Triketide meroterpenoids
Polyketides,Meroterpenoids,Other polyketide meroterpenoids
Polyketides,Linear polyketides,Phoslactomycins or Phosphazomycins
Polyketides,Naphthalenes,Naphthalenones
Polyketides,"Polycyclic aromatic
polyketides",Ericamycins
Polyketides,Aromatic polyketides,Benzophenones
Polyketides,Macrolides,Boromycins
Polyketides,Macrolides,Aplysiatoxins
Polyketides,"Polycyclic aromatic
polyketides",Duclauxin and derivatives
Polyketides,Macrolides,Ansa macrolides
Polyketides,Meroterpenoids,"Polyprenylated cyclic polyketides (Hop
meroterpenoids)"
Polyketides,Macrolides,Erythromycins
Polyketides,Aromatic polyketides,Depsides
Polyketides,Linear polyketides,Acetogenins
Polyketides,Aromatic polyketides,Depsidones
Polyketides,"Polycyclic aromatic
polyketides",Tetracyclines
Polyketides,Phloroglucinols,Acyl phloroglucinols
Polyketides,Phloroglucinols,Oligomeric phloroglucinols (phlorotannins)
Polyketides,Macrolides,Spirotetronate macrolides
Polyketides,Aromatic polyketides,Sorbicilinoids
Polyketides,"Polycyclic aromatic
polyketides",Anthracyclines
Polyketides,Oligopeptides,Depsipeptides
Polyketides,Cyclic polyketides,2-pyrone derivatives
Polyketides,Aromatic polyketides,Usnic acid and derivatives
Polyketides,Cyclic polyketides,3-Decalinoyltetramic acids
Polyketides,Cyclic polyketides,4-pyrone derivatives
Polyketides,Polyethers,Ladder polyethers
Polyketides,Cyclic polyketides,Fungal cyclic polyketides (Miscellaneous)
Polyketides,Macrolides,Polyene macrolides
Polyketides,Polyethers,Polyether ionophores
Polyketides,Chromanes,Azaphilones
Polyketides,Linear polyketides,Melithiazole and Myxothiazole derivatives
Polyketides,"Polycyclic aromatic
polyketides",Angucyclines
Polyketides,Aromatic polyketides,Strobilurins and derivatives
Polyketides,Aromatic polyketides,Benzoquinones
Polyketides,Xanthones,Methyl xanthones
Polyketides,Linear polyketides,3-acyl tetramic acids
Polyketides,Meroterpenoids,Tetraketide meroterpenoids
Polyketides,Linear polyketides,Open-chain polyketides
Polyketides,Cyclic polyketides,Phthalide derivatives
Polyketides,Phloroglucinols,Dimeric phloroglucinols
Polyketides,Cyclic polyketides,Monacolins and Monacolin derivatives
Polyketides,Macrolides,Macrolide lactones
Polyketides,Chromanes,Chromones
Polyketides,Naphthalenes,Bisnaphthalenes
Polyketides,Cyclic polyketides,Decalins with side chains
Polyketides,Naphthalenes,Naphthoquinones
Polyketides,Macrolides,Zearalenones
Polyketides,Cyclic polyketides,Oblogolides
Polyketides,Cyclic polyketides,Furans
Polyketides,Naphthalenes,Naphthalenes and derivatives
Polyketides,Cyclic polyketides,Simple cyclic polyketides
Polyketides,Miscellaneous polyketides,Miscellaneous polyketides
"Shikimates and
Phenylpropanoids",Phenolic acids (C6-C1),Bagremycins
"Shikimates and
Phenylpropanoids",Phenylpropanoids (C6-C3),Cinnamoyl phenols
"Shikimates and
Phenylpropanoids",Mycosporine derivatives,Mycosporine and Mycosporine-like amino acids
"Shikimates and
Phenylpropanoids",Lignans,Dibenzylbutyrolactone lignans
"Shikimates and
Phenylpropanoids",Lignans,Furofuranoid lignans
"Shikimates and
Phenylpropanoids",Lignans,Dibenzocyclooctadienes lignans
"Shikimates and
Phenylpropanoids",Lignans,Coumarinolignans
"Shikimates and
Phenylpropanoids",Coumarins,Coumarinolignans
"Shikimates and
Phenylpropanoids",Diarylheptanoids,Biaryl type diarylheptanoids
"Shikimates and
Phenylpropanoids",Fluorenes,Selaginellins
"Shikimates and
Phenylpropanoids",Flavonoids,Flavans
"Shikimates and
Phenylpropanoids",Flavonoids,Aurones
"Shikimates and
Phenylpropanoids",Flavonoids,Isoaurones
"Shikimates and
Phenylpropanoids",Flavonoids,Flavonostilbenes
"Shikimates and
Phenylpropanoids",Stilbenoids,Flavonostilbenes
"Shikimates and
Phenylpropanoids",Stilbenoids,Stilbenolignans
"Shikimates and
Phenylpropanoids",Lignans,Stilbenolignans
"Shikimates and
Phenylpropanoids",Isoflavonoids,Coumaronochromones
"Shikimates and
Phenylpropanoids",Phenanthrenoids,Phenanthrenes
"Shikimates and
Phenylpropanoids",Flavonoids,Flavonols
"Shikimates and
Phenylpropanoids",Flavonoids,Flavones
"Shikimates and
Phenylpropanoids",Flavonoids,Flavan-3-ols
"Shikimates and
Phenylpropanoids",Styrylpyrones,Kavalactones and derivatives
"Shikimates and
Phenylpropanoids",Flavonoids,Chalcones
