pathway_id,superclass_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
2,16
2,17
2,18
2,7
2,8
2,19
2,20
2,21
2,22
2,23
2,24
3,25
3,26
3,27
3,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
5,16
5,17
5,40
5,18
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,20
5,50
5,51
6,52
6,23
6,19
6,53
6,54
6,55
6,56
6,57
6,58
6,59
6,60
6,61
6,50
6,62
6,63
6,64
6,24
6,48
7,65
7,43
7,45
7,47
7,66
7,67
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,3
7,6
7,75
