superclass_id,class_id
1,1
2,2
2,3
2,4
3,5
3,6
4,7
5,8
5,9
5,10
5,11
5,12
6,13
6,14
6,15
7,16
7,17
7,18
8,19
8,20
8,21
9,22
10,23
3,24
7,25
3,26
2,27
5,28
2,29
3,30
3,31
3,32
1,33
6,34
4,35
3,36
2,37
11,38
2,39
3,40
12,41
6,42
2,43
1,44
3,45
6,46
13,47
6,48
4,49
1,50
2,51
2,52
6,53
4,54
2,55
3,56
3,57
6,58
7,59
2,60
4,61
7,62
7,63
3,64
14,65
6,66
11,67
2,68
2,69
3,70
4,70
15,71
7,72
8,72
7,73
2,74
2,75
1,76
10,77
11,78
5,79
3,80
6,81
16,82
16,83
16,84
16,85
16,86
17,87
17,88
18,89
8,90
19,91
20,92
20,93
20,94
20,95
20,96
20,97
20,98
20,99
20,100
21,101
21,102
21,103
21,104
21,105
21,106
20,107
20,108
20,109
20,110
20,111
20,112
20,113
22,114
20,115
20,116
18,117
20,118
23,119
20,120
20,121
20,122
24,123
24,124
17,125
17,126
24,127
22,128
20,129
25,130
26,131
26,132
27,133
27,134
27,135
28,136
25,137
28,138
27,139
27,140
29,141
29,142
29,143
30,144
30,145
30,146
31,147
31,148
31,149
31,150
31,151
31,152
31,153
31,154
31,155
31,156
31,157
32,158
32,159
32,160
33,161
33,162
34,163
35,164
36,165
36,166
37,167
37,168
38,169
38,170
38,171
38,172
38,173
38,174
38,175
38,176
38,177
38,178
38,179
38,180
39,181
35,182
35,183
35,184
37,185
38,186
38,187
39,188
39,189
37,190
36,191
39,192
33,193
35,194
29,195
31,196
33,197
37,198
29,199
29,200
35,201
34,202
29,203
29,204
29,205
34,206
31,207
29,208
29,209
29,210
30,211
31,212
31,213
33,214
39,215
33,216
30,217
32,218
36,219
29,220
31,221
34,222
35,223
33,224
16,225
16,226
16,227
16,228
16,229
16,230
16,231
16,232
16,233
17,234
17,235
17,236
40,237
18,238
18,239
41,240
41,241
40,242
42,243
42,244
42,245
42,246
42,247
43,248
44,249
44,250
44,251
45,252
45,253
46,254
47,255
48,256
49,257
43,258
43,259
17,260
46,261
44,262
42,263
16,264
16,265
44,266
16,267
43,268
16,269
42,270
17,271
42,272
44,273
45,274
45,275
16,276
42,277
44,278
18,279
42,280
18,281
47,282
18,283
16,284
47,285
40,286
44,287
42,288
42,289
50,290
43,291
17,292
18,293
45,294
18,295
16,296
40,297
46,298
18,299
46,300
16,301
18,302
18,303
46,304
18,305
51,306
52,307
23,308
53,309
53,310
53,311
53,312
54,312
55,313
56,314
57,315
57,316
57,317
57,318
58,318
58,319
53,319
59,320
60,321
57,322
57,323
57,324
61,325
57,326
53,327
55,328
57,329
57,330
50,331
54,332
55,333
57,334
57,335
58,336
59,337
59,338
59,339
23,340
62,341
52,342
63,343
54,344
59,345
57,346
62,347
64,348
54,349
54,350
59,351
59,352
48,353
53,354
58,355
57,356
53,356
57,357
53,358
52,359
52,360
53,361
65,362
47,363
66,364
66,365
66,366
66,367
66,368
66,369
66,370
66,371
66,372
66,373
66,374
66,375
66,376
66,377
66,378
66,379
66,380
66,381
66,382
66,383
66,384
66,385
66,386
66,387
66,388
66,389
66,390
66,391
66,392
65,393
65,394
65,395
65,396
65,397
65,398
65,399
65,400
65,401
65,402
65,403
65,404
65,405
65,406
65,407
65,408
65,409
65,410
65,411
65,412
65,413
65,414
65,415
65,416
65,417
65,418
65,419
65,420
65,421
65,422
65,423
65,424
65,425
67,426
67,427
67,428
67,429
67,430
68,431
68,432
68,433
68,434
68,435
68,436
68,437
68,438
69,439
70,440
70,441
70,442
70,443
70,444
70,445
70,446
70,447
70,448
70,449
70,450
71,451
71,452
72,453
72,454
72,455
73,456
74,457
74,458
74,459
43,460
43,461
43,462
43,463
66,464
69,465
68,466
68,467
68,468
69,469
65,470
65,471
68,472
66,473
43,474
65,475
67,476
70,477
66,478
68,479
66,480
67,481
70,482
65,483
66,484
43,485
66,486
68,487
68,488
68,489
68,490
65,491
66,492
65,493
66,494
66,495
65,496
65,497
67,498
69,499
69,500
68,501
65,502
66,503
65,504
65,505
69,506
66,507
66,508
66,509
65,510
65,511
65,512
68,513
68,514
70,515
65,516
68,517
69,518
66,519
66,520
65,521
68,522
68,523
72,524
75,525
65,526
65,527
68,528
75,529
69,530
69,531
75,532
66,533
66,534
66,535
65,536
65,537
69,538
66,539
73,540
65,541
66,542
66,543
65,544
67,545
68,546
66,547
66,548
65,549
66,550
65,551
67,552
66,553
66,554
65,555
69,556
66,557
65,558
65,559
68,560
65,561
66,562
66,563
68,564
66,565
65,566
65,567
65,568
69,569
69,570
75,571
75,572
66,573
66,574
66,575
65,576
65,577
65,578
65,579
65,580
68,581
75,582
75,583
68,584
66,585
75,586
65,587
65,588
66,589
66,590
66,591
65,592
43,593
66,594
65,595
73,596
66,597
69,598
66,599
66,600
65,601
66,602
66,603
66,604
66,605
66,606
66,607
65,608
68,609
68,610
66,611
66,612
65,613
66,614
66,615
66,616
66,617
66,618
66,619
66,620
65,621
68,622
73,623
65,624
73,625
65,626
66,627
66,628
66,629
66,630
66,631
65,632
65,633
70,634
70,635
66,636
75,637
66,638
66,639
75,640
66,641
66,642
65,643
65,644
66,645
65,646
66,647
66,648
65,649
66,650
65,651
