class_id,class
230,Bafilomycins
231,Enediynes
232,Bryostatins
233,Oxa-Bridged Macrolides
234,Linear tetronates
235,3-oligoenoyltetramic acids
236,Linear polyenes
237,Cytosporins
238,Decalins with 2-pyrones
239,Nonadrides
240,Monoalkylresorcinols
241,Dialkylresorcinols
242,Aflatoxins
243,Griseofulvins
244,Catechols with side chains
245,Aromatic polyketides with side chains
246,Simple aromatic polyketides
247,Luminacins and derivatives
248,Cannabinoids
249,Pradimicins
250,Fasamycins and derivatives
251,Benastatins and derivatives
252,Phloroglucinol-terpene hybrids
253,"Prenylated,geranylated phloroglucinols"
254,Spirodioxynaphthalenes
255,Macrotetrolides
256,Tropolones and derivatives (PKS)
257,Fungal DPEs
258,Triketide meroterpenoids
259,Other polyketide meroterpenoids
260,Phoslactomycins or Phosphazomycins
261,Naphthalenones
262,Ericamycins
263,Benzophenones
264,Boromycins
265,Aplysiatoxins
266,Duclauxin and derivatives
267,Ansa macrolides
268,"Polyprenylated cyclic polyketides (Hop
meroterpenoids)"
269,Erythromycins
270,Depsides
271,Acetogenins
272,Depsidones
273,Tetracyclines
274,Acyl phloroglucinols
275,Oligomeric phloroglucinols (phlorotannins)
276,Spirotetronate macrolides
277,Sorbicilinoids
278,Anthracyclines
279,2-pyrone derivatives
280,Usnic acid and derivatives
281,4-pyrone derivatives
282,Ladder polyethers
283,Fungal cyclic polyketides (Miscellaneous)
284,Polyene macrolides
285,Polyether ionophores
286,Azaphilones
287,Angucyclines
288,Strobilurins and derivatives
289,Benzoquinones
290,Methyl xanthones
291,Tetraketide meroterpenoids
292,Open-chain polyketides
293,Phthalide derivatives
294,Dimeric phloroglucinols
295,Monacolins and Monacolin derivatives
296,Macrolide lactones
297,Chromones
298,Bisnaphthalenes
299,Decalins with side chains
300,Naphthoquinones
301,Zearalenones
302,Oblogolides
303,Furans
304,Naphthalenes and derivatives
305,Simple cyclic polyketides
306,Miscellaneous polyketides
307,Bagremycins
308,Cinnamoyl phenols
309,Dibenzylbutyrolactone lignans
310,Furofuranoid lignans
311,Dibenzocyclooctadienes lignans
312,Coumarinolignans
313,Biaryl type diarylheptanoids
314,Selaginellins
315,Flavans
316,Aurones
317,Isoaurones
318,Flavonostilbenes
319,Stilbenolignans
320,Coumaronochromones
321,Phenanthrenes
322,Flavonols
323,Flavones
324,Flavan-3-ols
325,Kavalactones and derivatives
326,Chalcones
327,Furanoid lignans
328,Diarylether type diarylheptanoids
329,Anthocyanidins
330,Dihydroflavonols
331,Plant xanthones
332,Furocoumarins
333,Linear diarylheptanoids
334,Proanthocyanins
335,Flavanones
336,Oligomeric stibenes
337,Isoflavones
338,Coumestan
339,Rotenoids
340,Cinnamic acids and derivatives
341,m-Terphenyls
342,Gallotannins
343,Phenylethanoids
344,Isocoumarins
345,Pterocarpan
346,Neoflavonoids
347,p-Terphenyls
348,Pulvinones
349,Pyranocoumarins
350,Simple coumarins
351,Isoflavanones
352,2-arylbenzofurans
353,Tropolones and derivatives (Shikimate)
354,Arylnaphthalene and aryltetralin lignans
355,Monomeric stilbenes
356,Flavonolignans
357,Flavandiols (Leucoanthocyanidins)
358,Dibenzylbutane lignans
359,Simple phenolic acids
360,Shikimic acids and derivatives
361,Minor lignans
362,Platensimycin and Platencins
363,Oxasqualenoids
364,Alliacane sesquiterpenoids
365,Allohimachalane sesquiterpenoids
366,Bicyclogermacrane sesquiterpenoids
367,Bicyclohumulane sesquiterpenoids
368,Chiloscyphane sesquiterpenoids
369,Coloratane sesquiterpenoids
370,Cyclobisabolane sesquiterpenoids
371,Cyclonerane sesquiterpenoids
372,Elemane sesquiterpenoids
373,Herbertane sesquiterpenoids
374,Iphionane sesquiterpenoids
375,Isocomane sesquiterpenoids
376,Ivaxillarane sesquiterpenoids
377,Longipinane sesquiterpenoids
378,Marasmane sesquiterpenoids
379,Noreremophilane sesquiterpenoids
380,Oplopane sesquiterpenoids
381,Pinguisane sesquiterpenoids
382,Quadrane sesquiterpenoids
383,Rotundane sesquiterpenoids
384,Santalane sesquiterpenoids
385,Sativane sesquiterpenoids
386,Silphinane sesquiterpenoids
387,Silphiperfolane sesquiterpenoids
388,Sinularane sesquiterpenoids
389,Spiroaxane sesquiterpenoids
390,Sterpurane sesquiterpenoids
391,Arteminisin
392,Hamigerane sesquiterpenoids
393,Prenylbisabolane diterpenoids
394,Dactylomelane diterpenoids
395,Cycloabietane diterpenoids
396,Parguerane diterpenoids
397,Devadarane diterpenoids
398,Villanovane diterpenoids
399,Aphidicolane diterpenoids
400,Gibberellins
401,Norcembrane diterpenoids
402,Asbestinane diterpenoids
403,Sphaerane diterpenoids
404,Dolastane diterpenoids
405,Verrucosane diterpenoids
406,Casbane diterpenoids
407,Segetane diterpenoids
408,Pepluane diterpenoids
